**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	31	0	0	0
8	2	1	0	0	0	30	0	0	0
12	2	3	0	0	0	31	0	0	0
15	2	4.5	0	0	0	30	0	0	0
16	3	1	0	27	0	29	0	0	0
17	3	1.5	0	-27	0	28	0	0	0
18	3	2	0	-27	0	29	0	0	0
22	3	4	0	-27	0	28	0	0	0
23	3	4.5	0	-27	0	27	0	0	0
24	4	1	0	26	0	28	0	31	0
28	4	3	0	27	0	29	34	-31	0
31	4	4.5	0	26	0	28	-34	-31	0
32	5	1	0	25	0	27	-34	30	0
33	5	1.5	0	24	0	26	-34	-30	0
34	5	2	0	25	0	27	-34	-30	0
36	5	3	0	24	0	28	33	31	38
39	5	4.5	0	-24	0	-28	-33	30	-38
40	6	1	0	20	0	27	34	29	-38
41	6	1.5	0	-20	0	-27	-34	28	-38
42	6	2	0	-20	0	-27	-34	29	-38
43	6	2.5	0	-20	0	-27	33	-29	-38
44	6	3	0	21	0	0	33	28	37
45	6	3.5	0	-21	0	0	32	-28	-37
45.5	6	3.75	0	-21	0	0	31	-28	-37
46	6	4	0	-21	0	25	32	-28	-37
48	7	1	27	20	0	27	29	0	38
49	7	1.5	-27	-20	0	28	-29	0	-38
50	7	2	-27	-20	0	29	31	29	-38
51	7	2.5	-27	-20	0	30	-31	-29	37
52	7	3	-27	-20	0	31	-31	-29	36
53	7	3.5	-27	-20	0	-31	30	-29	35
54	7	4	-27	-20	0	27	31	29	36
55	7	4.5	-27	-20	0	-27	32	-29	-36
56	8	1	26	0	0	24	33	31	35
58	8	2	-26	0	0	31	-33	-31	-35
60	8	3	27	0	0	-31	29	-31	0
62	8	4	-27	0	0	29	-29	-31	31
63	8	4.5	26	0	0	-29	-29	-31	-31
64	9	1	25	0	0	30	0	27	32
65	9	1.5	24	0	0	-30	0	-27	-32
66	9	2	25	0	0	29	0	-27	34
68	9	3	24	0	0	-29	31	28	-34
69	9	3.5	-24	0	0	28	-31	-28	-34
70	9	4	-24	0	0	28	-31	-28	33
72	10	1	20	0	0	-28	-31	29	34
73	10	1.5	-20	0	0	27	-31	-29	-34
74	10	2	-20	0	0	27	31	-29	36
76	10	3	21	0	0	-27	30	28	37
78	10	4	-21	0	0	26	-30	-28	35
80	11	1	20	0	0	27	29	31	36
81	11	1.5	-20	0	0	28	-29	-31	-36
82	11	2	-20	0	0	29	27	-31	-36
83	11	2.5	-20	0	0	30	-27	30	35
84	11	3	-20	0	27	31	27	29	34
85	11	3.5	-20	0	-27	-31	28	-29	-34
86	11	4	-20	20	-27	-31	29	-29	-34
87	11	4.5	-20	-20	-27	-31	30	-29	-34
88	12	1	0	20	-27	0	31	-29	-34
89	12	1.5	0	21	-27	0	-31	-29	-34
90	12	2	0	22	-27	31	-31	-29	31
91	12	2.5	0	23	-27	-31	32	-29	-31
92	12	3	0	24	26	-31	33	28	0
93	12	3.5	0	-24	-26	30	-33	-28	0
93.5	12	3.75	0	-24	-26	29	-33	-28	0
94	12	4	0	-24	-26	28	-33	-28	31
95	12	4.5	0	23	-26	-28	-33	-28	-31
96	13	1	0	22	-26	29	33	0	31
97	13	1.5	0	-22	-26	30	-33	0	32
98	13	2	0	-22	-26	31	-33	29	33
99	13	2.5	0	-22	-26	29	-33	-29	34
100	13	3	0	19	-26	30	-33	28	35
101	13	3.5	0	-19	-26	-30	-33	-28	36
102	13	4	0	-19	-26	-30	-33	-28	37
103	13	4.5	0	-19	-26	-30	-33	27	36
103.5	13	4.75	0	-19	-26	-30	-33	-27	37
104	14	1	0	22	-26	29	31	26	38
106	14	2	0	-22	-26	-29	-31	33	-38
107	14	2.5	0	-22	-26	-29	32	-33	-38
108	14	3	0	0	26	28	33	-33	37
109	14	3.5	0	0	-26	-28	-33	32	-37
110	14	4	0	0	-26	29	-33	31	36
112	15	1	0	0	-26	30	0	30	-36
114	15	2	0	0	-26	26	33	-30	35
116	15	3	0	0	27	0	31	29	36
118	15	4	20	0	-27	29	29	31	-36
120	16	1	20	0	24	-29	31	-31	-36
121	16	1.5	21	0	-24	28	-31	30	-36
