**absq	**bar	**beat	**b7	**b7
0	1	1	0	29
1	1	1.5	31	-29
2	1	2	30	26
3	1	2.5	29	27
4.5	1	3.25	29	27
5	1	3.5	28	24
6	1	4	28	28
7	1	4.5	29	27
7.5	1	4.75	-29	28
8	2	1	0	29
12	2	3	0	28
14	2	4	0	0
15	2	4.5	33	31
16	3	1	32	28
17	3	1.5	31	29
18.5	3	2.25	31	29
19	3	2.5	30	26
20	3	3	29	27
20.5	3	3.25	30	28
21	3	3.5	31	29
21.5	3	3.75	32	30
22	3	4	33	31
23	3	4.5	-33	28
24	4	1	32	0
25	4	1.5	31	29
26	4	2	31	29
27	4	2.5	30	26
28	4	3	31	-26
28.5	4	3.25	-31	27
29	4	3.5	28	28
30	4	4	31	28
31	4	4.5	-31	26
32	5	1	-31	29
33	5	1.5	30	28
34	5	2	29	-28
35	5	2.5	-29	27
36	5	3	30	28
39	5	4.5	32	-28
40	6	1	30	32
41	6	1.5	32	30
42	6	2	28	32
43	6	2.5	28	28
44	6	3	28	-28
45	6	3.5	-28	30
45.5	6	3.75	29	-30
46	6	4	30	30
47	6	4.5	28	30
48	7	1	28	31
50	7	2	26	-31
51	7	2.5	-26	33
52	7	3	0	33
53.5	7	3.75	0	32
54	7	4	0	31
55	7	4.5	0	31
56	8	1	0	30
58	8	2	0	29
60	8	3	0	0
62	8	4	27	0
64	9	1	28	0
66	9	2	29	0
68	9	3	31	0
69	9	3.5	31	0
70	9	4	29	0
72	10	1	31	0
74	10	2	33	24
76	10	3	32	28
79	10	4.5	32	25
80	11	1	32	28
81	11	1.5	31	29
82	11	2	31	27
84	11	3	30	28
85	11	3.5	28	-28
87	11	4.5	30	-28
88	12	1	32	0
89	12	1.5	-32	28
90	12	2	28	30
91	12	2.5	28	32
92	12	3	32	30
93	12	3.5	-32	28
94	12	4	-32	30
95.5	12	4.75	-32	31
96	13	1	30	32
97	13	1.5	30	-32
98	13	2	31	33
99	13	2.5	31	-33
100	13	3	30	0
101	13	3.5	30	0
102	13	4	33	0
104	14	1	32	0
105	14	1.5	-32	28
106	14	2	28	30
107	14	2.5	-28	32
107.5	14	2.75	29	-32
108	14	3	30	30
108.5	14	3.25	31	-30
109	14	3.5	32	28
110	14	4	-32	32
111	14	4.5	25	-32
112	15	1	27	-32
113	15	1.5	28	-32
114	15	2	29	25
116	15	3	-29	25
117	15	3.5	-29	26
118	15	4	29	27
119	15	4.5	-29	28
120	16	1	0	29
122	16	2	0	25
126	16	4	0	28
129	17	1.5	0	27
130	17	2	0	26
131	17	2.5	0	29
132	17	3	0	0
133	17	3.5	32	25
134	17	4	32	25
135	17	4.5	32	28
136	18	1	33	26
137	18	1.5	33	29
138	18	2	32	29
140	18	3	31	29
141	18	3.5	31	29
142	18	4	31	29
143	18	4.5	32	25
144	19	1	32	25
145.5	19	1.75	32	25
146	19	2	32	28
147	19	2.5	33	28
148	19	3	31	27
150	19	4	-31	27
151	19	4.5	30	-27
152	20	1	29	26
156	20	3	29	25
160	21	1	0	27
162	21	2	29	-27
163	21	2.5	-29	28
164	21	3	-29	29
165	21	3.5	30	-29
166	21	4	31	-29
170	22	2	30	26
172	22	3	30	26
176	23	1	30	26
177.5	23	1.75	29	24
178	23	2	29	25
180	23	3	29	22
182	23	4	0	0
184	24	1	0	0
188	24	3	0	29
189	24	3.5	29	-29
190	24	4	30	26
191	24	4.5	31	29
192	25	1	30	28
193	25	1.5	28	26
194	25	2	29	25
195	25	2.5	32	-25
196	25	3	28	26
197	25	3.5	29	-26
198	25	4	30	-26
200	26	1	29	0
201	26	1.5	-29	29
202	26	2	0	28
203	26	2.5	0	29
204.5	26	3.25	0	28
205	26	3.5	0	27
206	26	4	0	26
207	26	4.5	0	22
208	27	1	0	25
209	27	1.5	29	-25
210	27	2	29	26
211	27	2.5	29	27
212	27	3	-29	28
212.5	27	3.25	29	-28
213	27	3.5	32	28
214	27	4	31	29
215	27	4.5	29	-29
216	28	1	0	29
218	28	2	0	28
222	28	4	0	27
223	28	4.5	28	-27
224	29	1	26	26
226	29	2	29	-26
228	29	3	29	25
232	30	1	29	-25
*-	*-	*-	*-	*-
