**absq	**bar	**beat	**b7	**b7
0	1	1	25	32
1	1	2	-25	32
2	1	3	-25	32
3	1	4	-25	32
3.5	1	4.5	-25	32
4	2	1	-25	32
5.5	2	2.5	-25	33
5.75	2	2.75	-25	34
6	2	3	18	32
8.5	3	1.5	-18	36
9	3	2	24	36
9.75	3	2.75	-24	33
10	3	3	25	34
10.5	3	3.5	-25	34
11	3	4	-25	34
11.75	3	4.75	-25	35
12	4	1	23	35
13	4	2	-23	34
13.5	4	2.5	-23	34
14	4	3	22	36
15	4	4	-22	37
16	5	1	21	-37
17	5	2	-21	33
17.5	5	2.5	-21	33
18	5	3	22	33
20	6	1	18	32
24	7	1	21	0
24.5	7	1.5	-21	37
25	7	2	-21	37
25.5	7	2.5	-21	37
26	7	3	18	37
26.75	7	3.75	-18	36
27	7	4	-18	36
27.5	7	4.5	-18	35
28	8	1	18	35
28.75	8	1.75	-18	34
29	8	2	-18	34
29.5	8	2.5	-18	33
30	8	3	-18	33
30.5	8	3.5	-18	32
31	8	4	-18	32
31.75	8	4.75	-18	31
32	9	1	19	31
32.75	9	1.75	-19	30
33	9	2	-19	30
33.5	9	2.5	-19	30
34	9	3	-19	30
36	10	1	15	29
*-	*-	*-	*-	*-
