**absq	**bar	**beat	**b7
36	3	1	23
48	3	4	25
54	4	1	25
60	4	2.5	26
66	4	4	28
72	5	1	27
90	6	1	26
108	7	1	0
112	7	2	25
116	8	1	28
122	8	2.5	29
124	9	1	30
132	10	1	0
144	11	1	26
156	12	1	23
162	12	2.5	21
168	13	1	0
176	14	1	0
184	15	1	0
192	16	1	28
196	16	2	27
198	16	2.5	26
202	17	1.5	25
204	17	2	24
208	18	1	23
216	19	1	0
216	19	1	0
220	20	1	21
224	21	1	23
228	22	1	26
232	23	1	25
236	24	1	0
238	24	1.5	28
242	24	2.5	27
248	25	1	30
254	25	2.5	29
260	26	1	0
262	26	2	28
264	27	1	27
268	28	1	26
272	29	1	29
276	30	1	28
278	30	2	27
282	31	2	25
284	32	1	26
288	33	1	25
296	35	1	0
302	36	1	28
308	37	1	27
314	38	1	28
320	39	1	25
326	40	1	0
328	41	1	24
330	42	1	25
334	44	1	26
338	46	1	23
340	47	1	0
342	47	2	22
344	48	1	23
348	49	1	24
352	50	1	21
356	51	1	22
360	52	1	23
364	52	2	22
366	52	2.5	26
370	53	1.5	25
372	53	2	24
376	54	1	23
*-	*-	*-	*-
