**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	0	0	32
4	1	3	0	0	0	0	25	29	0	-32
8	2	1	0	0	0	0	-25	-29	32	34
12	2	3	0	0	0	0	28	30	-32	35
16	3	1	0	0	0	0	27	31	34	36
19	3	2.5	0	0	0	0	-27	-31	-34	35
20	3	3	0	0	0	0	25	32	34	34
21	3	3.5	0	0	0	0	26	-32	-34	35
22	3	4	0	0	0	0	27	32	-34	36
23	3	4.5	0	0	0	0	28	-32	-34	37
24	4	1	0	0	0	0	29	31	33	38
25	4	1.5	0	0	0	0	-29	30	32	-38
26	4	2	0	0	0	0	-29	29	31	-38
27	4	2.5	0	0	0	0	-29	30	32	-38
28	4	3	0	0	0	0	-29	31	33	-38
29	4	3.5	0	0	0	0	-29	32	34	-38
30	4	4	0	0	0	0	26	33	35	37
32	5	1	0	0	0	0	27	-33	34	36
33	5	1.5	0	0	0	0	-27	32	-34	-36
34	5	2	0	0	0	0	25	32	-34	-36
36	5	3	0	0	0	0	29	-32	33	-36
38	5	4	0	33	0	0	-29	31	29	-36
39	5	4.5	0	-33	0	0	-29	30	-29	-36
40	6	1	29	33	0	0	22	31	-29	36
41	6	1.5	-29	-33	0	0	-22	30	30	-36
42	6	2	-29	33	0	38	22	29	31	-36
43	6	2.5	-29	-33	0	-38	-22	30	32	-36
44	6	3	29	33	0	38	22	31	33	-36
45	6	3.5	-29	-33	0	-38	-22	32	-33	-36
46	6	4	29	-33	33	38	-22	33	31	35
47	6	4.5	-29	-33	-33	-38	-22	-33	-31	34
48	7	1	29	31	33	38	-22	-33	-31	33
49	7	1.5	-29	-31	-33	-38	-22	-33	32	-33
50	7	2	-29	29	33	-38	-22	26	33	-33
51	7	2.5	-29	-29	-33	-38	-22	-26	34	-33
52	7	3	28	30	33	37	26	-26	35	-33
53	7	3.5	-28	-30	-33	-37	-26	27	-35	-33
54	7	4	26	-30	-33	35	-26	28	-35	-33
56	8	1	27	29	31	36	0	0	0	0
57	8	1.5	-27	30	-31	-36	0	0	0	0
58	8	2	-27	31	29	-36	0	0	0	0
59	8	2.5	-27	32	-29	-36	0	0	0	0
60	8	3	26	33	30	35	0	0	0	0
61	8	3.5	25	-33	-30	34	0	0	0	0
62	8	4	24	26	31	33	0	0	0	0
63	8	4.5	23	-26	-31	32	0	0	0	0
64	9	1	22	29	-31	31	0	0	0	0
65	9	1.5	-22	-29	30	-31	0	0	0	0
66	9	2	27	-29	29	32	0	0	0	0
67	9	2.5	-27	30	-29	-32	0	0	0	0
68	9	3	26	31	-29	33	0	0	0	0
70	9	4	-26	30	28	-33	0	30	33	0
72	10	1	22	29	29	-33	0	31	33	0
73	10	1.5	-22	30	-29	-33	0	-31	-33	0
74	10	2	-22	31	-29	-33	29	29	33	38
75	10	2.5	-22	32	-29	-33	-29	30	-33	-38
76	10	3	-22	33	-29	31	29	31	-33	38
77	10	3.5	-22	-33	-29	-31	-29	32	32	-38
78	10	4	-22	-33	-29	-31	29	33	31	38
80	11	1	0	0	0	0	-29	31	33	-38
81	11	1.5	0	0	0	0	28	-31	-33	37
82	11	2	0	0	0	0	27	32	34	36
84	11	3	0	0	0	0	28	30	33	35
86	11	4	0	0	0	36	29	31	-33	33
88	12	1	0	0	0	36	25	32	32	34
90	12	2	25	29	34	36	-25	-32	-32	-34
91	12	2.5	-25	-29	-34	-36	-25	-32	31	35
91.5	12	2.75	-25	-29	-34	-36	-25	-32	30	-35
92	12	3	25	29	34	-36	-25	-32	29	36
93	12	3.5	-25	-29	-34	35	-25	-32	-29	-36
94	12	4	25	29	34	34	-25	-32	-29	-36
96	13	1	-25	-29	-34	36	0	0	0	0
97	13	1.5	24	29	33	-36	0	0	0	0
98	13	2	23	30	32	35	0	0	0	0
100	13	3	24	29	33	-35	0	0	0	0
102	13	4	25	29	32	34	0	32	0	39
104	14	1	21	28	32	35	0	30	0	39
106	14	2	-21	-28	-32	-35	28	28	32	39
107	14	2.5	-21	-28	-32	-35	-28	29	-32	-39
108	14	3	-21	-28	-32	-35	28	30	35	-39
109	14	3.5	-21	-28	-32	-35	-28	31	-35	-39
110	14	4	-21	-28	-32	-35	28	32	35	37
111	14	4.5	-21	-28	-32	-35	-28	31	-35	-37
112	15	1	0	0	0	0	-28	30	-35	39
114	15	2	0	0	0	0	26	33	35	38
116	15	3	0	0	0	0	27	32	34	-38
118	15	4	0	28	0	35	28	32	32	37
120	16	1	0	26	0	35	24	31	33	38
122	16	2	24	24	33	35	-24	-31	-33	-38
123	16	2.5	-24	25	-33	-35	-24	-31	-33	-38
124	16	3	24	26	31	-35	-24	-31	-33	-38
125	16	3.5	-24	27	-31	-35	-24	-31	-33	-38
126	16	4	24	28	31	33	-24	-31	-33	-38
127	16	4.5	-24	27	-31	-33	-24	-31	-33	-38
128	17	1	-24	26	-31	35	0	0	0	0
130	17	2	22	29	31	34	0	0	0	0
132	17	3	23	28	32	-34	0	0	0	0
134	17	4	24	28	31	33	0	0	0	0
136	18	1	20	29	31	34	0	27	0	0
139	18	2.5	-20	28	-31	-34	0	27	0	0
140	18	3	-20	27	-31	-34	0	29	0	31
142	18	4	-20	-27	-31	-34	0	29	0	-31
143	18	4.5	-20	-27	-31	-34	0	-29	0	31
144	19	1	0	0	0	0	24	31	0	33
146	19	2	0	0	0	0	-24	-31	0	33
147	19	2.5	0	0	0	0	24	30	0	-33
148	19	3	0	0	0	0	26	30	28	35
150	19	4	0	0	0	0	26	-30	-28	-35
151	19	4.5	0	0	0	0	-26	-30	28	35
152	20	1	0	0	0	0	28	-30	30	32
154	20	2	0	0	0	0	-28	28	30	35
155	20	2.5	0	0	0	0	28	-28	-30	-35
156	20	3	0	0	0	0	25	29	32	-35
158	20	4	0	0	0	0	-25	-29	-32	34
159	20	4.5	0	0	0	0	-25	30	32	-34
160	21	1	0	0	0	0	26	31	28	33
162	21	2	0	0	0	0	27	-31	29	32
