**absq	**bar	**beat	**b7
0	1	1	27
4	1	2	26
8	2	1	26
10	2	1.5	26
14	2	2.5	27
16	3	1	28
20	3	2	28
22	3	2.5	28
24	4	1	25
26	4	1.5	28
29	4	2.25	28
30	4	2.5	27
32	5	1	26
33.5	5	1.375	27
34	5	1.5	28
38	5	2.5	25
40	6	1	0
41	6	1.25	21
42	6	1.5	22
43	6	1.75	23
44	6	2	24
45	6	2.25	25
46	6	2.5	26
47	6	2.75	27
48	7	1	28
49	7	1.25	29
50	7	1.5	30
52	7	2	26
54	7	2.5	0
56	8	1	0
64	9	1	0
68	9	2	0
70	9	2.5	29
73	10	1.25	29
74	10	1.5	25
76	10	2	25
77	10	2.25	25
78	10	2.5	26
80	11	1	25
82	11	1.5	0
83	11	1.75	25
84	11	2	25
85	11	2.25	25
86.5	11	2.625	25
87	11	2.75	25
88	12	1	26
90	12	1.5	29
91	12	1.75	29
92	12	2	28
93	12	2.25	28
94.5	12	2.625	28
95	12	2.75	29
96	13	1	26
100	13	2	26
102	13	2.5	0
103	13	2.75	30
104	14	1	30
105	14	1.25	29
106	14	1.5	30
107	14	1.75	31
108	14	2	30
109	14	2.25	28
110	14	2.5	29
111	14	2.75	30
112	15	1	29
114	15	1.5	30
116	15	2	0
120	16	1	0
124	16	2	0
126	16	2.5	0
127	16	2.75	29
128	17	1	27
129.5	17	1.375	27
130	17	1.5	27
131	17	1.75	29
132	17	2	25
134	17	2.5	25
135	17	2.75	27
136	18	1	28
137.5	18	1.375	28
138	18	1.5	28
139	18	1.75	27
140	18	2	25
142	18	2.5	25
144	19	1	0
146	19	1.5	25
148	19	2	26
150	19	2.5	27
152	20	1	28
156	20	2	0
158	20	2.5	0
159	20	2.75	28
160	21	1	29
161	21	1.25	27
162	21	1.5	28
163	21	1.75	26
164	21	2	27
165.5	21	2.375	28
166	21	2.5	29
168	22	1	25
170	22	1.5	0
172	22	2	0
173	22	2.25	28
174	22	2.5	27
176	23	1	26
180	23	2	25
181	23	2.25	25
182	23	2.5	26
183.5	23	2.875	27
184	24	1	28
186	24	1.5	0
188	24	2	0
192	25	1	0
193	25	1.25	27
194	25	1.5	30
195.5	25	1.875	30
196	25	2	29
198	25	2.5	22
200	26	1	26
204	26	2	25
*-	*-	*-	*-
