**absq	**bar	**beat	**b7	**b7
137.375	35	2.375	-21	37
137.5	35	2.5	-21	36
138	35	3	22	33
140	36	1	18	32
144	37	1	0	0
144	37	1	27	0
145	37	2	-27	36
146	37	3	-27	38
148	38	1	26	-38
149	38	2	-26	35
150	38	3	25	-35
151	38	4	-25	35
151.75	38	4.75	-25	34
152	39	1	24	35
154	39	3	24	-35
154.5	39	3.5	-24	33
155	39	4	24	34
155.5	39	4.5	-24	35
156	40	1	-24	36
157	40	2	24	-36
158	40	3	25	-36
158.5	40	3.5	-25	37
158.75	40	3.75	-25	38
159	40	4	-25	39
160	41	1	22	0
160.5	41	1.5	-22	34
161	41	2	-22	34
161.5	41	2.5	-22	33
162	41	3	23	35
164	42	1	22	33
167	42	4	22	-33
168	43	1	22	0
169	43	2	21	0
170	43	3	20	0
171	43	4	-20	36
172	44	1	-20	36
173	44	2	19	35
173.25	44	2.25	-19	34
173.5	44	2.5	-19	35
173.75	44	2.75	-19	36
174	44	3	18	34
174.5	44	3.5	-18	35
174.75	44	3.75	-18	36
175	44	4	-18	37
176	45	1	17	35
178	45	3	24	-35
179	45	4	-24	34
180	46	1	-24	35
181	46	2	-24	36
182	46	3	23	37
184	47	1	21	-37
185	47	2	-21	33
186	47	3	22	33
188	48	1	18	32
189	48	2	25	-32
191	48	4	24	0
192	49	1	25	0
193	49	2	26	0
194	49	3	27	0
195	49	4	-27	36
195.25	49	4.25	-27	35
195.5	49	4.5	-27	36
195.75	49	4.75	-27	37
196	50	1	-27	38
197	50	2	26	-38
197.5	50	2.5	-26	35
198	50	3	25	37
198.25	50	3.25	-25	36
198.5	50	3.5	-25	36
198.75	50	3.75	-25	35
198.875	50	3.875	-25	34
199	50	4	-25	37
199.25	50	4.25	-25	36
199.5	50	4.5	-25	36
199.75	50	4.75	-25	35
199.875	50	4.875	-25	34
200	51	1	24	35
201.5	51	2.5	-24	33
202	51	3	-24	31
203	51	4	-24	32
204	52	1	-24	33
204.5	52	1.5	-24	34
205	52	2	-24	35
205.5	52	2.5	-24	36
206	52	3	23	37
206.5	52	3.5	-23	38
207	52	4	-23	39
208	53	1	21	-39
208.25	53	1.25	-21	38
208.5	53	1.5	-21	37
208.75	53	1.75	-21	36
209	53	2	-21	35
209.25	53	2.25	-21	33
209.5	53	2.5	-21	34
209.75	53	2.75	-21	35
210	53	3	22	33
212	54	1	18	32
216	55	1	0	0
216	55	1	27	0
218	55	3	-27	38
220	56	1	26	-38
221	56	2	-26	35
221.5	56	2.5	-26	35
222	56	3	25	37
223.5	56	4.5	-25	36
224	57	1	24	38
226	57	3	24	-38
227	57	4	24	31
227.5	57	4.5	-24	32
228	58	1	-24	33
228.5	58	1.5	-24	34
229	58	2	24	35
229.5	58	2.5	-24	36
230	58	3	25	37
230.5	58	3.5	-25	36
230.75	58	3.75	-25	37
231	58	4	-25	36
232	59	1	22	-36
233	59	2	-22	34
233.5	59	2.5	-22	33
234	59	3	23	33
234.5	59	3.5	-23	34
235	59	4	-23	33
235.5	59	4.5	-23	34
235.75	59	4.75	-23	35
236	60	1	22	33
239	60	4	22	-33
240	61	1	22	0
241	61	2	21	0
242	61	3	20	0
243	61	4	-20	36
244	62	1	-20	34
244.25	62	1.25	-20	35
244.5	62	1.5	-20	36
244.75	62	1.75	-20	34
245	62	2	19	35
245.25	62	2.25	-19	36
245.5	62	2.5	-19	37
245.75	62	2.75	-19	36
246	62	3	18	34
246.25	62	3.25	-18	35
246.5	62	3.5	-18	36
246.75	62	3.75	-18	34
247	62	4	-18	32
247.25	62	4.25	-18	33
247.5	62	4.5	-18	34
247.75	62	4.75	-18	35
248	63	1	17	33
248.25	63	1.25	-17	28
248.5	63	1.5	-17	29
248.75	63	1.75	-17	30
249	63	2	-17	31
249.25	63	2.25	-17	32
249.5	63	2.5	-17	33
249.75	63	2.75	-17	34
250	63	3	-17	35
252	64	1	24	-35
252.25	64	1.25	-24	31
252.5	64	1.5	-24	32
252.75	64	1.75	-24	33
253	64	2	-24	34
253.25	64	2.25	-24	35
253.5	64	2.5	-24	36
