**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	0	0	0	29	0	0	0
4	1	2	0	0	0	0	0	0	0	0	29	0	0	0
6	1	2.5	0	0	0	0	0	0	0	0	29	0	0	0
10	1	3.5	0	0	0	0	0	0	0	0	29	0	0	0
12	2	1	0	0	0	0	0	0	0	0	27	36	0	0
15	2	1.75	0	0	0	0	0	0	0	0	28	-36	0	0
16	2	2	0	0	0	0	0	0	0	0	29	36	0	0
17	2	2.25	0	0	0	0	0	0	0	0	30	-36	0	0
18	2	2.5	0	0	0	0	0	0	0	0	29	36	0	0
21	2	3.25	0	0	0	0	0	0	0	0	28	-36	0	0
22	2	3.5	0	0	0	0	0	0	0	0	27	36	0	0
23	2	3.75	0	0	0	0	0	0	0	0	26	-36	0	0
24	3	1	0	0	0	0	0	0	0	0	25	34	0	36
25	3	1.25	0	0	0	0	0	0	0	0	26	-34	0	-36
26	3	1.5	0	0	0	0	0	0	0	0	27	-34	0	-36
27	3	1.75	0	0	0	0	0	0	0	0	28	33	0	-36
27.5	3	1.875	0	0	0	0	0	0	0	0	-28	32	0	-36
28	3	2	0	0	0	0	0	0	0	0	29	31	0	36
30	3	2.5	0	0	0	0	0	0	0	0	25	32	0	36
32	3	3	0	0	0	0	0	0	0	0	29	-32	0	-36
34	3	3.5	0	0	0	0	0	0	0	0	-29	31	0	36
36	4	1	0	0	0	0	0	0	0	0	25	32	32	34
38	4	1.5	0	0	0	0	0	0	0	0	-25	-32	-32	36
40	4	2	0	0	0	0	0	0	0	0	28	30	32	-36
41	4	2.25	0	0	0	0	0	0	0	0	-28	-30	-32	35
42	4	2.5	0	0	0	0	0	0	0	0	-28	28	32	35
44	4	3	0	0	0	0	0	0	0	0	25	29	-32	-35
46	4	3.5	0	0	0	0	0	0	0	0	-25	-29	32	34
48	5	1	0	0	0	0	0	0	0	0	0	28	30	35
50	5	1.5	0	0	0	0	0	0	0	0	28	30	32	35
52	5	2	0	0	0	0	0	0	0	0	28	30	32	35
54	5	2.5	0	0	0	0	0	0	0	0	28	30	32	35
56	5	3	0	0	0	0	0	0	0	0	25	29	32	34
60	6	1	0	0	0	0	0	0	0	0	0	0	0	0
62	6	1.5	0	0	0	0	0	0	0	0	25	32	29	34
64	6	2	0	0	0	0	0	0	0	0	25	32	29	34
66	6	2.5	0	0	0	0	0	0	0	0	25	32	29	34
68	6	3	0	0	0	0	0	0	0	0	25	32	29	34
70	6	3.5	0	0	0	0	0	0	0	0	25	32	29	34
72	7	1	0	0	0	0	0	0	0	0	28	32	30	35
75	7	1.75	0	0	0	0	0	0	0	0	-28	-32	29	34
76	7	2	0	0	0	0	0	0	0	0	-28	-32	30	35
77	7	2.25	0	0	0	0	0	0	0	0	-28	-32	31	36
78	7	2.5	0	0	0	0	0	0	0	0	-28	-32	32	37
80	7	3	0	0	0	0	0	0	0	0	-28	30	28	-37
82	7	3.5	0	0	0	0	0	0	0	0	-28	-30	32	36
83	7	3.75	0	0	0	0	0	0	0	0	-28	-30	-32	35
84	8	1	0	0	0	0	0	0	0	0	25	29	-32	34
86	8	1.5	0	0	0	0	0	0	0	0	-25	32	31	-34
87	8	1.75	0	0	0	0	0	0	0	0	-25	-32	30	-34
88	8	2	0	0	0	0	0	0	0	0	27	-32	29	36
89	8	2.25	0	0	0	0	0	0	0	0	-27	31	-29	-36
90	8	2.5	0	0	0	0	0	0	0	0	-27	29	32	-36
92	8	3	0	0	0	0	0	0	0	0	26	30	-32	35
94	8	3.5	0	0	0	0	0	0	0	0	-26	28	31	-35
96	9	1	0	0	0	0	0	0	0	0	25	29	32	34
98	9	1.5	0	0	0	0	0	0	0	0	24	31	35	33
101	9	2.25	0	0	0	0	0	0	0	0	-24	30	-35	32
102	9	2.5	0	0	0	0	0	0	0	0	25	29	34	32
104	9	3	0	0	0	0	0	0	0	0	29	0	33	-32
106	9	3.5	0	0	0	0	0	0	0	0	-29	29	-33	31
