**absq	**bar	**beat	**b7
0	1	1	32
2	1	2	33
4	1	3	33
5	1	3.5	32
7	1	4.5	32
8	2	1	34
10	2	2	32
13	2	3.5	32
14	2	4	33
16	3	1	33
17	3	1.5	33
19	3	2.5	33
20	3	3	32
22	3	4	31
23	3	4.5	31
24	4	1	31
25	4	1.5	31
26	4	2	30
27.5	4	2.75	30
28	4	3	32
30	4	4	31
32	5	1	31
34	5	2	0
35	5	2.5	32
37	5	3.5	31
39	5	4.5	30
40	6	1	31
44	6	3	32
46	6	4	33
48	7	1	33
49	7	1.5	32
51	7	2.5	32
52	7	3	34
54	7	4	32
57	8	1.5	32
58	8	2	33
60	8	3	33
61	8	3.5	33
63	8	4.5	33
64	9	1	32
66	9	2	31
67	9	2.5	31
68	9	3	31
69	9	3.5	31
70	9	4	30
71.5	9	4.75	30
72	10	1	32
74	10	2	31
76	10	3	31
78	10	4	0
79	10	4.5	32
81	11	1.5	31
83	11	2.5	30
84	11	3	31
86	11	4	31
88	12	1	29
89.5	12	1.75	29
90	12	2	32
91	12	2.5	32
92	12	3	32
94	12	4	32
96	13	1	0
104	14	1	0
112	15	1	0
120	16	1	31
121.333	16	1.66667	31
122.667	16	2.33333	32
124	16	3	31
126.667	16	4.33333	31
128	17	1	31
129.333	17	1.66667	31
130.667	17	2.33333	31
132	17	3	32
134.667	17	4.33333	32
136	18	1	35
142	18	4	33
144	19	1	0
145	19	1.5	33
146	19	2	32
147	19	2.5	32
148	19	3	32
150	19	4	31
153	20	1.5	31
154	20	2	31
156	20	3	32
158	20	4	33
159.5	20	4.75	0
*-	*-	*-	*-
