**absq	**bar	**beat	**b7
16	3	1	23
22	3	2.5	24
24	4	1	25
28	4	2	25
32	5	1	26
36	5	2	28
40	6	1	27
48	7	1	26
56	8	1	0
64	9	1	0
72	10	1	23
78	10	4	24
80	11	1	25
84	11	3	25
88	12	1	26
92	12	3	28
96	13	1	27
104	14	1	26
112	15	1	0
120	16	1	0
128	17	1	23
134	17	2.5	24
136	18	1	25
140	18	2	25
144	19	1	26
148	19	2	28
152	20	1	27
160	21	1	26
168	22	1	26
176	23	1	0
176	23	1	0
184	24	1	0
192	25	1	0
196	25	2	25
200	26	1	28
206	26	2.5	29
208	27	1	30
216	28	1	0
224	29	1	0
232	30	1	0
236	30	3	25
240	31	1	28
246	31	4	29
248	32	1	30
256	33	1	0
264	34	1	26
270	34	2.5	25
271	34	2.75	24
272	35	1	23
276	35	2	21
280	36	1	0
288	37	1	26
294	37	2.5	25
295	37	2.75	24
296	38	1	23
300	38	2	21
304	39	1	28
312	40	1	0
312	40	1	28
316	40	3	27
318	41	1	26
322	41	3	25
324	42	1	24
330	43	1	23
342	45	1	0
348	46	1	0
354	47	1	28
358	47	2	27
360	47	2.5	26
364	48	1.5	25
366	48	2	24
370	49	1	23
378	50	1	0
386	51	1	28
390	51	2	27
392	51	2.5	26
396	52	1.5	25
398	52	2	24
402	53	1	23
410	54	1	0
418	55	1	23
*-	*-	*-	*-
