**absq	**bar	**beat	**b7	**b7	**b7
0	91	1	0	27	0
8	92	1	0	29	0
12	92	3	0	30	0
16	93	1	0	29	31
22	93	4	0	29	-31
24	94	1	0	-29	33
26	94	2	0	28	-33
28	94	3	0	29	34
30	94	4	0	30	-34
32	95	1	24	31	33
35	95	2.5	-24	30	-33
36	95	3	-24	29	-33
38	95	4	-24	28	-33
39	95	4.5	-24	27	-33
40	96	1	26	28	0
42	96	2	-26	-28	33
44	96	3	27	0	-33
46	96	4	-27	29	32
48	97	1	26	-29	33
50	97	2	-26	28	-33
52	97	3	0	29	34
54	97	4	26	30	35
56	98	1	-26	31	-35
58	98	2	25	32	34
60	98	3	26	28	33
62	98	4	-26	31	-33
64	99	1	27	-31	32
66	99	2	28	30	-32
68	99	3	-28	29	-32
70	99	4	27	-29	-32
71	99	4.5	26	-29	-32
72	100	1	27	25	0
73	100	1.5	26	-25	0
74	100	2	25	-25	32
75	100	2.5	24	-25	-32
76	100	3	23	0	32
77	100	3.5	22	0	-32
78	100	4	23	28	32
80	101	1	24	28	33
82	101	2	-24	28	35
84	101	3	0	29	34
85	101	3.5	0	-29	33
86	101	4	0	31	33
87	101	4.5	0	-31	32
87.5	101	4.75	0	-31	31
88	102	1	0	30	32
90	102	2	25	29	-32
91	102	2.5	-25	-29	33
92	102	3	25	-29	34
93	102	3.5	-25	28	-34
94	102	4	25	29	-34
95	102	4.5	-25	30	-34
96	103	1	26	31	33
98	103	2	28	30	32
100	103	3	27	-30	-32
101	103	3.5	-27	29	31
102	103	4	-27	29	29
104	104	1	26	-29	30
106	104	2	-26	28	-30
107	104	2.5	-26	27	29
108	104	3	0	28	30
110	104	4	29	29	31
112	105	1	-29	26	30
114	105	2	28	-26	-30
116	105	3	29	0	31
119	105	4.5	28	0	-31
120	106	1	27	0	-31
122	106	2	26	31	-31
124	106	3	27	-31	32
126	106	4	28	30	-32
128	107	1	24	31	33
131	107	2.5	-24	30	-33
132	107	3	-24	29	0
134	107	4	-24	28	33
136	108	1	0	29	-33
138	108	2	0	30	32
140	108	3	0	26	33
142	108	4	0	29	-33
143	108	4.5	0	-29	32
144	109	1	0	-29	31
146	109	2	26	28	30
148	109	3	-26	26	31
150	109	4	25	27	32
152	110	1	26	28	30
