**absq	**bar	**beat	**b7	**b7
0	0	1	33	0
2	0	2	32	37
4	0	3	31	36
5	0	3.5	30	-36
5.5	0	3.75	29	-36
6	0	4	30	35
6.5	0	4.25	31	-35
6.75	0	4.375	32	-35
7	0	4.5	33	34
7.5	0	4.75	-33	33
8	2	1	-33	34
9	2	1.5	32	-34
10	2	2	33	33
11	2	2.5	-33	35
12	2	3	30	-35
13	2	3.5	-30	34
14	2	4	29	36
16	3	1	28	32
17	3	1.5	27	35
17.5	3	1.75	26	-35
18	3	2	27	34
20	3	3	26	30
22	3	4	30	35
24	4	1	30	32
24.5	4	1.25	30	32
25	4	1.5	27	32
25.5	4	1.75	30	33
26	4	2	30	31
27	4	2.5	29	-31
28	4	3	30	32
30	4	4	0	33
32	5	1	29	34
33	5	1.5	30	-34
34	5	2	-30	35
35	5	2.5	31	-35
36	5	3	29	34
38	5	4	30	35
39	5	4.5	31	-35
40	6	1	-31	36
41	6	1.5	30	-36
41.5	6	1.75	29	-36
42	6	2	30	32
44	6	3	31	33
45	6	3.5	31	-33
46	6	4	30	32
47.5	6	4.75	31	33
48	7	1	29	31
49	7	1.5	29	32
50	7	2	29	30
51	7	2.5	28	-30
52	7	3	29	29
54	7	4	33	0
55	7	4.5	32	37
55.5	7	4.75	31	-37
56	8	1	32	36
56.5	8	1.25	-32	35
57	8	1.5	29	36
58	8	2	31	33
59	8	2.5	-31	35
60	8	3	30	-35
61	8	3.5	-30	34
62	8	4	30	35
63	8	4.5	30	34
63.5	8	4.75	31	33
64	9	1	29	34
65	9	1.5	30	32
66	9	2	30	33
67	9	2.5	29	-33
68	9	3	30	32
69	9	3.5	30	35
70	9	4	32	34
71	9	4.5	28	33
72	10	1	28	32
73	10	1.5	-28	31
73.5	10	1.75	-28	30
74	10	2	27	29
76	10	3	28	30
77	10	3.5	32	-30
78	10	4	30	0
79	10	4.5	-30	35
79.5	10	4.75	31	-35
80	11	1	29	34
81.5	11	1.75	28	35
82	11	2	31	33
83	11	2.5	30	36
83.5	11	2.75	29	-36
84	11	3	30	36
85	11	3.5	-30	35
86	11	4	29	36
88	12	1	0	37
89	12	1.5	33	35
89.5	12	1.75	-33	34
90	12	2	31	33
90.5	12	2.25	30	30
91	12	2.5	29	31
91.5	12	2.75	27	32
92	12	3	29	33
92.5	12	3.25	30	-33
93	12	3.5	31	-33
94	12	4	-31	33
94.5	12	4.25	-31	32
95	12	4.5	31	33
95.5	12	4.75	-31	31
96	13	1	31	32
97	13	1.5	30	-32
98	13	2	31	33
98.5	13	2.25	28	-33
99	13	2.5	29	-33
99.5	13	2.75	30	-33
100	13	3	31	0
100.5	13	3.25	29	31
101	13	3.5	31	33
101.5	13	3.75	32	34
102	13	4	33	35
102.5	13	4.25	-33	33
103	13	4.5	-33	35
103.5	13	4.75	-33	36
104	14	1	0	37
105	14	1.5	30	-37
105.5	14	1.75	31	-37
106	14	2	32	0
107	14	2.5	33	34
108	14	3	32	34
109	14	3.5	33	-34
111	14	4.5	32	-34
112	15	1	33	33
*-	*-	*-	*-	*-
