**absq	**bar	**beat	**b7
2	1	2	34
4	1	3	33
6	1	4	35
9	2	1.5	35
10	2	2	36
12	2	3	38
14	2	4	37
16	3	1	0
17	3	1.5	35
18	3	2	35
19.5	3	2.75	36
20	3	3	35
21	3	3.5	34
22	3	4	35
24	4	1	36
25	4	1.5	36
26	4	2	36
27.5	4	2.75	34
28	4	3	36
29	4	3.5	37
30	4	4	36
32	5	1	36
33	5	1.5	34
33.5	5	1.75	34
34	5	2	34
35	5	2.5	35
35.5	5	2.75	34
36	5	3	35
38	5	4	0
39	5	4.5	35
40	6	1	34
41.5	6	1.75	33
41.75	6	1.875	32
42	6	2	33
43	6	2.5	32
43.5	6	2.75	32
44	6	3	32
46	6	4	33
49	7	1.5	33
50	7	2	32
52	7	3	32
54	7	4	31
56	8	1	33
57	8	1.5	33
58.5	8	2.25	34
59	8	2.5	33
59.5	8	2.75	32
60	8	3	33
64	9	1	32
65	9	1.5	32
66	9	2	32
67.5	9	2.75	30
68	9	3	32
69	9	3.5	33
70	9	4	32
72	10	1	32
73	10	1.5	32
73.5	10	1.75	32
74	10	2	32
75	10	2.5	33
75.5	10	2.75	32
76	10	3	33
80	11	1	0
82	11	2	0
83	11	2.5	33
84	11	3	35
87	11	4.5	34
87.5	11	4.75	33
88	12	1	34
89	12	1.5	32
90	12	2	33
94	12	4	32
95	12	4.5	34
95.5	12	4.75	34
96	13	1	34
97	13	1.5	35
97.5	13	1.75	34
98	13	2	35
100	13	3	0
102	13	4	0
103	13	4.5	35
104	14	1	37
104.5	14	1.25	36
104.75	14	1.375	35
105	14	1.5	36
105.5	14	1.75	34
106	14	2	35
110	14	4	34
112	15	1	31
114	15	2	31
115	15	2.5	31
116	15	3	32
118	15	4	30
120	16	1	29
121	16	1.5	29
121.5	16	1.75	29
122	16	2	30
125	16	3.5	29
125.5	16	3.75	28
126	16	4	29
128	17	1	30
130	17	2	0
130.5	17	2.25	37
131	17	2.5	35
131.5	17	2.75	34
132	17	3	33
132.5	17	3.25	30
133	17	3.5	31
133.5	17	3.75	32
134	17	4	33
135	17	4.5	33
136	18	1	34
140	18	3	33
146	19	2	32
147	19	2.5	34
148	19	3	33
150	19	4	32
152	21	1	0
153	21	1.5	31
153.5	21	1.75	32
154	21	2	33
154.5	21	2.25	31
155	21	2.5	34
156	21	3	33
157	21	3.5	31
158	21	4	32
159	21	4.5	33
160	22	1	31
162	22	2	30
163	22	2.5	33
163.5	22	2.75	32
164	22	3	31
164.5	22	3.25	32
165	22	3.5	33
166	22	4	32
166.5	22	4.25	33
166.75	22	4.375	34
167	22	4.5	35
167.5	22	4.75	33
168	23	1	36
170	23	2	36
171	23	2.5	36
172	23	3	35
175	23	4.5	33
176	24	1	34
177	24	1.5	32
177.5	24	1.75	33
178	24	2	34
179	24	2.5	36
181	24	3.5	35
182	24	4	34
184	25	1	33
186	25	2	0
187	25	2.5	33
188	25	3	37
191	25	4.5	36
192	26	1	36
193.5	26	1.75	37
194	26	2	38
196	26	3	37
200	27	1	0
204	27	3	0
206	27	4	0
207	27	4.5	34
208	28	1	35
210	28	2	35
214	28	4	34
214.5	28	4.25	33
215	28	4.5	32
216	29	1	36
218	29	2	0
220	29	3	0
221	29	3.5	33
221.5	29	3.75	33
222	29	4	33
225	30	1.5	32
225.5	30	1.75	31
226	30	2	32
228	30	3	33
229	30	3.5	35
229.5	30	3.75	35
230	30	4	35
233	31	1.5	34
233.5	31	1.75	33
234	31	2	34
236	31	3	30
240	32	1	33
241	32	1.5	33
242	32	2	33
244	32	3	33
245	32	3.5	34
246	32	4	35
248	33	1	35
249	33	1.5	35
250	33	2	34
250.5	33	2.25	35
251	33	2.5	33
251.5	33	2.75	34
252	33	3	32
254	33	4	32
256	34	1	32
257	34	1.5	32
258	34	2	32
260	34	3	33
261	34	3.5	33
262	34	4	34
264	35	1	34
265	35	1.5	34
266	35	2	33
266.5	35	2.25	34
267	35	2.5	32
267.5	35	2.75	33
268	35	3	31
270	35	4	31
272	36	1	31
273	36	1.5	31
274	36	2	32
275	36	2.5	31
275.5	36	2.75	32
276	36	3	33
277	36	3.5	33
279	36	4.5	33
279.5	36	4.75	33
280	37	1	33
282	37	2	33
284	37	3	33
285	37	3.5	33
286	37	4	34
287	37	4.5	33
287.5	37	4.75	34
288	38	1	35
289	38	1.5	35
291	38	2.5	35
291.5	38	2.75	35
292	38	3	35
294	38	4	35
295	38	4.5	31
297	39	1.5	32
297.5	39	1.75	32
298	39	2	31
300	39	3	32
*-	*-	*-	*-
