**absq	**bar	**beat	**b7
0	1	1	29
2	1	2	32
3.5	1	2.75	32
4	1	3	30
5	1	3.5	28
6	1	4	29
8	2	1	29
10	2	2	0
11	2	2.5	32
12	2	3	31
13.5	2	3.75	31
14	2	4	32
15	2	4.5	29
16	3	1	30
18	3	2	29
20	3	3	0
22	3	4	0
23	3	4.5	25
24	4	1	29
25.5	4	1.75	29
26	4	2	27
27	4	2.5	27
28	4	3	26
30	4	4	27
32	5	1	26
34	5	2	27
35.5	5	2.75	28
36	5	3	29
37	5	3.5	25
38	5	4	29
40	6	1	27
41	6	1.5	29
43	6	2.5	25
45	6	3.5	25
46	6	4	28
47	6	4.5	26
48	7	1	28
49.5	7	1.75	27
50	7	2	26
50.5	7	2.25	25
51	7	2.5	24
52	7	3	25
58	8	2	0
60	8	3	0
64	9	1	0
68	9	3	29
69	9	3.5	29
69.5	9	3.75	28
70	9	4	27
71.5	9	4.75	26
72	10	1	25
73	10	1.5	29
74	10	2	28
75	10	2.5	25
76	10	3	25
77	10	3.5	27
78	10	4	26
78.5	10	4.25	27
79	10	4.5	28
79.5	10	4.75	29
80	11	1	30
80.5	11	1.25	29
81	11	1.5	28
81.5	11	1.75	27
82	11	2	26
82.5	11	2.25	25
83	11	2.5	24
84	11	3	25
86	11	4	29
87	11	4.5	29
87.5	11	4.75	28
88	12	1	27
91	12	2.5	30
92	12	3	30
93.5	12	3.75	29
94	12	4	28
95	12	4.5	29
96	13	1	30
97	13	1.5	28
98	13	2	29
98.5	13	2.25	25
99	13	2.5	32
101	13	3.5	31
102	13	4	30
104	14	1	29
112	15	1	0
112	15	1	0
120	16	1	0
122	16	2	0
123	16	2.5	29
125	16	3.5	30
127	16	4.5	29
128	17	1	28
129	17	1.5	27
129.5	17	1.75	26
130	17	2	27
131	17	2.5	28
132	17	3	29
133	17	3.5	30
134.5	17	4.25	29
135	17	4.5	28
135.5	17	4.75	27
136	18	1	26
137	18	1.5	29
138.5	18	2.25	28
139	18	2.5	27
140	18	3	26
141	18	3.5	27
142	18	4	26
144	19	1	27
146	19	2	0
147	19	2.5	29
148	19	3	29
149	19	3.5	30
150	19	4	28
151	19	4.5	29
152	20	1	30
154	20	2	29
155	20	2.5	25
156	20	3	28
157.5	20	3.75	28
158	20	4	31
159	20	4.5	32
160	21	1	28
162	21	2	29
163	21	2.5	29
164	21	3	29
165	21	3.5	30
166	21	4	28
167	21	4.5	29
168	22	1	30
169.5	22	1.75	29
170	22	2	28
174	22	4	27
176	23	1	0
184	24	1	0
192	25	1	0
200	26	1	0
204	26	3	0
206	26	4	31
208	27	1	30
209	27	1.5	31
210.5	27	2.25	31
211	27	2.5	32
212	27	3	30
213	27	3.5	31
214	27	4	32
215	27	4.5	32
216	28	1	31
217	28	1.5	32
218.5	28	2.25	32
219	28	2.5	28
220	28	3	29
222	28	4	28
224	29	1	0
226	29	2	0
227	29	2.5	25
228	29	3	28
229	29	3.5	25
230	29	4	29
231	29	4.5	31
233	30	1.5	30
235	30	2.5	29
236	30	3	30
237	30	3.5	31
238	30	4	32
239	30	4.5	32
239.5	30	4.75	31
240	31	1	30
242	31	2	30
243	31	2.5	28
244	31	3	31
245	31	3.5	28
246	31	4	29
247	31	4.5	32
248	32	1	32
249.5	32	1.75	32
250	32	2	30
252	32	3	0
256	33	1	0
264	34	1	0
268	34	3	0
270	34	4	0
271	34	4.5	29
272	35	1	32
273.5	35	1.75	30
274	35	2	31
275	35	2.5	32
276	35	3	28
278	35	4	29
279	35	4.5	29
280	36	1	31
281.5	36	1.75	29
282	36	2	31
283	36	2.5	31
284	36	3	32
286	36	4	32
287	36	4.5	25
288	37	1	29
289	37	1.5	28
290.5	37	2.25	28
291	37	2.5	26
292	37	3	25
294	37	4	26
295	37	4.5	29
296	38	1	27
297	38	1.5	26
298.5	38	2.25	26
299	38	2.5	26
300	38	3	28
301	38	3.5	29
302	38	4	30
304	39	1	29
306	39	2	0
307	39	2.5	29
309	39	3.5	32
310	39	4	31
311	39	4.5	28
311.5	39	4.75	29
312	40	1	26
313	40	1.5	29
314	40	2	29
315	40	2.5	29
316	40	3	31
317	40	3.5	30
317.5	40	3.75	29
318	40	4	28
319	40	4.5	29
320	41	1	0
321	41	1.5	29
322	41	2	32
323	41	2.5	28
324	41	3	29
328	42	1	29
329	42	1.5	29
330	42	2	28
331.5	42	2.75	27
332	42	3	26
333	42	3.5	27
334	42	4	29
336	43	1	29
338	43	2	0
339	43	2.5	29
341	43	3.5	32
342	43	4	31
343	43	4.5	28
343.5	43	4.75	29
344	44	1	26
345	44	1.5	29
346	44	2	29
347	44	2.5	29
348	44	3	31
349	44	3.5	30
349.5	44	3.75	29
350	44	4	28
351	44	4.5	29
352	45	1	0
353	45	1.5	29
354	45	2	32
355	45	2.5	28
356	45	3	29
360	46	1	29
361	46	1.5	29
362	46	2	28
363	46	2.5	27
364	46	3	26
365	46	3.5	27
366	46	4	29
368	47	1	29
*-	*-	*-	*-
