**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	0	1	0	0	0	0	0	0	32	0
8	3	1	0	0	0	0	0	0	35	0
12	3	3	0	0	0	0	0	0	35	0
16	4	1	0	0	25	0	0	0	34	0
22	4	4	0	0	-25	0	0	0	33	0
24	5	1	0	0	28	0	0	0	32	0
26	5	2	0	0	-28	0	0	0	31	0
28	5	3	0	0	28	0	0	0	30	0
32	6	1	0	0	27	0	29	0	29	0
36	6	3	0	0	-27	0	-29	0	31	0
38	6	4	0	0	26	0	-29	0	-31	0
40	7	1	0	0	25	0	32	0	30	0
42	7	2	0	0	24	0	-32	0	29	0
44	7	3	0	0	23	0	32	0	-29	0
46	7	4	0	0	-23	0	-32	0	28	0
48	8	1	0	22	22	0	31	0	29	0
50	8	2	0	-22	29	0	-31	0	-29	0
54	8	4	0	-22	28	0	30	0	-29	0
56	9	1	0	25	27	25	29	0	-29	0
58	9	2	0	-25	26	-25	28	0	-29	0
60	9	3	0	25	25	-25	27	0	-29	0
62	9	4	0	-25	25	-25	-27	0	-29	0
64	10	1	0	24	26	28	26	0	0	33
67	10	2.5	0	-24	-26	27	-26	0	0	-33
68	10	3	0	-24	-26	26	28	0	0	-33
70	10	4	0	23	-26	25	-28	0	0	-33
72	11	1	0	22	0	24	27	0	0	36
74	11	2	0	21	0	23	26	0	0	-36
76	11	3	0	20	0	22	-26	0	0	36
78	11	4	0	-20	0	-22	25	0	0	-36
80	12	1	0	19	0	23	26	26	0	35
82	12	2	0	-19	0	26	-26	-26	0	-35
86	12	4	0	-19	0	25	-26	-26	0	34
88	13	1	0	0	0	24	0	29	0	33
90	13	2	0	0	0	23	0	-29	0	32
92	13	3	0	0	0	22	0	29	0	31
96	14	1	19	0	0	26	0	28	0	30
98	14	2	-19	0	0	-26	0	-28	0	33
102	14	4	-19	0	0	0	0	27	0	32
104	15	1	22	0	0	26	0	26	0	31
106	15	2	-22	0	0	-26	0	25	0	30
108	15	3	22	0	0	26	0	24	0	29
110	15	4	-22	0	0	26	0	-24	0	29
112	16	1	21	0	23	28	0	25	0	30
116	16	3	-21	0	-23	21	0	-25	0	-30
118	16	4	20	0	-23	22	0	-25	0	-30
120	17	1	19	0	26	23	26	28	0	0
122	17	2	18	0	-26	-23	-26	-28	0	0
124	17	3	17	0	26	24	-26	28	0	0
128	18	1	0	18	25	22	29	27	32	0
131	18	2.5	0	-18	24	-22	-29	-27	-32	0
132	18	3	0	-18	22	-22	29	27	-32	0
134	18	4	0	-18	25	-22	-29	-27	-32	0
136	19	1	0	19	-25	0	28	26	35	0
138	19	2	0	-19	24	0	-28	-26	-35	0
139	19	2.5	0	-19	23	0	-28	25	-35	0
140	19	3	0	19	24	0	-28	26	35	0
142	19	4	0	-19	-24	0	26	26	-35	0
144	20	1	18	18	25	0	27	29	34	32
146	20	2	-18	25	-25	0	-27	-29	-34	-32
148	20	3	-18	18	-25	0	25	29	34	-32
150	20	4	-18	25	-25	0	-25	-29	-34	-32
152	21	1	19	-25	0	0	0	28	33	35
154	21	2	-19	24	0	0	0	-28	-33	-35
155	21	2.5	-19	23	0	0	0	-28	32	-35
156	21	3	19	24	0	0	26	-28	33	35
158	21	4	-19	-24	0	0	-26	26	-33	-35
160	22	1	18	25	0	25	29	27	0	34
162	22	2	25	-25	0	-25	-29	-27	0	-34
164	22	3	18	0	0	-25	29	25	0	34
166	22	4	25	0	0	-25	-29	-25	0	-34
168	23	1	-25	0	0	28	28	0	0	33
170	23	2	24	0	0	-28	-28	0	35	-33
171	23	2.5	23	0	0	-28	-28	0	-35	32
172	23	3	24	0	0	28	0	26	-35	33
174	23	4	-24	0	0	-28	0	-26	33	-33
176	24	1	25	18	22	27	0	29	34	32
179	24	2.5	-25	-18	-22	26	0	-29	-34	-32
179.5	24	2.75	-25	-18	-22	25	0	-29	-34	-32
180	24	3	0	20	22	24	0	29	-34	0
182	24	4	0	-20	-22	27	0	-29	33	0
183	24	4.5	0	21	23	-27	0	-29	32	0
184	25	1	0	22	24	26	0	29	31	0
186	25	2	0	20	22	25	0	-29	32	0
188	25	3	0	21	23	26	0	28	-32	33
190	25	4	0	22	24	-26	29	26	31	-33
192	26	1	18	18	22	25	27	29	32	34
194	26	2	-18	-18	25	22	-27	-29	-32	-34
195	26	2.5	-18	-18	-25	-22	28	-29	-32	-34
196	26	3	20	0	24	22	29	-29	0	-34
198	26	4	-20	0	27	-22	-29	-29	0	33
199	26	4.5	21	0	-27	23	-29	-29	0	32
200	27	1	22	0	26	24	-29	0	0	31
202	27	2	20	0	25	22	29	0	0	32
204	27	3	21	0	26	23	28	0	33	-32
206	27	4	22	0	26	24	26	0	-33	31
208	28	1	18	18	25	22	29	27	34	32
210	28	2	-18	-18	-25	-22	-29	-27	-34	32
212	28	3	0	25	0	0	-29	27	0	34
214	28	4	18	-25	0	0	-29	-27	32	-34
216	29	1	25	0	29	27	0	0	34	0
218	29	2	-25	18	-29	-27	0	0	-34	32
220	29	3	0	25	29	27	0	0	0	34
222	29	4	18	-25	-29	-27	0	0	32	-34
224	30	1	25	0	0	0	29	27	34	0
226	30	2	-25	18	29	25	-29	-27	-34	0
227	30	2.5	-25	-18	-29	-25	-29	-27	33	0
228	30	3	0	25	29	27	29	27	32	0
230	30	4	0	25	27	25	-29	-27	34	0
232	31	1	0	24	28	26	0	0	33	0
234	31	2	0	22	29	27	0	0	31	0
236	31	3	0	23	29	25	0	0	32	0
238	31	4	0	23	28	25	0	0	32	0
240	32	1	22	22	29	26	0	29	33	33
244	32	3	22	0	0	0	29	31	0	33
248	33	1	0	22	26	24	31	0	33	0
252	33	3	0	22	26	24	0	0	33	0
254	33	4	0	-22	-26	-24	29	0	-33	0
256	34	1	22	0	0	0	31	0	0	33
258	34	2	-22	0	26	22	-31	0	0	-33
259	34	2.5	-22	0	-26	-22	30	0	0	-33
260	34	3	22	0	26	24	29	0	0	33
262	34	4	22	0	24	22	31	0	0	-33
264	35	1	21	0	25	23	30	0	0	0
266	35	2	19	0	26	24	28	0	0	0
268	35	3	20	0	26	22	29	0	34	0
270	35	4	20	0	25	22	29	0	-34	0
272	36	1	19	19	26	23	28	30	35	0
276	36	3	0	-19	26	-23	28	-30	35	0
278	36	4	0	-19	-26	-23	-28	-30	33	0
280	37	1	0	22	24	0	29	31	33	0
284	37	3	0	22	22	0	29	31	-33	33
288	38	1	0	19	23	26	28	30	0	35
292	38	3	19	0	-23	-26	30	28	0	35
294	38	4	-19	0	-23	-26	-30	-28	0	33
296	39	1	22	0	0	24	31	29	0	33
300	39	3	22	0	0	22	31	29	33	0
304	40	1	19	0	26	23	30	28	35	30
306	40	2	-19	0	-26	-23	28	-28	-35	-30
307	40	2.5	-19	0	-26	-23	29	-28	34	-30
308	40	3	-19	0	26	-23	30	-28	33	30
309	40	3.5	-19	0	-26	-23	31	-28	-33	-30
310	40	4	-19	0	26	-23	30	-28	35	30
312	41	1	0	0	25	0	-30	0	34	32
313	41	1.5	0	0	-25	0	29	0	-34	-32
314	41	2	0	0	27	0	29	0	32	29
316	41	3	0	0	26	0	-29	0	33	31
318	41	4	0	0	26	0	28	0	33	30
320	42	1	22	0	22	26	29	0	31	29
324	42	3	-22	22	0	-26	-29	29	-31	0
328	43	1	18	25	0	27	0	29	0	0
332	43	3	18	25	0	27	0	29	0	0
336	44	1	22	24	26	26	0	29	33	31
340	44	3	-22	22	-26	0	29	-29	-33	-31
344	45	1	0	18	25	0	29	0	34	32
348	45	3	0	18	25	0	29	0	34	32
