**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	25	29	34	0
4	1	3	0	0	0	0	-25	29	-34	36
6	1	4	0	0	0	0	-25	32	-34	-36
8	2	1	0	0	0	0	25	-32	34	36
9	2	1.5	0	0	0	0	-25	31	-34	-36
10	2	2	0	0	0	0	-25	30	-34	39
11	2	2.5	0	0	0	0	-25	29	-34	-39
12	2	3	0	0	0	0	28	30	35	-39
13	2	3.5	0	0	0	0	-28	-30	-35	38
14	2	4	0	0	0	0	-28	28	-35	37
15	2	4.5	0	0	0	0	-28	-28	-35	36
16	3	1	0	0	0	0	-28	32	-35	37
18	3	2	0	0	0	0	25	-32	34	36
20	3	3	0	0	0	0	26	30	33	-36
21	3	3.5	0	0	0	0	-26	-30	-33	35
22	3	4	0	0	0	0	-26	33	-33	35
24	4	1	0	0	0	0	29	-33	31	-35
25	4	1.5	0	0	0	0	-29	32	-31	-35
26	4	2	0	0	0	0	-29	31	-31	34
27	4	2.5	0	0	0	0	-29	-31	32	-34
28	4	3	0	0	0	0	28	-31	33	35
29	4	3.5	0	0	0	0	-28	-31	34	-35
30	4	4	0	0	0	0	-28	30	35	-35
31	4	4.5	0	0	0	0	27	-30	-35	-35
31.5	4	4.75	0	0	0	0	26	-30	-35	-35
32	5	1	0	0	0	0	25	32	-35	36
34	5	2	0	25	0	0	-25	-32	34	-36
36	5	3	21	25	0	0	28	-32	35	37
38	5	4	-21	28	0	32	-28	-32	-35	-37
40	6	1	21	-28	28	32	-28	30	-35	-37
41	6	1.5	-21	27	-28	-32	-28	-30	-35	-37
42	6	2	-21	26	-28	35	-28	-30	-35	-37
43	6	2.5	-21	25	-28	-35	-28	-30	-35	-37
44	6	3	24	26	28	-35	0	0	0	0
45	6	3.5	-24	-26	-28	34	0	0	0	0
46	6	4	-24	-26	31	33	0	0	0	0
47	6	4.5	-24	27	-31	32	0	0	0	0
48	7	1	-24	28	-31	33	0	0	0	0
50	7	2	21	-28	30	32	0	0	0	0
52	7	3	22	26	29	-32	0	0	0	0
54	7	4	-22	29	-29	31	0	0	0	0
56	8	1	26	-29	30	30	0	0	0	0
57	8	1.5	-26	28	-30	-30	0	0	0	0
58	8	2	-26	28	31	28	0	0	0	0
60	8	3	25	-28	32	29	0	0	0	0
62	8	4	-25	27	-32	-29	0	0	0	0
63	8	4.5	-25	26	-32	-29	0	0	0	0
64	9	1	-25	27	-32	30	0	0	0	0
66	9	2	26	28	30	-30	0	0	0	0
67	9	2.5	-26	-28	-30	31	0	0	0	0
68	9	3	27	29	29	32	0	0	0	0
70	9	4	28	30	28	-32	0	0	0	0
72	10	1	-28	29	25	-32	25	0	0	0
74	10	2	27	-29	-25	-32	-25	0	36	0
75	10	2.5	26	-29	-25	-32	-25	0	-36	0
76	10	3	27	-29	-25	-32	25	0	36	0
78	10	4	-27	-29	29	-32	-25	0	39	32
80	11	1	28	28	30	32	28	0	-39	32
81	11	1.5	-28	29	31	-32	-28	0	38	-32
82	11	2	-28	30	32	-32	-28	32	37	35
83	11	2.5	-28	31	31	-32	-28	-32	36	-35
84	11	3	21	32	30	0	-28	32	37	-35
85	11	3.5	-21	-32	29	0	-28	-32	-37	36
86	11	4	-21	-32	30	32	-28	35	-37	37
87	11	4.5	-21	-32	-30	-32	-28	-35	-37	38
88	12	1	21	0	28	32	-28	-35	-37	39
89	12	1.5	-21	0	-28	-32	-28	34	-37	-39
90	12	2	-21	28	-28	33	-28	33	-37	35
91	12	2.5	-21	-28	-28	-33	-28	32	-37	-35
92	12	3	24	-28	0	35	26	33	38	-35
94	12	4	-24	28	26	-35	-26	-33	35	38
95	12	4.5	-24	-28	-26	34	-26	-33	-35	-38
