**absq	**bar	**beat	**b7
0	1	1	26
3	1	2.5	21
4	1	3	21
5	1	3.5	21
5.5	1	3.75	22
6	1	4	23
8	2	1	23
8.5	2	1.25	23
9	2	1.5	23
9.5	2	1.75	24
10	2	2	25
13	2	3.5	25
14	2	4	24
15.5	2	4.75	25
16	3	1	26
20	3	3	23
24	4	1	0
24.5	4	1.25	23
25	4	1.5	23
25.5	4	1.75	24
26	4	2	25
28	4	3	22
28.5	4	3.25	22
29	4	3.5	22
29.5	4	3.75	23
30	4	4	24
31.5	4	4.75	25
32	5	1	26
40	6	1	22
42	6	2	0
43	6	2.5	25
44	6	3	23
45	6	3.5	22
46.5	6	4.25	22
47	6	4.5	20
48	7	1	19
49	7	1.5	19
50	7	2	0
51	7	2.5	26
52	7	3	24
53	7	3.5	23
54.5	7	4.25	23
55	7	4.5	21
56	8	1	20
58	8	2	23
60	8	3	0
62	8	4	21
65	9	1.5	21
66	9	2	23
69	9	3.5	23
70	9	4	23
72	10	1	19
74	10	2	26
76	10	3	28
79	10	4.5	23
80	11	1	25
82	11	2	25
84	11	3	0
85	11	3.5	23
86.5	11	4.25	25
87	11	4.5	23
88	12	1	26
91	12	2.5	25
92	12	3	24
94	12	4	24
96	13	1	0
96.5	13	1.25	23
97	13	1.5	22
97.5	13	1.75	21
98	13	2	20
102	13	4	17
104	14	1	19
108	14	3	22
110	14	4	0
111	14	4.5	22
112	15	1	23
113.5	15	1.75	20
114	15	2	21
115	15	2.5	23
116	15	3	21
118	15	4	18
120	16	1	0
122	16	2	23
124	16	3	26
126	16	4	26
129	17	1.5	26
130	17	2	25
132	17	3	24
134	17	4	0
135	17	4.5	25
136	18	1	23
138	18	2	20
140	18	3	22
144	19	1	18
148	19	3	0
149	19	3.5	25
150	19	4	26
151.5	19	4.75	23
152	20	1	24
153	20	1.5	26
154	20	2	24
156	20	3	21
160	21	1	0
162	21	2	19
164	21	3	22
166	21	4	22
169	22	1.5	22
170	22	2	21
172	22	3	20
176	23	1	0
178	23	2	23
180	23	3	21
182	23	4	18
184	24	1	20
188	24	3	23
192	25	1	26
196	25	3	24
198	25	4	21
200	26	1	23
204	26	3	19
*-	*-	*-	*-
