**absq	**bar	**beat	**b7
4	1	3	32
10	2	2	32
12	2	3	32
16	3	1	32
18	3	2	33
20	3	3	32
24	4	1	31
28	4	3	32
30	4	4	31
31	4	4.5	30
32	5	1	29
34	5	2	33
36	5	3	0
40	6	1	0
41	6	1.5	32
43	6	2.5	31
44	6	3	33
46	6	4	32
47	6	4.5	32
48	7	1	31
50	7	2	31
51	7	2.5	31
52	7	3	31
54	7	4	32
55	7	4.5	33
56.5	8	1.25	32
57	8	1.5	32
58.5	8	2.25	31
58.75	8	2.375	30
59	8	2.5	31
60	8	3	32
62	8	4	0
64	9	1	0
72	10	1	0
76	10	3	30
78	10	4	32
82	11	2	33
85	11	3.5	33
86	11	4	33
88	12	1	33
90	12	2	32
91	12	2.5	31
92	12	3	32
94	12	4	33
98	13	2	32
100	13	3	33
104	14	1	34
106	14	2	35
108	14	3	33
110	14	4	32
114	15	2	31
116	15	3	32
117	15	3.5	29
118	15	4	32
120	16	1	32
121	16	1.5	32
123	16	2.5	33
124	16	3	32
128	17	1	32
130	17	2	0
132	17	3	0
136	18	1	0
138	18	2	30
140	18	3	29
141	18	3.5	30
142	18	4	33
144	19	1	34
147	19	2.5	34
148	19	3	33
149	19	3.5	32
150	19	4	33
152	20	1	34
156	20	3	0
158	20	4	32
160	21	1	28
160.5	21	1.25	29
161	21	1.5	30
161.5	21	1.75	28
162	21	2	31
163	21	2.5	30
164	21	3	29
165	21	3.5	28
166	21	4	29
168	22	1	30
170	22	2	0
172	22	3	29
173	22	3.5	29
174	22	4	32
175	22	4.5	32
175.5	22	4.75	31
176	23	1	30
177.5	23	1.75	29
178	23	2	30
178.5	23	2.25	30
179	23	2.5	31
179.5	23	2.75	32
180	23	3	33
180.5	23	3.25	34
181	23	3.5	35
183	23	4.5	31
184	24	1	0
185	24	1.5	30
186	24	2	31
186.5	24	2.25	30
187	24	2.5	31
187.5	24	2.75	29
188	24	3	30
189	24	3.5	30
190	24	4	28
191.5	24	4.75	32
192	25	1	31
193	25	1.5	32
194	25	2	32
195	25	2.5	33
196.5	25	3.25	31
197	25	3.5	32
198	25	4	33
200	26	1	0
204	26	3	0
205	26	3.5	32
206	26	4	33
207	26	4.5	34
208	27	1	35
209	27	1.5	33
210	27	2	34
212	27	3	33
214	27	4	0
215	27	4.5	32
216	28	1	35
217	28	1.5	33
218	28	2	32
219	28	2.5	33
221	28	3.5	32
223	28	4.5	31
224	29	1	32
226	29	2	29
228	29	3	32
230	29	4	32
231	29	4.5	32
233	30	1.5	33
234	30	2	32
236	30	3	32
240	31	1	0
244	31	3	0
246	31	4	0
247	31	4.5	32
248	32	1	32
250	32	2	32
251	32	2.5	32
253	32	3.5	32
254	32	4	32
255	32	4.5	34
256	33	1	34
257	33	1.5	34
258	33	2	33
260	33	3	34
261	33	3.5	32
262	33	4	32
262.5	33	4.25	31
263	33	4.5	30
263.5	33	4.75	29
264	34	1	28
265	34	1.5	30
266	34	2	32
267	34	2.5	32
267.5	34	2.75	32
268	34	3	32
268.5	34	3.25	31
269	34	3.5	30
269.5	34	3.75	29
270	34	4	28
271	34	4.5	32
272	35	1	32
274	35	2	32
276	35	3	0
280	36	1	0
281	36	1.5	30
282	36	2	33
283	36	2.5	32
284	36	3	32
285.5	36	3.75	31
286	36	4	30
286.5	36	4.25	29
287	36	4.5	28
287.5	36	4.75	29
288	37	1	30
289	37	1.5	29
290	37	2	29
292	37	3	29
*-	*-	*-	*-
