**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	0	32	0
4	1	3	0	0	0	0	0	0	-32	36
8	2	1	0	0	0	0	25	0	29	36
12	2	3	0	0	0	0	-25	29	32	34
16	3	1	0	0	0	0	22	29	-32	-34
18	3	2	0	0	0	0	-22	-29	31	33
20	3	3	0	0	0	0	25	27	34	32
21	3	3.5	0	0	0	0	-25	-27	-34	33
22	3	4	0	0	0	0	-25	-27	-34	34
23	3	4.5	0	0	0	0	-25	-27	33	35
24	4	1	0	0	0	0	-25	-27	32	36
26	4	2	0	0	0	0	24	26	33	-36
28	4	3	0	0	0	0	27	25	29	36
29	4	3.5	0	0	0	0	-27	26	-29	-36
30	4	4	0	0	0	0	-27	27	-29	36
31	4	4.5	0	0	0	0	-27	28	30	-36
32	5	1	0	0	0	0	-27	29	31	-36
33	5	1.5	0	0	0	0	-27	-29	32	-36
34	5	2	0	0	0	0	26	30	33	35
35	5	2.5	0	0	0	0	-26	-30	-33	34
36	5	3	0	0	0	0	24	31	-33	33
38	5	4	0	0	0	0	25	29	32	34
39	5	4.5	0	0	0	0	-25	-29	31	-34
40	6	1	0	0	0	0	26	28	30	33
42	6	2	0	0	0	0	-26	29	31	-33
44	6	3	0	0	0	0	-26	-29	30	-33
46	6	4	0	0	0	0	-26	28	-30	-33
48	7	1	25	29	32	34	0	0	0	0
52	7	3	-25	-29	29	-34	0	0	0	0
54	7	4	-25	-29	32	-34	0	0	0	0
56	8	1	22	29	-32	33	0	0	0	0
58	8	2	-22	-29	31	-33	0	0	0	0
60	8	3	25	27	34	32	0	0	0	0
61	8	3.5	-25	-27	-34	33	0	0	0	0
62	8	4	-25	-27	-34	34	0	0	0	0
63	8	4.5	-25	-27	-34	35	0	0	0	0
64	9	1	-25	-27	-34	36	0	0	0	0
65	9	1.5	-25	-27	-34	37	0	0	0	0
66	9	2	24	28	33	38	0	0	0	0
67	9	2.5	-24	-28	32	-38	0	0	0	0
68	9	3	27	29	31	-38	0	0	0	0
69	9	3.5	-27	30	-31	37	0	0	0	0
70	9	4	-27	31	-31	36	0	0	0	0
71	9	4.5	-27	-31	32	-36	0	0	0	0
72	10	1	26	-31	33	35	0	0	0	0
74	10	2	-26	30	-33	36	0	0	0	0
75	10	2.5	-26	29	-33	-36	0	0	0	0
76	10	3	-26	30	-33	-36	0	0	0	0
78	10	4	-26	-30	-33	35	0	0	0	0
80	11	1	0	29	33	36	29	0	0	38
82	11	2	0	-29	-33	-36	-29	33	0	-38
84	11	3	0	0	0	0	28	-33	33	37
85	11	3.5	0	0	0	0	-28	32	-33	-37
86	11	4	0	0	0	0	29	31	-33	38
87	11	4.5	0	0	0	0	-29	30	-33	-38
