**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	0	0	0	28	32	0	35
3	1	1.75	0	0	0	0	0	0	0	0	29	-32	0	-35
4	1	2	0	0	0	0	0	0	0	0	30	-32	0	35
6	1	2.5	0	0	0	0	0	0	0	0	31	33	0	35
8	1	3	0	0	0	0	0	0	0	0	29	34	0	36
10	1	3.5	0	0	0	0	0	0	0	0	32	-34	0	-36
12	2	1	0	0	0	0	0	0	0	0	28	35	0	37
14	2	1.5	0	0	0	0	0	0	0	0	-28	37	0	-37
15	2	1.75	0	0	0	0	0	0	0	0	29	-37	0	-37
16	2	2	0	0	0	0	0	0	0	0	30	-37	0	0
17	2	2.25	0	0	0	0	0	0	0	0	-30	36	0	0
18	2	2.5	0	0	0	0	0	0	0	0	31	35	0	0
20	2	3	0	0	0	0	0	0	0	0	29	-35	0	38
22	2	3.5	0	0	0	0	0	0	0	0	-29	34	0	-38
24	3	1	0	0	0	0	0	0	0	0	28	35	0	37
27	3	1.75	0	0	0	0	0	0	0	0	35	-35	0	-37
28	3	2	0	0	0	0	0	0	0	0	-35	0	0	36
29	3	2.25	0	0	0	0	0	0	0	0	34	0	0	-36
29.5	3	2.375	0	0	0	0	0	0	0	0	33	0	0	-36
30	3	2.5	0	0	0	0	0	0	0	0	34	32	0	-36
32	3	3	0	0	0	0	0	0	0	0	35	30	0	37
35	3	3.75	0	0	0	0	0	0	0	0	28	31	0	-37
36	4	1	0	0	0	0	0	0	0	0	-28	32	0	36
37	4	1.25	0	0	0	0	0	0	0	0	27	-32	0	-36
37.5	4	1.375	0	0	0	0	0	0	0	0	26	-32	0	-36
38	4	1.5	0	0	0	0	0	0	0	0	27	32	0	-36
40	4	2	0	0	0	0	0	0	0	0	28	33	0	35
43	4	2.75	0	0	0	0	0	0	0	0	35	-33	0	-35
44	4	3	0	0	0	0	0	0	0	0	-35	32	0	36
45	4	3.25	0	0	0	0	0	0	0	0	34	-32	0	-36
45.5	4	3.375	0	0	0	0	0	0	0	0	33	-32	0	-36
46	4	3.5	0	0	0	0	0	0	0	0	34	-32	0	-36
47	4	3.75	0	0	0	0	0	0	0	0	-34	31	0	-36
48	5	1	0	0	0	0	0	0	0	0	35	30	0	37
50	5	1.5	0	0	0	0	0	0	0	0	0	29	0	38
51	5	1.75	0	0	0	0	0	0	0	0	33	-29	0	-38
52	5	2	0	0	0	0	0	0	0	0	-33	31	0	-38
53	5	2.25	0	0	0	0	0	0	0	0	32	-31	0	-38
53.5	5	2.375	0	0	0	0	0	0	0	0	31	-31	0	-38
54	5	2.5	0	0	0	0	0	0	0	0	30	32	0	37
56	5	3	0	0	0	0	0	0	0	0	31	33	0	-37
58	5	3.5	0	0	0	0	0	0	0	0	-31	-33	0	36
60	6	1	0	0	0	0	0	0	0	0	30	32	0	37
62	6	1.5	0	0	0	0	0	0	0	0	28	-32	0	-37
63	6	1.75	0	0	0	0	0	0	0	0	-28	35	0	-37
64	6	2	0	0	0	0	0	0	0	0	29	-35	0	0
65	6	2.25	0	0	0	0	0	0	0	0	-29	34	0	0
65.5	6	2.375	0	0	0	0	0	0	0	0	-29	33	0	0
66	6	2.5	0	0	0	0	0	0	0	0	-29	34	0	0
68	6	3	0	0	0	0	0	0	0	0	28	35	0	35
70	6	3.5	0	0	0	0	0	0	0	0	31	33	0	-35
72	7	1	0	0	0	0	0	0	0	0	-31	-33	0	35
73	7	1.25	0	0	0	0	0	0	0	0	32	32	0	-35
74	7	1.5	0	0	0	0	0	0	0	0	33	31	0	-35
75	7	1.75	0	0	0	0	0	0	0	0	34	-31	0	-35
76	7	2	0	0	0	0	0	0	0	0	35	30	0	37
79	7	2.75	0	0	0	0	0	0	0	0	35	28	0	-37
80	7	3	0	0	0	0	0	0	0	0	36	-28	0	38
81	7	3.25	0	0	0	0	0	0	0	0	-36	27	0	-38
81.5	7	3.375	0	0	0	0	0	0	0	0	-36	26	0	-38
82	7	3.5	0	0	0	0	0	0	0	0	36	27	0	-38
84	8	1	0	0	0	0	0	0	0	0	35	28	0	37
87	8	1.75	0	0	0	0	0	0	0	0	28	35	0	-37
88	8	2	0	0	0	0	0	0	0	0	29	-35	0	0
89	8	2.25	0	0	0	0	0	0	0	0	-29	34	0	0
89.5	8	2.375	0	0	0	0	0	0	0	0	-29	33	0	0
90	8	2.5	0	0	0	0	0	0	0	0	29	34	0	0
92	8	3	0	0	0	0	0	0	0	0	28	35	0	37
95	8	3.75	0	0	0	0	0	0	0	0	30	28	0	-37
96	9	1	0	0	0	0	0	0	0	0	31	-28	0	36
97	9	1.25	0	0	0	0	0	0	0	0	-31	27	0	-36
97.5	9	1.375	0	0	0	0	0	0	0	0	-31	26	0	-36
98	9	1.5	0	0	0	0	0	0	0	0	32	27	0	-36
100	9	2	0	0	0	0	0	0	0	0	30	28	0	35
103	9	2.75	0	0	0	0	0	0	0	0	30	35	0	-35
104	9	3	0	0	0	0	0	0	0	0	31	-35	0	0
105	9	3.25	0	0	0	0	0	0	0	0	-31	34	0	0
105.5	9	3.375	0	0	0	0	0	0	0	0	-31	33	0	0
106	9	3.5	0	0	0	0	0	0	0	0	32	34	0	36
108	10	1	0	0	0	0	0	0	0	0	28	35	0	37
110	10	1.5	0	0	0	0	0	0	0	0	29	33	0	38
113	10	2.25	0	0	0	0	0	0	0	0	-29	32	0	37
113.5	10	2.375	0	0	0	0	0	0	0	0	-29	31	0	-37
114	10	2.5	0	0	0	0	0	0	0	0	28	30	0	37
116	10	3	0	0	0	0	0	0	0	0	26	31	0	-37
118	10	3.5	0	0	0	0	0	0	0	0	27	-31	0	36
120	11	1	0	0	0	21	0	0	32	30	28	30	32	37
123	11	1.75	0	0	0	-21	0	0	-32	-30	-28	-30	33	-37
124	11	2	0	0	0	25	0	0	-32	29	0	0	34	0
126	11	2.5	0	0	0	-25	0	0	-32	-29	0	0	34	0
127	11	2.75	0	0	0	24	0	0	-32	-29	0	0	-34	0
128	11	3	0	0	0	23	0	0	-32	28	0	0	35	0
130	11	3.5	0	0	0	21	0	0	-32	-28	0	0	-35	0
132	12	1	0	0	0	25	0	0	-32	29	0	0	34	0
135	12	1.75	0	0	0	24	0	0	-32	-29	0	0	-34	0
136	12	2	0	0	0	23	0	0	32	28	0	0	37	0
138	12	2.5	0	0	0	21	0	0	-32	-28	0	0	-37	0
140	12	3	0	0	0	25	0	0	32	29	0	0	36	0
141	12	3.25	0	0	0	-25	0	0	-32	-29	0	0	35	0
142	12	3.5	0	0	0	-25	0	0	32	-29	0	0	34	0
143	12	3.75	0	0	0	24	0	0	-32	-29	0	0	33	0
144	13	1	0	0	0	23	0	0	-32	30	0	0	32	0
146	13	1.5	0	0	0	21	0	0	31	-30	0	0	35	0
147	13	1.75	0	0	0	-21	0	0	30	-30	0	0	-35	0
148	13	2	0	0	0	25	0	0	29	0	0	0	35	0
150	13	2.5	0	0	0	-25	0	0	-29	0	0	0	34	0
152	13	3	0	0	0	21	0	0	28	32	0	0	35	0
155	13	3.75	0	0	0	28	0	0	-28	-32	0	0	-35	0
156	14	1	0	0	0	27	0	0	0	31	0	0	0	0
157	14	1.25	0	0	0	26	0	0	0	-31	0	0	0	0
158	14	1.5	0	0	0	27	0	0	29	-31	0	0	0	0
160	14	2	0	0	0	28	0	0	30	30	0	0	0	0
161	14	2.25	0	0	0	-28	0	0	31	-30	0	0	0	0
162	14	2.5	0	0	0	-28	0	0	32	30	0	0	0	0
163	14	2.75	0	0	0	-28	0	0	30	-30	0	0	0	0
164	14	3	0	0	0	0	0	0	33	-30	0	0	0	0
166	14	3.5	0	0	0	24	0	0	-33	29	0	0	0	0
