**absq	**bar	**beat	**b7
0	1	1	25
1	1	1.5	25
3	1	2.5	29
4	1	3	27
6	1	4	23
8	2	1	26
12	2	3	28
16	3	1	0
24	4	1	0
32	5	1	0
36	5	3	0
38	5	4	26
39	5	4.5	25
40	6	1	28
42	6	2	24
43	6	2.5	24
44	6	3	26
48	7	1	26
51	7	2.5	26
51.5	7	2.75	26
52	7	3	25
54	7	4	26
56	8	1	22
57	8	1.5	21
58	8	2	24
60	8	3	20
61	8	3.5	20
62	8	4	22
64	9	1	22
67	9	2.5	22
67.5	9	2.75	22
68	9	3	21
70	9	4	22
72	10	1	29
73	10	1.5	27
73.5	10	1.75	27
74	10	2	28
75	10	2.5	26
76	10	3	27
77	10	3.5	26
77.5	10	3.75	25
78	10	4	29
80	11	1	25
82	11	2	25
83	11	2.5	23
83.5	11	2.75	23
84	11	3	24
85	11	3.5	22
86	11	4	23
87	11	4.5	22
87.5	11	4.75	21
88	12	1	25
90	12	2	21
92	12	3	26
93	12	3.5	26
94	12	4	26
97	13	1.5	21
97.5	13	1.75	22
98	13	2	23
102	13	4	19
104	14	1	0
105	14	1.5	23
106	14	2	21
106.5	14	2.25	21
107	14	2.5	22
108	14	3	20
109	14	3.5	23
111	14	4.5	22
111.5	14	4.75	21
112	15	1	25
114	15	2	21
116	15	3	0
120	16	1	0
124	16	3	0
126	16	4	25
127	16	4.5	25
128	17	1	25
131	17	2.5	20
131.5	17	2.75	21
132	17	3	22
136	18	1	25
*-	*-	*-	*-
