**absq	**bar	**beat	**b7	**b7
0	1	1	26	0
2	1	2	27	0
3	1	2.5	28	0
4.5	1	3.25	26	0
5	1	3.5	27	0
6	1	4	25	0
8	2	1	26	28
10	2	2	0	29
11	2	2.5	0	30
12.5	2	3.25	0	31
13	2	3.5	0	29
14	2	4	0	30
16	3	1	24	31
18	3	2	25	0
19	3	2.5	26	0
20.5	3	3.25	27	0
21	3	3.5	25	0
22	3	4	25	0
23	3	4.5	26	0
24	4	1	27	31
26	4	2	24	-31
27	4	2.5	-24	34
29	4	3.5	0	32
30	4	4	0	33
31	4	4.5	0	32
32	5	1	0	31
33.5	5	1.75	0	30
33.75	5	1.875	0	31
34	5	2	27	32
34.5	5	2.25	-27	31
35	5	2.5	-27	32
35.5	5	2.75	-27	33
36	5	3	27	34
37	5	3.5	27	-34
38	5	4	26	35
39	5	4.5	25	-35
40	6	1	26	36
42	6	2	27	-36
44	6	3	28	0
45	6	3.5	28	32
46.5	6	4.25	28	32
47	6	4.5	28	32
48	7	1	26	33
49	7	1.5	27	31
50	7	2	24	33
50.5	7	2.25	25	34
51	7	2.5	26	35
51.5	7	2.75	27	34
51.75	7	2.875	-27	33
52	7	3	28	32
53	7	3.5	26	35
54	7	4	27	34
55	7	4.5	29	33
56	8	1	28	35
57	8	1.5	-28	34
57.5	8	1.75	-28	33
58	8	2	-28	32
59.5	8	2.75	-28	33
60	8	3	25	34
61	8	3.5	-25	35
63	8	4.5	-25	34
64	9	1	0	35
65	9	1.5	25	-35
66.5	9	2.25	25	-35
67	9	2.5	25	-35
68	9	3	28	0
69	9	3.5	24	0
70	9	4	26	0
70.5	9	4.25	27	0
71	9	4.5	28	0
71.5	9	4.75	27	0
71.75	9	4.875	26	0
72	10	1	25	0
73	10	1.5	28	0
74	10	2	27	0
75	10	2.5	26	0
76	10	3	28	0
77	10	3.5	27	0
77.5	10	3.75	26	0
78	10	4	25	0
80	11	1	26	0
82	11	2	0	35
84	11	3	24	33
86	11	4	28	0
88	12	1	26	0
89	12	1.5	-26	31
90	12	2	25	-31
90.5	12	2.25	-25	30
91	12	2.5	-25	30
91.5	12	2.75	-25	29
91.75	12	2.875	-25	30
92	12	3	0	31
94	12	4	0	30
95	12	4.5	0	32
96	13	1	0	33
97	13	1.5	0	35
98	13	2	0	34
100	13	3	0	35
101	13	3.5	21	28
102	13	4	24	28
103	13	4.5	26	-28
103.5	13	4.75	-26	28
104	14	1	25	29
106	14	2	21	30
107	14	2.5	-21	30
108	14	3	0	33
109.5	14	3.75	0	33
110	14	4	0	32
113	15	1.5	0	33
114	15	2	0	32
116	15	3	0	33
118	15	4	24	35
120	16	1	27	36
121	16	1.5	25	-36
122	16	2	26	35
123	16	2.5	-26	35
123.5	16	2.75	27	-35
124	16	3	28	-35
125	16	3.5	29	33
126	16	4	27	36
128	17	1	24	35
130	17	2	26	-35
132	17	3	25	0
133	17	3.5	26	0
134	17	4	27	0
135.5	17	4.75	27	0
136	18	1	26	0
137.5	18	1.75	26	0
138	18	2	27	0
139	18	2.5	28	0
140	18	3	27	0
141	18	3.5	28	0
143	18	4.5	27	0
144	19	1	28	0
146	19	2	0	30
147	19	2.5	28	-30
148	19	3	27	29
149	19	3.5	28	30
150	19	4	24	31
152	20	1	28	30
153	20	1.5	26	-30
154	20	2	-26	31
155	20	2.5	25	32
156	20	3	29	31
157	20	3.5	30	32
158	20	4	29	33
160	21	1	25	34
162	21	2	0	0
163	21	2.5	25	34
164	21	3	28	35
165	21	3.5	27	36
166.5	21	4.25	27	36
167	21	4.5	27	34
168	22	1	24	33
170	22	2	25	32
171	22	2.5	28	32
172	22	3	27	32
173	22	3.5	28	33
174.5	22	4.25	28	33
175	22	4.5	28	33
176	23	1	29	34
178	23	2	28	33
180	23	3	0	0
184	24	1	0	0
185	24	1.5	24	0
185.5	24	1.75	25	0
186	24	2	26	0
187	24	2.5	-26	33
187.5	24	2.75	-26	34
188	24	3	-26	35
189	24	3.5	26	35
189.5	24	3.75	25	34
190	24	4	24	33
192	25	1	25	34
193	25	1.5	25	34
193.5	25	1.75	26	35
194	25	2	27	36
197	25	3.5	24	35
197.5	25	3.75	25	34
198	25	4	22	33
200	26	1	25	34
202	26	2	0	0
203	26	2.5	25	34
205	26	3.5	25	34
206	26	4	28	35
208	27	1	27	36
209	27	1.5	27	36
210	27	2	24	35
212	27	3	28	35
215	27	4.5	25	-35
215.5	27	4.75	26	-35
216	28	1	27	0
218	28	2	26	0
219	28	2.5	26	0
220	28	3	25	0
222	28	4	25	0
223	28	4.5	-25	36
224	29	1	0	34
225	29	1.5	25	-34
226	29	2	25	0
227	29	2.5	-25	36
228	29	3	0	34
229	29	3.5	25	35
230.5	29	4.25	25	35
231	29	4.5	26	35
232	30	1	27	36
234	30	2	26	35
235	30	2.5	28	33
236	30	3	27	32
238	30	4	26	31
239	30	4.5	26	31
239.5	30	4.75	26	31
240	31	1	27	32
241	31	1.5	28	-32
243	31	2.5	27	-32
244	31	3	28	32
245	31	3.5	21	-32
246	31	4	28	32
248	32	1	0	30
249	32	1.5	21	-30
250	32	2	28	0
251	32	2.5	25	32
252.5	32	3.25	25	32
253	32	3.5	28	32
254	32	4	24	33
254.5	32	4.25	25	-33
255	32	4.5	26	-33
255.5	32	4.75	27	-33
256	33	1	28	32
257	33	1.5	21	32
