**absq	**bar	**beat	**b7	**b7
0	1	1	22	24
4	2	1	-22	24
7	2	4	-22	24
7.5	2	4.5	-22	24
8	3	1	-22	25
10	3	3	21	-25
11	3	4	-21	26
12	4	1	-21	26
13	4	2	22	-26
14	4	3	22	0
14.5	4	3.5	-22	26
15	4	4	-22	26
15.5	4	4.5	-22	27
16	5	1	19	28
16.75	5	1.75	-19	25
17	5	2	-19	25
17.5	5	2.5	-19	26
18	5	3	-19	26
20	6	1	19	26
21	6	2	-19	23
21.5	6	2.5	-19	23
22	6	3	-19	23
23.5	6	4.5	-19	23
24	7	1	22	24
25	7	2	-22	24
25.5	7	2.5	-22	23
26	7	3	21	25
27	7	4	-21	25
28.5	8	1.5	-21	28
29	8	2	20	28
29.75	8	2.75	-20	28
30	8	3	19	28
31	8	4	-19	28
31.5	8	4.5	-19	27
32	9	1	17	29
32.75	9	1.75	-17	29
33	9	2	-17	28
33.5	9	2.5	-17	27
34	9	3	18	27
35	9	4	-18	27
36	10	1	18	0
37	10	2	-18	27
37.5	10	2.5	-18	27
38	10	3	-18	26
39	10	4	-18	27
40	11	1	18	25
40.5	11	1.5	-18	25
41	11	2	-18	30
42	11	3	24	-30
42.5	11	3.5	-24	30
43	11	4	-24	29
43.5	11	4.5	-24	25
44	12	1	-24	26
44.75	12	1.75	-24	27
45	12	2	-24	28
45.25	12	2.25	-24	27
45.5	12	2.5	-24	27
45.75	12	2.75	-24	26
46	12	3	23	27
48	13	1	19	0
49	13	2	-19	28
49.5	13	2.5	-19	28
50	13	3	20	28
51	13	4	-20	29
53	14	2	-20	25
53.5	14	2.5	-20	24
54	14	3	19	26
56	15	1	19	0
56.5	15	1.5	-19	30
57	15	2	-19	28
57.5	15	2.5	-19	27
58	15	3	-19	26
59	15	4	-19	26
59.5	15	4.5	-19	25
60	16	1	19	24
60.5	16	1.5	-19	23
61.5	16	2.5	-19	23
62	16	3	22	24
63	16	4	-22	24
63.5	16	4.5	-22	26
64	17	1	-22	25
65.5	17	2.5	-22	26
66	17	3	-22	27
67.5	17	4.5	-22	27
68	18	1	21	27
70	18	3	-21	26
70.25	18	3.25	-21	27
71	18	4	-21	28
71.25	18	4.25	-21	26
72	19	1	20	29
72.25	19	1.25	-20	27
73	19	2	-20	28
73.25	19	2.25	-20	29
74	19	3	18	30
74.25	19	3.25	-18	29
75	19	4	-18	28
75.25	19	4.25	-18	27
76	20	1	19	28
76.25	20	1.25	-19	27
77	20	2	-19	26
77.25	20	2.25	-19	25
78	20	3	21	26
78.25	20	3.25	-21	24
79	20	4	-21	25
79.25	20	4.25	-21	23
80	21	1	20	24
81	21	2	-20	24
82	21	3	0	0
84	22	1	20	29
85	22	2	-20	29
85.5	22	2.5	-20	29
86	22	3	-20	29
88	23	1	20	0
88.5	23	1.5	-20	31
89	23	2	-20	29
89.5	23	2.5	-20	28
90	23	3	-20	27
91	23	4	-20	24
92	24	1	18	0
92.5	24	1.5	-18	30
93	24	2	-18	28
93.5	24	2.5	-18	27
94	24	3	19	28
95	24	4	-19	26
96.5	25	1.5	-19	25
97	25	2	-19	22
98	25	3	20	22
100	26	1	20	27
101	26	2	-20	27
101.5	26	2.5	-20	27
102	26	3	21	27
103	26	4	-21	27
103.5	26	4.5	-21	26
104	27	1	18	27
106	27	3	-18	30
107	27	4	19	30
107.5	27	4.5	-19	30
108	28	1	17	30
109	28	2	-17	30
109.5	28	2.5	-17	29
110	28	3	16	30
111	28	4	-16	27
112	29	1	22	-27
113	29	2	-22	28
113.5	29	2.5	-22	29
114	29	3	23	28
115.5	29	4.5	-23	27
116	30	1	19	26
120	31	1	19	26
121	31	2	-19	26
121.5	31	2.5	-19	26
122	31	3	20	26
123	31	4	-20	26
123.5	31	4.5	-20	25
124	32	1	19	26
125	32	2	-19	24
126	32	3	18	-24
127	32	4	-18	25
127.5	32	4.5	-18	27
128	33	1	19	23
130	33	3	22	22
132	34	1	19	0
133	34	2	-19	28
134.5	34	3.5	-19	28
135	34	4	-19	27
136	35	1	19	25
137	35	2	-19	25
138	35	3	-19	26
144	37	1	22	26
*-	*-	*-	*-	*-
