**absq	**bar	**beat	**b7
0	1	1	32
1	1	1.25	31
2	1	1.5	30
3	1	1.75	29
4	1	2	32
5	1	2.25	33
6	1	2.5	34
7	1	2.75	35
8	1	3	33
9	1	3.25	32
10	1	3.5	31
11	1	3.75	30
11.5	1	3.875	29
12	2	1	30
14	2	1.5	31
15	2	1.75	32
16	2	2	33
17	2	2.25	32
18	2	2.5	31
19	2	2.75	30
20	2	3	29
24	3	1	0
26	3	1.5	28
29	3	2.25	29
30	3	2.5	30
31	3	2.75	31
32	3	3	32
33	3	3.25	33
34	3	3.5	34
35	3	3.75	35
36	4	1	33
37	4	1.25	32
38	4	1.5	31
39	4	1.75	30
40	4	2	31
41.3333	4	2.33333	32
42.6667	4	2.66667	33
44	4	3	34
45.3333	4	3.33333	33
46	4	3.5	32
46.6667	4	3.66667	31
48	5	1	30
49.3333	5	1.33333	31
50.6667	5	1.66667	32
54.6667	5	2.66667	33
56	5	3	34
57.3333	5	3.33333	32
58.6667	5	3.66667	33
60.6667	6	1.16667	34
61.3333	6	1.33333	35
62	6	1.5	36
62.6667	6	1.66667	37
65.3333	6	2.33333	36
66.6667	6	2.66667	32
68	6	3	36
70.6667	6	3.66667	32
72	7	1	36
73.3333	7	1.33333	35
75.3333	7	1.83333	34
76	7	2	33
77.3333	7	2.33333	34
79.3333	7	2.83333	33
80	7	3	32
80.6667	7	3.16667	31
81.3333	7	3.33333	32
82.6667	7	3.66667	28
84	8	1	32
86.6667	8	1.66667	36
88	8	2	35
90	8	2.5	34
90.6667	8	2.66667	33
91.3333	8	2.83333	32
92	8	3	31
94	8	3.5	30
94.6667	8	3.66667	31
96	9	1	32
97	9	1.25	31
98	9	1.5	30
99	9	1.75	29
100	9	2	32
101	9	2.25	33
102	9	2.5	34
103	9	2.75	35
104	9	3	36
105	9	3.25	35
106	9	3.5	34
107	9	3.75	33
108	10	1	34
109	10	1.25	33
110	10	1.5	32
111	10	1.75	31
112	10	2	32
113	10	2.25	31
114	10	2.5	30
115	10	2.75	29
116	10	3	32
117	10	3.25	31
118	10	3.5	30
119	10	3.75	29
120	11	1	30
122	11	1.5	32
124	11	2	28
126	11	2.5	32
128	11	3	31
131	11	3.75	30
132	12	1	29
133	12	1.25	28
134	12	1.5	29
138	12	2.5	28
139	12	2.75	27
140	12	3	26
144	13	1	25
145	13	1.25	26
146	13	1.5	27
147	13	1.75	28
148	13	2	29
150	13	2.5	30
151	13	2.75	31
152	13	3	32
153	13	3.25	33
154	13	3.5	34
155	13	3.75	35
156	14	1	34
157	14	1.25	35
158	14	1.5	36
159	14	1.75	37
160	14	2	35
162	14	2.5	34
163	14	2.75	33
164	14	3	32
165	14	3.25	31
166	14	3.5	30
167	14	3.75	29
168	15	1	28
170	15	1.5	26
173	15	2.25	27
174	15	2.5	28
175	15	2.75	29
176	15	3	30
177	15	3.25	31
178	15	3.5	32
179	15	3.75	33
180	16	1	32
181	16	1.25	31
182	16	1.5	30
183	16	1.75	29
183.5	16	1.875	30
184	16	2	31
185	16	2.25	32
186	16	2.5	33
187	16	2.75	34
188	16	3	35
190	16	3.5	34
191	16	3.75	33
192	17	1	34
193	17	1.25	33
194	17	1.5	32
195	17	1.75	31
196	17	2	30
197	17	2.25	29
198	17	2.5	28
199	17	2.75	27
200	17	3	26
201	17	3.25	27
202	17	3.5	28
203	17	3.75	29
204	18	1	30
205	18	1.25	31
206	18	1.5	32
207	18	1.75	33
207.5	18	1.875	32
208	18	2	31
209	18	2.25	30
210	18	2.5	29
211	18	2.75	28
212	18	3	27
215	18	3.75	26
216	19	1	28
220	19	2	0
224	19	3	35
228	20	1	35
231	20	1.75	34
232	20	2	32
236	20	3	33
238	20	3.5	32
239	20	3.75	31
240	21	1	30
244	21	2	30
245	21	2.25	29
246	21	2.5	30
247	21	2.75	31
248	21	3	32
249	21	3.25	31
250	21	3.5	30
251	21	3.75	29
252	22	1	30
253	22	1.25	29
254	22	1.5	30
255	22	1.75	31
256	22	2	32
257	22	2.25	33
258	22	2.5	34
259	22	2.75	35
260	22	3	36
262	22	3.5	35
263	22	3.75	34
264	23	1	35
265	23	1.25	34
266	23	1.5	33
267	23	1.75	32
268	23	2	31
271	23	2.75	30
272	23	3	32
273	23	3.25	33
274	23	3.5	34
275	23	3.75	35
276	24	1	36
277	24	1.25	35
278	24	1.5	34
279	24	1.75	33
280	24	2	34
281	24	2.25	33
282	24	2.5	32
283	24	2.75	31
284	24	3	32
285	24	3.25	31
286	24	3.5	30
287	24	3.75	29
288	25	1	28
289	25	1.25	29
290	25	1.5	30
291	25	1.75	31
292	25	2	32
293	25	2.25	31
294	25	2.5	30
295	25	2.75	29
296	25	3	30
297	25	3.25	29
298	25	3.5	28
299	25	3.75	27
300	26	1	26
301.333	26	1.33333	28
302.667	26	1.66667	29
304	26	2	30
306.667	26	2.66667	27
308	26	3	27
309.333	26	3.33333	28
312	27	1	29
313.333	27	1.33333	31
316	27	2	29
317.333	27	2.33333	30
318.667	27	2.66667	29
321.333	27	3.33333	36
324	28	1	35
