**absq	**bar	**beat	**b7
2	1	2	32
4	1	3	32
5	1	3.5	32
6	1	4	32
7	1	4.5	31
8	2	1	32
10	2	2	29
12	2	3	28
13	2	3.5	29
14	2	4	30
16	3	1	29
17	3	1.5	31
18	3	2	32
19	3	2.5	33
20	3	3	34
21	3	3.5	34
22	3	4	33
23	3	4.5	31
24	4	1	32
25	4	1.5	33
26	4	2	32
27	4	2.5	32
28	4	3	36
30	4	4	0
32	5	1	0
36	5	3	0
38	5	4	33
40	6	1	33
41	6	1.5	29
43	6	2.5	32
45	6	3.5	31
46	6	4	32
47	6	4.5	32
48.5	7	1.25	32
49	7	1.5	32
50	7	2	30
51	7	2.5	30
52	7	3	29
53.5	7	3.75	28
54	7	4	27
56	8	1	28
58	8	2	0
59	8	2.5	33
60.5	8	3.25	33
61	8	3.5	33
62	8	4	34
63	8	4.5	33
64	9	1	33
66	9	2	29
68	9	3	0
72	10	1	0
76	10	3	0
77	10	3.5	32
78	10	4	33
79	10	4.5	31
81	11	1.5	34
83	11	2.5	33
84	11	3	34
86	11	4	33
88	12	1	33
90	12	2	32
93	12	3.5	32
94	12	4	33
96	13	1	33
97	13	1.5	34
98	13	2	33
99	13	2.5	32
100	13	3	31
101	13	3.5	31
102	13	4	0
103	13	4.5	34
104	14	1	33
106	14	2	33
109	14	3.5	33
110	14	4	33
112	15	1	32
114	15	2	32
116	15	3	31
117	15	3.5	31
118	15	4	31
120	16	1	31
121	16	1.5	34
123	16	2.5	32
124.5	16	3.25	33
125	16	3.5	34
126	16	4	33
127	16	4.5	32
129	17	1.5	31
130	17	2	32
132	17	3	0
136	18	1	0
144	19	1	0
145	19	1.5	31
147	19	2.5	31
148	19	3	32
149	19	3.5	31
151	19	4.5	34
152	20	1	32
153.5	20	1.75	33
154	20	2	34
155	20	2.5	33
156	20	3	35
157	20	3.5	35
158	20	4	34
160	21	1	33
161	21	1.5	35
163	21	2.5	34
165	21	3.5	32
166	21	4	34
167	21	4.5	33
168	22	1	0
170	22	2	33
171	22	2.5	33
172	22	3	32
173	22	3.5	35
175	22	4.5	34
176	23	1	35
177	23	1.5	33
178	23	2	33
179	23	2.5	33
180	23	3	33
182	23	4	33
184	24	1	34
185	24	1.5	34
186	24	2	33
188	24	3	32
189	24	3.5	31
190	24	4	31
192	25	1	0
196	25	3	0
198	25	4	0
199	25	4.5	32
200	26	1	33
201	26	1.5	34
202	26	2	32
203.5	26	2.75	33
204	26	3	34
205	26	3.5	33
206	26	4	0
208	27	1	0
210	27	2	34
212	27	3	33
213	27	3.5	34
214	27	4	35
215	27	4.5	33
216	28	1	34
218	28	2	33
220	28	3	0
224	29	1	0
228	29	3	0
230	29	4	29
232	30	1	28
233	30	1.5	26
234	30	2	27
235	30	2.5	25
236	30	3	26
237	30	3.5	27
238	30	4	28
239	30	4.5	35
240	31	1	33
241	31	1.5	33
242	31	2	33
244	31	3	29
246	31	4	33
248	32	1	34
250	32	2	33
252	32	3	32
256	33	1	31
264	34	1	0
264	34	1	32
266	34	2	31
267	34	2.5	30
268	34	3	29
270	34	4	33
272	35	1	34
274	35	2	33
276	35	3	32
277	35	3.5	31
278	35	4	30
279	35	4.5	29
279.5	35	4.75	30
280	36	1	31
281	36	1.5	32
