**absq	**bar	**beat	**b7
20	3	3	26
21	3	3.5	26
22	3	4	26
24	4	1	23
26	4	2	23
27	4	2.5	23
28	4	3	26
30	4	4	25
31	4	4.5	25
32	5	1	26
34	5	2	23
38	5	4	0
40	6	1	0
48	7	1	0
49	7	1.5	26
51	7	2.5	26
52	7	3	26
54	7	4	23
55	7	4.5	23
56	8	1	25
58	8	2	0
60	8	3	0
62	8	4	29
66	9	2	27
68	9	3	26
70	9	4	25
72	10	1	26
76	10	3	0
77	10	3.5	29
79	10	4.5	29
80	11	1	28
82	11	2	27
83	11	2.5	27
84	11	3	30
88	12	1	29
89	12	1.5	31
90	12	2	31
91	12	2.5	31
92	12	3	29
93	12	3.5	29
95	12	4.5	28
96	13	1	29
98	13	2	0
99	13	2.5	29
100	13	3	28
102	13	4	26
104	14	1	28
106	14	2	28
108	14	3	25
110	14	4	26
112	15	1	0
114	15	2	26
118	15	4	23
120	16	1	26
122	16	2	0
124	16	3	0
126	16	4	0
127	16	4.5	25
129	17	1.5	25
130	17	2	28
132	17	3	26
134	17	4	26
136	18	1	30
138	18	2	29
140	18	3	0
144	19	1	0
148	19	3	0
150	19	4	28
153	20	1.5	28
154	20	2	28
156	20	3	27
157	20	3.5	26
158	20	4	25
160	21	1	25
162	21	2	0
164	21	3	0
165	21	3.5	28
166	21	4	26
167	21	4.5	29
168	22	1	28
169	22	1.5	29
171	22	2.5	28
172	22	3	29
174	22	4	0
176	23	1	0
180	23	3	0
182	23	4	0
183	23	4.5	29
184.5	24	1.25	29
185	24	1.5	29
186	24	2	27
188	24	3	25
189	24	3.5	30
190.5	24	4.25	30
191	24	4.5	30
192	25	1	28
194	25	2	29
196	25	3	0
197	25	3.5	28
198.5	25	4.25	28
199	25	4.5	28
200	26	1	27
202	26	2	28
204	26	3	0
208	27	1	0
209	27	1.5	26
210.5	27	2.25	26
211	27	2.5	26
212	27	3	26
216	28	1	26
218	28	2	0
220	28	3	0
224	29	1	0
226	29	2	0
227	29	2.5	29
228.5	29	3.25	29
229	29	3.5	29
230	29	4	27
232	30	1	25
233	30	1.5	30
234.5	30	2.25	30
235	30	2.5	30
236	30	3	28
238	30	4	29
240	31	1	0
241	31	1.5	28
242.5	31	2.25	28
243	31	2.5	28
244	31	3	27
246	31	4	28
248	32	1	0
252	32	3	0
253	32	3.5	26
254.5	32	4.25	26
255	32	4.5	26
256	33	1	26
260	33	3	26
*-	*-	*-	*-
