**absq	**bar	**beat	**b7
0	1	1	32
3	1	2.5	33
4	1	3	34
6	1	4	35
7	1	4.5	33
8	2	1	32
10	2	2	33
12	2	3	33
13	2	3.5	34
14	2	4	35
16	3	1	34
18	3	2	0
19	3	2.5	32
20	3	3	31
21	3	3.5	34
23	3	4.5	33
23.5	3	4.75	32
24	4	1	31
26	4	2	32
28	4	3	0
29	4	3.5	30
30	4	4	33
32	5	1	37
33	5	1.5	36
33.5	5	1.75	35
34	5	2	34
36	5	3	33
38	5	4	35
40	6	1	33
44	6	3	0
45	6	3.5	36
47	6	4.5	35
49	7	1.5	34
50	7	2	33
52	7	3	32
54	7	4	29
55	7	4.5	31
56	8	1	28
56.5	8	1.25	29
57	8	1.5	30
57.5	8	1.75	31
58	8	2	32
58.5	8	2.25	31
58.75	8	2.375	30
59	8	2.5	29
59.5	8	2.75	30
60	8	3	31
62	8	4	30
63	8	4.5	32
64	9	1	33
65	9	1.5	34
66	9	2	35
67.5	9	2.75	34
68	9	3	33
70	9	4	32
72	10	1	35
73	10	1.5	33
74	10	2	36
75	10	2.5	35
75.5	10	2.75	33
76	10	3	34
78	10	4	35
79	10	4.5	32
80	11	1	34
81	11	1.5	35
82.5	11	2.25	36
83	11	2.5	37
84	11	3	36
86	11	4	32
87	11	4.5	32
88	12	1	33
89	12	1.5	34
90.5	12	2.25	33
91	12	2.5	32
92	12	3	36
94	12	4	32
95	12	4.5	35
96	13	1	34
97	13	1.5	35
99	13	2.5	34
100	13	3	35
102	13	4	0
104	14	1	0
112	15	1	0
114	15	2	0
115	15	2.5	32
117	15	3.5	33
118	15	4	31
118.5	15	4.25	32
119	15	4.5	33
119.5	15	4.75	34
120	16	1	35
121	16	1.5	28
121.5	16	1.75	29
122	16	2	30
122.5	16	2.25	31
123	16	2.5	32
125	16	3.5	30
126	16	4	29
128	17	1	28
129	17	1.5	32
130	17	2	30
131	17	2.5	31
132.5	17	3.25	30
133.5	17	3.75	30
134	17	4	33
136	18	1	32
140	18	3	0
144	19	1	0
148	19	3	32
150	19	4	30
154	20	2	0
155	20	2.5	33
157	20	3.5	32
159	20	4.5	31
160	21	1	30
161	21	1.5	33
162	21	2	33
163.5	21	2.75	32
164	21	3	31
166	21	4	30
168	22	1	0
169	22	1.5	30
171	22	2.5	31
173	22	3.5	30
175	22	4.5	29
175.5	22	4.75	28
176	23	1	27
177	23	1.5	26
178	23	2	0
180	23	3	29
182	23	4	33
185	24	1.5	26
186	24	2	28
187.5	24	2.75	29
188	24	3	30
192	25	1	30
194	25	2	0
196	25	3	0
200	26	1	34
202	26	2	35
205	26	3.5	34
207	26	4.5	33
207.5	26	4.75	32
208	27	1	31
209	27	1.5	32
210	27	2	0
212	27	3	0
214	27	4	0
215	27	4.5	26
216	28	1	28
217.5	28	1.75	29
218	28	2	30
220	28	3	30
*-	*-	*-	*-
