**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	28	0	0	0	30	0	32
8	2	1	24	0	0	28	31	0	33
12	2	3	26	0	0	-28	30	0	-33
16	3	1	25	0	0	29	32	0	34
22	3	4	-25	0	0	-29	32	0	-34
24	4	1	21	28	35	30	-32	32	35
25	4	1.5	-21	-28	-35	-30	31	-32	-35
26	4	2	-21	-28	-35	-30	30	-32	-35
27	4	2.5	-21	-28	-35	-30	29	-32	36
28	4	3	-21	-28	-35	-30	28	-32	37
29	4	3.5	-21	-28	-35	-30	29	-32	38
30	4	4	-21	-28	-35	-30	30	-32	39
32	5	1	0	24	31	31	26	33	38
35	5	2.5	0	-24	-31	-31	-26	-33	37
35.5	5	2.75	0	-24	-31	-31	-26	-33	36
36	5	3	0	26	33	-31	-26	-33	35
38	5	4	0	-26	-33	-31	28	-33	33
40	6	1	25	25	29	32	27	34	0
42	6	2	-25	-25	-29	-32	25	-34	36
43	6	2.5	-25	26	-29	-32	-25	-34	-36
44	6	3	-25	27	-29	-32	32	-34	34
45	6	3.5	-25	28	-29	-32	-32	-34	-34
46	6	4	-25	29	-29	-32	-32	-34	32
47	6	4.5	-25	-29	-29	-32	31	-34	-32
48	7	1	21	28	30	-32	30	35	39
49	7	1.5	-21	-28	-30	-32	29	-35	-39
50	7	2	-21	30	-30	-32	28	-35	-39
52	7	3	23	-30	-30	-32	-28	-35	37
53	7	3.5	-23	29	-30	-32	27	-35	-37
54	7	4	-23	28	-30	-32	25	-35	-37
56	8	1	22	-28	31	0	26	36	0
58	8	2	-22	27	-31	29	-26	-36	0
59	8	2.5	-22	26	-31	-29	-26	-36	0
60	8	3	-22	27	-31	-29	29	-36	0
62	8	4	-22	26	-31	31	-29	-36	0
64	9	1	21	28	32	30	25	37	0
66	9	2	-21	-28	-32	28	32	-37	39
67	9	2.5	-21	-28	-32	29	31	-37	-39
68	9	3	28	0	-32	30	30	-37	-39
69	9	3.5	-28	0	-32	31	29	-37	-39
70	9	4	-28	0	-32	32	28	-37	37
71	9	4.5	-28	0	-32	-32	27	-37	-37
72	10	1	24	28	33	31	26	0	38
74	10	2	-24	-28	-33	33	31	0	-38
75	10	2.5	-24	-28	-33	-33	-31	0	37
76	10	3	-24	26	-33	-33	-31	0	36
77	10	3.5	-24	-26	-33	32	30	0	35
78	10	4	26	-26	-33	30	28	0	35
79	10	4.5	-26	-26	-33	31	-28	0	-35
80	11	1	25	27	0	32	29	0	-35
82	11	2	-25	-27	0	-32	-29	0	34
83	11	2.5	-25	-27	0	-32	-29	0	33
84	11	3	-25	25	0	32	-29	0	34
88	12	1	21	32	0	30	28	37	35
90	12	2	-21	-32	0	28	-28	-37	-35
91	12	2.5	-21	-32	0	29	-28	-37	-35
92	12	3	-21	30	0	30	-28	-37	-35
93	12	3.5	-21	-30	0	31	-28	-37	-35
94	12	4	-21	28	0	32	-28	-37	-35
96	13	1	0	29	33	-32	0	36	33
98	13	2	0	-29	-33	31	0	-36	-33
99	13	2.5	0	-29	-33	30	0	-36	-33
100	13	3	0	-29	-33	31	0	-36	36
102	13	4	0	-29	-33	-31	29	-36	-36
104	14	1	25	25	32	32	-29	-36	34
106	14	2	-25	-25	-32	-32	27	-36	-34
107	14	2.5	-25	26	-32	-32	-27	-36	35
108	14	3	-25	27	-32	0	-27	-36	36
110	14	4	-25	-27	-32	32	25	-36	34
112	15	1	21	28	-32	30	32	35	37
115	15	2.5	-21	-28	-32	31	31	-35	-37
116	15	3	23	25	-32	32	30	34	-37
117	15	3.5	-23	-25	-32	-32	29	-34	-37
118	15	4	-23	-25	-32	25	30	-34	-37
120	16	1	24	0	31	28	26	33	35
123	16	2.5	25	0	-31	-28	27	-33	-35
124	16	3	26	0	30	-28	28	-33	-35
125	16	3.5	27	0	-30	-28	29	-33	-35
126	16	4	28	0	-30	-28	30	-33	-35
127	16	4.5	-28	0	-30	-28	31	-33	-35
128	17	1	-28	25	29	29	32	32	0
130	17	2	27	-25	-29	-29	25	-32	0
131	17	2.5	26	-25	-29	-29	-25	-32	0
132	17	3	27	-25	-29	0	0	-32	39
134	17	4	-27	-25	-29	0	32	-32	-39
136	18	1	28	28	28	32	-32	0	37
138	18	2	-28	-28	-28	-32	30	0	-37
139	18	2.5	-28	29	-28	-32	-30	0	38
140	18	3	-28	30	-28	32	-30	0	39
141	18	3.5	-28	31	-28	-32	-30	0	-39
142	18	4	-28	32	-28	-32	28	0	37
144	19	1	24	31	0	33	35	0	38
147	19	2.5	-24	-31	0	34	34	0	-38
148	19	3	0	-31	0	35	33	0	-38
150	19	4	0	28	0	-35	32	0	37
152	20	1	0	29	0	33	-32	0	36
154	20	2	22	-29	0	-33	31	0	33
155	20	2.5	-22	-29	0	-33	30	0	-33
156	20	3	22	-29	0	0	31	0	33
158	20	4	22	-29	0	29	-31	0	33
160	21	1	25	0	0	29	32	32	34
162	21	2	-25	0	0	29	25	-32	-34
164	21	3	23	0	0	32	25	-32	34
166	21	4	23	0	0	-32	25	-32	34
168	22	1	26	0	28	30	28	33	35
170	22	2	-26	0	-28	30	-28	-33	-35
172	22	3	-26	0	-28	31	26	-33	35
174	22	4	-26	0	-28	-31	28	-33	-35
176	23	1	25	0	29	32	27	34	0
178	23	2	-25	25	-29	-32	25	-34	0
180	23	3	0	25	-29	0	32	-34	0
182	23	4	0	25	-29	0	-32	-34	32
184	24	1	0	28	30	0	0	35	32
186	24	2	0	-28	-30	28	0	-35	32
188	24	3	0	26	-30	28	0	-35	35
190	24	4	0	26	-30	28	0	-35	-35
192	25	1	0	29	31	31	0	36	33
194	25	2	0	-29	-31	-31	0	-36	33
196	25	3	0	-29	-31	29	0	-36	34
198	25	4	0	-29	-31	31	0	-36	-34
200	26	1	21	28	32	30	0	37	35
203	26	2.5	-21	29	-32	31	0	-37	-35
204	26	3	21	30	-32	32	0	-37	-35
205	26	3.5	-21	-30	-32	31	0	-37	-35
206	26	4	21	-30	-32	30	28	-37	-35
207	26	4.5	-21	-30	-32	29	-28	-37	-35
208	27	1	24	26	33	28	28	0	0
209	27	1.5	-24	-26	-33	27	-28	0	0
210	27	2	-24	-26	-33	26	28	0	0
212	27	3	22	0	-33	29	31	0	0
214	27	4	22	0	-33	-29	-31	0	36
216	28	1	25	0	0	27	29	0	36
218	28	2	-25	25	0	-27	-29	0	36
219	28	2.5	24	-25	0	-27	-29	0	-36
220	28	3	23	25	0	-27	30	0	39
222	28	4	-23	25	0	-27	-30	0	39
223	28	4.5	-23	-25	0	-27	29	0	-39
224	29	1	21	28	0	0	30	37	-39
225	29	1.5	-21	-28	0	0	31	-37	38
226	29	2	-21	-28	0	0	32	-37	37
227	29	2.5	-21	-28	0	0	-32	-37	36
228	29	3	0	26	0	0	33	-37	35
230	29	4	0	26	0	0	-33	-37	-35
231	29	4.5	0	-26	0	0	32	-37	-35
232	30	1	22	29	33	0	31	36	33
234	30	2	-22	-29	-33	0	32	-36	36
236	30	3	22	-29	-33	0	-32	-36	-36
237	30	3.5	-22	-29	-33	0	-32	-36	35
238	30	4	22	-29	-33	29	31	-36	33
240	31	1	25	27	32	29	32	-36	34
242	31	2	-25	-27	-32	29	25	-36	-34
243	31	2.5	-25	-27	-32	-29	-25	-36	35
244	31	3	-25	-27	-32	32	27	-36	36
246	31	4	-25	25	-32	-32	27	-36	-36
248	32	1	21	25	-32	30	28	35	37
249	32	1.5	-21	-25	-32	-30	29	-35	-37
250	32	2	-21	-25	-32	-30	30	-35	-37
251	32	2.5	-21	-25	-32	-30	31	-35	-37
252	32	3	23	-25	-32	-30	32	34	-37
254	32	4	-23	-25	-32	30	25	-34	-37
256	33	1	24	0	31	28	26	33	0
259	33	2.5	-24	0	-31	29	27	-33	0
260	33	3	21	0	30	30	28	32	0
261	33	3.5	-21	0	-30	31	-28	-32	0
262	33	4	-21	28	-30	32	-28	-32	0
264	34	1	25	-28	29	-32	0	0	0
265	34	1.5	-25	-28	-29	31	0	0	0
266	34	2	-25	27	-29	29	0	0	39
268	34	3	0	26	28	30	0	0	-39
270	34	4	0	-26	-28	28	35	0	38
272	35	1	0	25	0	32	-35	0	37
274	35	2	0	-25	0	-32	34	0	36
276	35	3	0	26	0	0	33	0	35
278	35	4	0	24	0	31	-33	0	-35
