**absq	**bar	**beat	**b7
2	1	2	31
8	2	2	32
12	3	1	33
14	3	2	34
16	3	3	35
18	4	1	35
22	4	3	34
24	5	1	35
30	6	1	0
32	6	2	0
34	6	3	38
36	7	1	37
40	7	3	36
42	8	1	36
48	9	1	35
50	9	2	33
52	9	3	31
54	10	1	32
58	10	3	32
60	11	1	31
66	12	1	30
72	13	1	0
74	13	2	36
78	14	1	36
82	14	3	35
84	15	1	36
86	15	2	36
90	16	2	35
91	16	2.5	35
92	17	1	34
96	18	1	33
102	19	1	0
104	19	2	35
106	19	3	32
108	20	1	34
112	20	3	31
114	21	1	33
116	21	2	32
119	21	3.5	31
120	22	1	32
126	23	1	31
138	25	1	33
140	25	2	34
142	25	3	35
144	26	1	36
146	26	2	37
148	26	3	38
152	27	2	37
158	28	2	34
160	28	3	35
162	29	1	36
168	30	1	35
174	31	1	0
180	32	1	0
186	33	1	35
188	33	2	35
190	33	3	35
192	34	1	33
196	34	3	33
198	35	1	31
206	36	2	34
212	37	2	33
214	37	3	32
216	38	1	32
222	39	1	31
224	39	2	36
226	40	1	31
*-	*-	*-	*-
