**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	24	0	0	0	31	28	0	0
4	1	3	-24	0	24	0	31	-28	0	0
6	1	4	-24	0	-24	0	31	-28	0	0
8	2	1	22	0	-24	0	-31	29	0	0
9	2	1.5	-22	0	-24	0	30	-29	0	0
10	2	2	-22	0	24	0	29	-29	0	0
11	2	2.5	-22	0	-24	0	28	-29	0	0
12	2	3	22	0	24	0	27	29	0	0
16	3	1	21	28	25	0	28	30	35	32
20	3	3	-21	-28	-25	28	0	-30	35	-32
22	3	4	-21	-28	-25	-28	21	-30	35	-32
24	4	1	17	26	24	-28	24	31	-35	33
25	4	1.5	-17	-26	-24	-28	25	-31	34	-33
26	4	2	-17	-26	-24	28	26	-31	33	-33
27	4	2.5	-17	-26	-24	-28	27	-31	32	-33
28	4	3	-17	26	-24	28	28	-31	31	33
32	5	1	0	25	0	29	0	0	32	34
34	5	2	0	-25	0	-29	0	29	-32	-34
36	5	3	0	-25	25	-29	0	32	0	-34
38	5	4	0	-25	-25	-29	0	-32	25	-34
40	6	1	0	21	-25	28	0	-32	28	35
41	6	1.5	0	-21	-25	-28	0	-32	29	-35
42	6	2	0	-21	-25	-28	0	32	30	-35
43	6	2.5	0	-21	-25	-28	0	-32	31	-35
44	6	3	0	-21	25	-28	0	30	32	-35
48	7	1	19	0	26	0	0	28	0	0
50	7	2	-19	0	-26	0	28	-28	0	33
52	7	3	20	0	24	29	31	27	0	36
55	7	4.5	-20	0	-24	-29	30	-27	0	-36
56	8	1	-20	0	-24	-29	29	-27	0	-36
58	8	2	-20	0	-24	-29	28	-27	0	36
59	8	2.5	-20	0	-24	-29	27	-27	0	-36
60	8	3	20	0	24	29	31	29	0	34
64	9	1	21	23	0	30	30	28	0	32
66	9	2	-21	-23	0	-30	28	-28	32	-32
68	9	3	17	24	0	28	-28	26	35	31
69	9	3.5	-17	-24	0	-28	27	-26	-35	-31
70	9	4	-17	-24	0	-28	26	-26	-35	-31
71	9	4.5	-17	-24	0	-28	25	-26	34	-31
72	10	1	-17	-24	0	-28	24	-26	33	-31
74	10	2	-17	-24	0	-28	31	-26	32	-31
75	10	2.5	-17	-24	0	-28	-31	-26	31	-31
76	10	3	-17	24	0	28	31	26	35	33
78	10	4	-17	-24	0	-28	31	-26	-35	-33
80	11	1	0	25	0	0	29	27	34	32
82	11	2	0	-25	0	0	-29	-27	32	-32
84	11	3	0	21	0	0	32	25	-32	30
85	11	3.5	0	-21	0	0	-32	-25	31	-30
86	11	4	0	-21	0	0	32	-25	30	-30
87	11	4.5	0	-21	0	0	-32	-25	29	-30
88	12	1	0	-21	0	0	-32	-25	28	-30
89	12	1.5	0	-21	0	0	31	-25	-28	-30
90	12	2	0	-21	0	0	30	-25	35	-30
91	12	2.5	0	-21	0	0	29	-25	-35	-30
92	12	3	21	-21	0	0	28	25	35	30
94	12	4	-21	-21	0	0	-28	-25	35	-30
96	13	1	22	0	24	0	0	0	33	31
98	13	2	-22	0	-24	0	31	0	-33	-31
99	13	2.5	21	0	-24	0	-31	0	-33	-31
100	13	3	20	0	-24	0	31	27	36	29
102	13	4	-20	0	24	0	-31	-27	36	-29
103	13	4.5	19	0	-24	0	-31	-27	-36	-29
104	14	1	18	0	25	0	0	-27	-36	-29
105	14	1.5	-18	0	-25	0	0	-27	35	-29
106	14	2	-18	0	-25	0	29	27	34	-29
107	14	2.5	-18	0	-25	0	-29	-27	33	-29
108	14	3	-18	25	27	0	-29	27	32	29
109	14	3.5	-18	-25	-27	0	-29	28	-32	-29
110	14	4	-18	-25	-27	0	25	29	-32	-29
111	14	4.5	-18	-25	-27	0	-25	30	-32	-29
112	15	1	17	26	26	28	28	31	0	0
114	15	2	-17	-26	-26	-28	-28	-31	35	0
115	15	2.5	-17	25	-26	-28	-28	-31	-35	0
116	15	3	-17	24	-26	-28	26	-31	35	31
118	15	4	-17	-24	-26	28	-26	-31	-35	-31
119	15	4.5	-17	23	-26	-28	25	-31	-35	-31
120	16	1	0	22	-26	29	24	0	0	-31
122	16	2	0	-22	-26	-29	-24	0	33	31
124	16	3	24	-22	-26	31	-24	0	-33	31
125	16	3.5	-24	-22	-26	-31	-24	0	-33	32
126	16	4	-24	-22	-26	-31	-24	0	29	33
127	16	4.5	-24	-22	-26	-31	-24	0	-29	34
128	17	1	25	21	0	30	0	32	32	35
130	17	2	25	-21	0	-30	0	-32	-32	-35
132	17	3	25	-21	0	-30	0	-32	30	-35
134	17	4	-25	-21	0	-30	0	32	-30	-35
135	17	4.5	-25	-21	0	-30	0	-32	29	-35
136	18	1	21	0	25	-30	0	32	28	0
140	18	3	-21	28	-25	-30	0	30	-28	0
144	19	1	0	29	27	0	0	29	0	36
146	19	2	0	29	-27	0	25	-29	0	-36
148	19	3	18	29	-27	0	-25	25	0	-36
149	19	3.5	-18	-29	-27	0	26	-25	0	-36
150	19	4	-18	-29	27	0	27	-25	0	36
151	19	4.5	-18	-29	-27	0	28	-25	0	-36
152	20	1	-18	25	27	29	29	27	0	36
154	20	2	18	-25	-27	-29	25	-27	0	-36
155	20	2.5	-18	-25	26	-29	-25	-27	0	-36
156	20	3	18	-25	25	-29	32	-27	0	34
158	20	4	-18	-25	-25	-29	-32	28	0	-34
160	21	1	22	0	24	31	0	29	0	33
162	21	2	-22	0	-24	-31	0	-29	29	-33
163	21	2.5	-22	0	-24	-31	0	30	-29	-33
164	21	3	-22	22	-24	-31	0	31	-29	29
165	21	3.5	-22	-22	-24	-31	0	-31	30	-29
166	21	4	22	-22	-24	31	0	29	31	-29
167	21	4.5	-22	-22	-24	-31	0	-29	32	-29
168	22	1	22	-22	-24	31	0	29	33	31
170	22	2	-22	22	-24	-31	0	-29	29	-31
171	22	2.5	-22	-22	-24	30	0	-29	-29	-31
