**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	22	0	0	0	0	0
4	1	3	22	0	22	0	0	0
6	1	4	24	0	-22	0	0	0
8	2	1	-24	26	22	0	0	0
9	2	1.5	23	-26	-22	0	0	0
10	2	2	22	-26	24	0	0	0
14	2	4	21	-26	23	0	0	0
15	2	4.5	20	-26	22	0	0	0
16	3	1	21	26	23	0	0	0
18	3	2	22	-26	24	0	0	0
20	3	3	18	27	25	29	0	0
21	3	3.5	19	-27	-25	-29	0	0
22	3	4	20	27	-25	-29	0	0
23	3	4.5	21	-27	-25	-29	0	0
24	4	1	22	26	24	29	0	29
26	4	2	-22	-26	-24	31	0	-29
27	4	2.5	-22	-26	23	-31	0	-29
28	4	3	-22	-26	22	-31	33	29
29	4	3.5	-22	-26	21	30	-33	-29
30	4	4	-22	-26	22	29	-33	31
31	4	4.5	-22	-26	23	-29	-33	-31
32	5	1	0	0	24	-29	-33	-31
33	5	1.5	0	0	25	-29	-33	-31
34	5	2	0	0	26	28	-33	30
35	5	2.5	0	0	-26	27	-33	29
36	5	3	0	0	-26	28	33	30
38	5	4	0	0	22	29	-33	31
40	6	1	0	0	29	25	34	32
41	6	1.5	0	0	-29	26	-34	-32
42	6	2	0	0	29	27	34	-32
43	6	2.5	0	0	-29	28	-34	-32
44	6	3	0	0	22	29	33	-32
46	6	4	0	0	-22	29	33	31
48	7	1	0	0	0	25	32	34
50	7	2	0	0	29	25	-32	-34
51	7	2.5	0	0	-29	-25	32	34
52	7	3	0	0	-29	26	30	33
54	7	4	0	26	28	-26	30	-33
56	8	1	22	-26	29	0	31	-33
58	8	2	-22	24	26	0	31	-33
60	8	3	-22	22	26	0	-31	-33
62	8	4	21	23	-26	0	30	-33
64	9	1	22	24	26	0	-30	0
65	9	1.5	-22	-24	-26	0	29	0
66	9	2	22	-24	-26	0	29	0
67	9	2.5	-22	23	-26	0	-29	0
67.5	9	2.75	-22	22	-26	0	-29	0
68	9	3	19	23	-26	0	-29	33
70	9	4	-19	-23	-26	0	28	-33
72	10	1	18	25	0	0	29	34
74	10	2	-18	-25	25	29	-29	34
75	10	2.5	19	-25	-25	-29	-29	-34
76	10	3	20	22	-25	-29	36	-34
77	10	3.5	21	-22	-25	-29	-36	-34
78	10	4	22	26	24	29	-36	33
79	10	4.5	-22	-26	-24	-29	36	-33
80	11	1	18	27	25	29	34	-33
81	11	1.5	-18	-27	-25	-29	-34	32
82	11	2	-18	29	25	27	32	32
84	11	3	0	29	22	26	33	-32
86	11	4	0	-29	-22	-26	-33	31
88	12	1	0	29	25	25	34	32
90	12	2	0	-29	-25	-25	36	-32
91	12	2.5	0	28	-25	-25	-36	-32
92	12	3	25	27	0	29	-36	0
93	12	3.5	-25	26	0	-29	35	0
94	12	4	-25	25	0	-29	34	32
96	13	1	24	22	0	29	33	33
98	13	2	-24	-22	22	-29	-33	-33
100	13	3	25	0	25	-29	32	34
101	13	3.5	-25	0	26	-29	-32	-34
102	13	4	-25	0	27	25	-32	-34
103	13	4.5	-25	0	28	-25	-32	-34
104	14	1	22	0	29	26	31	33
105	14	1.5	-22	0	-29	-26	32	-33
106	14	2	-22	29	22	31	33	-33
107	14	2.5	-22	-29	-22	-31	34	-33
108	14	3	-22	-29	26	-31	33	0
110	14	4	-22	29	26	31	-33	33
112	15	1	0	28	-26	30	0	-33
114	15	2	0	-28	26	-30	0	33
116	15	3	0	-28	24	31	0	33
118	15	4	0	28	24	-31	0	-33
120	16	1	0	27	25	29	0	32
122	16	2	0	-27	-25	-29	0	32
124	16	3	0	26	22	29	0	31
126	16	4	22	26	-22	-29	33	-31
127	16	4.5	-22	-26	-22	-29	-33	30
128	17	1	-22	-26	0	-29	-33	29
130	17	2	22	26	22	-29	33	36
132	17	3	20	27	-22	-29	32	-36
134	17	4	-20	-27	22	-29	31	36
136	18	1	21	25	23	0	30	35
138	18	2	-21	-25	-23	32	-30	-35
140	18	3	18	27	25	-32	29	34
142	18	4	-18	-27	-25	32	-29	-34
143	18	4.5	-18	28	-25	-32	-29	-34
144	19	1	0	29	22	31	-29	33
146	19	2	22	26	-22	29	31	-33
148	19	3	21	28	0	30	32	0
150	19	4	20	29	0	29	34	31
152	20	1	23	25	0	27	-34	32
153	20	1.5	-23	-25	0	-27	33	-32
154	20	2	-23	-25	0	28	32	32
156	20	3	22	26	0	29	-32	36
158	20	4	-22	-26	0	29	31	36
160	21	1	18	25	0	29	32	34
162	21	2	-18	25	27	-29	-32	36
166	21	4	20	24	27	29	36	36
168	22	1	-20	22	27	-29	-36	34
170	22	2	20	-22	-27	31	36	-34
171	22	2.5	-20	-22	-27	-31	-36	35
172	22	3	20	24	-27	31	34	36
175	22	4.5	-20	25	-27	-31	-34	-36
176	23	1	24	26	28	31	33	35
179	23	2.5	-24	-26	-28	-31	34	34
180	23	3	-24	0	24	-31	35	33
182	23	4	20	0	-24	31	36	34
184	24	1	24	0	26	31	35	33
186	24	2	25	0	27	29	34	32
188	24	3	22	0	29	-29	33	31
189	24	3.5	-22	0	-29	-29	-33	29
190	24	4	-22	0	26	29	-33	31
191	24	4.5	23	0	-26	-29	-33	32
192	25	1	24	0	-26	28	0	33
194	25	2	-24	24	26	-28	33	35
196	25	3	0	-24	28	31	-33	-35
198	25	4	0	24	-28	-31	33	35
200	26	1	0	28	21	30	32	35
203	26	2.5	0	-28	-21	31	31	-35
204	26	3	0	-28	0	32	30	-35
206	26	4	0	24	0	31	33	35
208	27	1	0	28	0	30	32	35
210	27	2	0	29	0	29	31	34
212	27	3	0	26	0	29	30	33
214	27	4	0	26	26	28	30	-33
216	28	1	0	22	-26	29	31	33
217	28	1.5	0	-22	26	-29	-31	-33
218	28	2	0	-22	26	-29	29	-33
220	28	3	0	-22	27	0	-29	31
221	28	3.5	0	-22	-27	0	29	-31
222	28	4	22	-22	26	0	29	-31
223	28	4.5	-22	-22	25	0	-29	30
224	29	1	-22	0	24	0	31	29
225	29	1.5	22	0	-24	0	-31	-29
226	29	2	22	0	27	0	-31	-29
227	29	2.5	-22	0	-27	0	30	-29
227.5	29	2.75	-22	0	-27	0	29	-29
228	29	3	24	0	26	0	28	0
230	29	4	-24	0	-26	0	31	0
231	29	4.5	23	0	-26	0	-31	0
231.5	29	4.75	22	0	-26	0	-31	0
232	30	1	21	0	28	0	-31	0
234	30	2	21	0	-28	0	30	32
236	30	3	25	0	27	0	-30	-32
238	30	4	25	25	-27	0	29	32
239	30	4.5	-25	-25	26	0	-29	-32
240	31	1	23	-25	25	0	-29	34
242	31	2	-23	25	21	0	28	33
243	31	2.5	-23	-25	-21	0	-28	32
244	31	3	22	27	0	0	29	31
246	31	4	-22	26	0	29	-29	-31
247	31	4.5	-22	25	0	-29	-29	32
248	32	1	-22	24	0	-29	0	33
250	32	2	-22	-24	0	29	0	-33
251	32	2.5	-22	25	0	-29	0	-33
252	32	3	0	26	0	31	0	33
254	32	4	0	-26	0	30	0	32
255	32	4.5	0	-26	0	29	0	31
256	33	1	0	26	0	28	0	30
258	33	2	0	27	0	29	0	32
260	33	3	0	28	0	30	0	32
262	33	4	0	29	0	29	33	31
264	34	1	0	26	0	-29	-33	30
266	34	2	0	-26	26	28	33	-30
268	34	3	0	0	-26	30	35	0
270	34	4	0	0	26	-30	-35	30
271	34	4.5	0	0	-26	-30	34	-30
271.5	34	4.75	0	0	-26	-30	33	-30
272	35	1	0	0	28	0	32	-30
274	35	2	0	0	-28	28	33	30
275	35	2.5	0	0	27	-28	-33	-30
275.5	35	2.75	0	0	26	-28	-33	-30
276	35	3	0	0	25	29	34	32
277	35	3.5	0	0	-25	30	-34	-32
278	35	4	0	0	26	31	33	31
280	36	1	0	0	27	-31	-33	29
281	36	1.5	0	0	-27	30	-33	-29
282	36	2	0	0	-27	29	32	-29
284	36	3	0	0	26	-29	33	30
286	36	4	0	0	26	28	-33	30
288	37	1	0	0	22	29	0	31
290	37	2	22	26	-22	-29	31	33
293	37	3.5	22	26	0	0	31	33
294	37	4	22	26	22	29	31	33
296	38	1	18	27	-22	-29	32	36
297	38	1.5	-18	-27	22	29	-32	-36
298	38	2	-18	-27	22	29	-32	-36
300	38	3	-18	-27	25	29	-32	-36
304	39	1	22	26	24	29	33	36
306	39	2	-22	29	22	31	-33	-36
310	39	4	0	29	22	31	-33	33
312	40	1	0	29	22	31	0	-33
314	40	2	0	28	26	30	0	33
316	40	3	0	29	22	31	0	33
317	40	3.5	0	28	-22	30	0	-33
318	40	4	0	27	29	29	0	32
320	41	1	0	26	-29	30	0	33
322	41	2	0	-26	28	-30	0	-33
324	41	3	18	25	29	29	32	34
327	41	4.5	-18	-25	28	-29	33	-34
328	42	1	-18	-25	27	-29	34	-34
329	42	1.5	-18	-25	26	-29	35	-34
330	42	2	-18	-25	25	-29	36	-34
332	42	3	22	26	-25	29	-36	33
333	42	3.5	-22	-26	-25	-29	35	-33
334	42	4	-22	29	24	-29	33	-33
336	43	1	18	-29	25	27	34	36
337	43	1.5	-18	28	-25	-27	-34	-36
338	43	2	-18	27	-25	-27	36	-36
339	43	2.5	19	-27	-25	28	-36	35
340	43	3	20	-27	24	29	-36	34
341	43	3.5	-20	28	-24	30	35	33
342	43	4	-20	29	-24	31	34	34
343	43	4.5	-20	-29	-24	32	-34	-34
344	44	1	17	28	24	31	-34	35
346	44	2	-17	-28	-24	-31	33	-35
347	44	2.5	-17	-28	-24	-31	32	-35
348	44	3	-17	-28	-24	-31	33	-35
352	45	1	20	27	-24	31	34	36
358	45	4	-20	-27	-24	27	36	34
361	46	1.5	0	0	0	27	36	34
362	46	2	0	0	0	27	36	34
364	46	3	0	0	0	28	35	33
366	46	4	0	0	0	29	33	31
368	47	1	0	0	0	25	34	32
369	47	1.5	0	0	0	26	-34	-32
370	47	2	0	29	0	27	-34	32
371	47	2.5	0	-29	0	28	-34	-32
372	47	3	0	-29	0	29	33	31
373	47	3.5	0	29	0	30	-33	32
374	47	4	0	29	0	31	-33	33
375	47	4.5	0	-29	0	29	34	31
376	48	1	0	28	0	30	35	32
378	48	2	0	26	0	31	-35	33
380	48	3	0	27	0	-31	31	29
381	48	3.5	0	-27	0	30	-31	-29
382	48	4	0	27	0	29	-31	-29
383	48	4.5	0	-27	0	-29	32	-29
384	49	1	0	26	0	-29	33	30
386	49	2	0	-26	0	28	-33	-30
388	49	3	0	22	0	29	31	29
390	49	4	20	22	29	-29	31	-29
392	50	1	21	23	28	0	30	0
394	50	2	22	24	26	0	29	0
396	50	3	18	25	27	0	29	0
400	51	1	22	24	26	0	29	0
401	51	1.5	-22	-24	-26	0	30	0
402	51	2	-22	-24	-26	26	31	36
403	51	2.5	23	-24	-26	-26	32	-36
404	51	3	24	0	0	26	33	35
406	51	4	-24	24	0	29	33	33
408	52	1	0	25	0	-29	32	34
410	52	2	0	26	0	28	30	33
412	52	3	0	22	0	29	31	-33
414	52	4	0	29	24	-29	-31	33
416	53	1	0	-29	25	0	30	32
418	53	2	0	28	26	0	-30	30
420	53	3	20	29	22	0	29	31
421	53	3.5	-20	-29	23	0	-29	-31
422	53	4	-20	22	24	29	-29	-31
423	53	4.5	-20	-22	25	-29	-29	-31
424	54	1	21	23	26	28	0	30
426	54	2	22	24	-26	26	29	33
428	54	3	18	25	29	27	-29	32
429	54	3.5	-18	-25	-29	-27	29	-32
430	54	4	-18	-25	-29	-27	29	32
431	54	4.5	-18	-25	28	28	-29	-32
432	55	1	-18	-25	27	29	32	34
434	55	2	-18	24	-27	-29	-32	-34
435	55	2.5	-18	23	26	-29	-32	-34
436	55	3	-18	22	25	-29	-32	-34
440	56	1	22	22	26	29	31	33
448	57	1	0	0	0	0	0	33
452	57	3	0	0	0	29	31	-33
456	58	1	0	0	0	25	32	34
460	58	3	0	0	0	29	31	33
462	58	4	0	0	0	29	33	31
464	59	1	0	0	0	27	34	32
466	59	2	0	0	0	26	35	33
468	59	3	0	0	0	25	36	34
469	59	3.5	0	0	0	26	-36	-34
470	59	4	0	0	0	27	-36	-34
471	59	4.5	0	0	0	28	-36	33
472	60	1	0	0	0	29	-36	31
473	60	1.5	0	0	0	30	-36	32
474	60	2	0	0	0	31	35	33
475	60	2.5	0	0	0	-31	34	-33
476	60	3	0	0	0	-31	33	29
477	60	3.5	0	0	0	30	-33	30
478	60	4	0	0	0	29	-33	31
479	60	4.5	0	0	0	-29	-33	29
480	61	1	0	0	26	-29	33	30
482	61	2	0	0	-26	28	-33	-30
484	61	3	22	24	-26	29	0	29
486	61	4	-22	-24	-26	-29	33	-29
488	62	1	18	25	27	-29	32	0
492	62	3	22	24	26	0	33	0
494	62	4	22	26	24	29	33	0
496	63	1	20	27	25	-29	36	0
497	63	1.5	-20	-27	-25	30	-36	0
498	63	2	19	28	26	31	35	0
500	63	3	18	29	27	32	34	0
501	63	3.5	19	-29	-27	-32	-34	0
502	63	4	20	-29	-27	29	-34	0
503	63	4.5	21	-29	26	-29	-34	0
504	64	1	22	-29	24	31	33	0
505	64	1.5	23	-29	25	-31	-33	0
