**absq	**bar	**beat	**b7
1	1	2	34
1.25	1	2.25	33
1.5	1	2.5	34
1.75	1	2.75	35
2	1	3	36
3.5	1	4.5	33
4	2	1	33
5.5	2	2.5	32
6	2	3	34
8	3	1	34
9	3	2	34
9.25	3	2.25	33
9.5	3	2.5	34
9.75	3	2.75	35
10	3	3	36
11	3	4	35
11.5	3	4.5	34
12	4	1	33
13.5	4	2.5	33
14	4	3	34
16	5	1	34
17	5	2	36
18	5	3	35
18.5	5	3.5	34
19	5	4	35
19.5	5	4.5	33
20	6	1	34
20.25	6	1.25	33
21	6	2	34
21.25	6	2.25	33
21.5	6	2.5	34
21.75	6	2.75	35
22	6	3	33
22.5	6	3.5	33
23	6	4	34
23.5	6	4.5	35
24	7	1	36
25	7	2	35
26	7	3	0
28	8	1	0
29	8	2	34
30	8	3	35
31.5	8	4.5	35
32	9	1	35
34	9	3	36
34.5	9	3.5	33
35	9	4	34
35.5	9	4.5	35
36	10	1	36
36.5	10	1.5	32
37	10	2	33
37.5	10	2.5	33
38	10	3	34
38.5	10	3.5	34
39	10	4	34
39.5	10	4.5	35
40	11	1	36
41	11	2	34
41.5	11	2.5	35
41.75	11	2.75	36
42	11	3	32
42.5	11	3.5	33
42.75	11	3.75	34
43	11	4	35
43.5	11	4.5	36
43.75	11	4.75	37
44	12	1	33
46	12	3	32
48	13	1	0
49	13	2	35
49.5	13	2.5	35
50	13	3	33
51	13	4	36
51.5	13	4.5	35
52	14	1	34
54	14	3	33
55	14	4	33
55.25	14	4.25	32
55.5	14	4.5	31
55.75	14	4.75	30
56	15	1	29
56.5	15	1.5	29
57	15	2	32
57.5	15	2.5	31
58	15	3	30
60	16	1	29
62	16	3	0
64	17	1	0
66	17	3	0
66.5	17	3.5	29
67	17	4	32
67.5	17	4.5	31
68	18	1	30
69	18	2	33
69.25	18	2.25	32
69.5	18	2.5	31
69.75	18	2.75	30
70	18	3	29
72	19	1	28
73	19	2	35
74	19	3	34
75	19	4	33
76	20	1	33
77	20	2	32
78	20	3	33
80	21	1	0
84	22	1	0
84.5	22	1.5	31
85	22	2	32
85.5	22	2.5	33
86	22	3	34
88	23	1	34
88.5	23	1.5	34
89	23	2	35
89.5	23	2.5	36
90	23	3	37
92	24	1	37
92.5	24	1.5	32
93	24	2	33
93.5	24	2.5	33
94	24	3	34
97	25	2	33
97.25	25	2.25	34
97.5	25	2.5	35
97.75	25	2.75	34
98	25	3	33
100	26	1	32
102	26	3	0
104	27	1	34
106	27	3	0
107	27	4	34
107.5	27	4.5	34
108	28	1	34
109	28	2	34
109.5	28	2.5	34
110	28	3	35
110.5	28	3.5	36
110.75	28	3.75	37
111	28	4	33
111.5	28	4.5	34
111.75	28	4.75	35
112	29	1	36
114	29	3	34
115	29	4	37
115.5	29	4.5	34
116	30	1	35
118	30	3	0
120	31	1	0
121	31	2	32
121.5	31	2.5	29
122	31	3	30
122.5	31	3.5	30
123	31	4	33
123.5	31	4.5	30
124	32	1	33
125	32	2	35
125.5	32	2.5	36
126	32	3	37
126.5	32	3.5	37
127	32	4	34
127.5	32	4.5	34
128	33	1	35
129	33	2	36
129.5	33	2.5	37
130	33	3	34
131	33	4	34
132	34	1	0
132.5	34	1.5	37
133	34	2	36
133.5	34	2.5	35
134	34	3	34
134.5	34	3.5	36
135	34	4	35
135.5	34	4.5	34
136	35	1	35
137.5	35	2.5	34
138	35	3	34
140	36	1	33
141	36	2	33
141.5	36	2.5	32
142	36	3	31
143	36	4	34
143.75	36	4.75	30
144	37	1	30
146	37	3	29
146.5	37	3.5	33
147	37	4	34
147.5	37	4.5	35
148	38	1	36
148.5	38	1.5	34
149	38	2	35
149.5	38	2.5	36
150	38	3	37
151.5	38	4.5	33
152	39	1	33
156	40	1	32
*-	*-	*-	*-
