**absq	**bar	**beat	**b7	**b7
0	0	1	0	28
2	0	2	28	-28
4	0	3	27	29
6	0	4	26	31
8	3	1	25	-31
10	3	2	-25	30
12	3	3	24	31
14	3	4	28	32
16	4	1	27	-32
17	4	1.5	-27	31
18	4	2	28	30
19	4	2.5	-28	29
20	4	3	-28	30
21	4	3.5	27	-30
22	4	4	26	-30
23	4	4.5	25	-30
24	5	1	24	29
26	5	2	25	32
28	5	3	26	32
30	5	4	26	31
32	6	1	25	32
34	6	2	-25	34
37	6	3.5	0	33
38	6	4	27	32
40	7	1	-27	31
41	7	1.5	26	-31
42	7	2	25	32
44	7	3	-25	33
46	7	4	24	-33
48	8	1	25	32
50	8	2	27	-32
52	8	3	28	0
54	8	4	29	31
56	9	1	30	32
58	9	2	29	33
60	9	3	-29	34
61	9	3.5	28	-34
62	9	4	27	-34
63	9	4.5	-27	33
64	10	1	-27	32
65	10	1.5	26	31
66	10	2	26	31
67	10	2.5	25	-31
67.5	10	2.75	24	-31
68	10	3	25	-31
70	10	4	-25	30
72	11	1	24	31
*-	*-	*-	*-	*-
