**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	23	0	27	0	30	0	32
4	1	3	-23	0	28	0	-30	0	-32
8	2	1	24	0	26	0	28	0	33
12	2	3	22	0	-26	0	29	0	31
14	2	4	-22	0	27	0	-29	0	-31
16	3	1	23	27	-27	0	25	0	32
18	3	2	-23	-27	30	0	-25	0	-32
19	3	2.5	-23	-27	-30	0	26	0	-32
20	3	3	25	-27	29	0	27	0	-32
22	3	4	-25	-27	30	0	23	0	-32
24	4	1	26	28	-30	0	0	0	30
25	4	1.5	-26	-28	29	0	0	0	-30
26	4	2	-26	-28	28	0	30	0	-30
27	4	2.5	25	-28	-28	0	-30	0	-30
28	4	3	24	26	-28	0	-30	0	33
30	4	4	-24	-26	29	0	29	0	-33
32	5	1	23	27	25	0	30	0	32
34	5	2	-23	-27	-25	0	-30	0	30
36	5	3	24	29	0	0	26	0	33
38	5	4	-24	-29	26	0	-26	0	-33
40	6	1	23	30	28	0	0	0	32
42	6	2	-23	-30	27	0	30	0	30
43	6	2.5	-23	29	-27	0	-30	0	-30
44	6	3	-23	28	23	0	-30	0	32
46	6	4	-23	-28	-23	0	30	0	-32
47	6	4.5	-23	-28	24	0	-30	0	33
48	7	1	-23	27	25	0	30	0	34
50	7	2	-23	-27	-25	0	-30	0	32
52	7	3	0	28	26	0	-30	0	-32
54	7	4	0	-28	-26	0	28	0	31
56	8	1	0	27	25	29	29	0	32
57	8	1.5	0	-27	-25	-29	28	0	-32
58	8	2	0	-27	-25	-29	27	0	-32
59	8	2.5	0	-27	-25	-29	26	0	-32
60	8	3	0	-27	25	-29	25	0	0
62	8	4	0	-27	-25	-29	32	0	0
64	9	1	0	-27	23	30	-32	0	32
65	9	1.5	0	-27	-23	-30	31	0	-32
66	9	2	0	-27	-23	-30	30	0	-32
67	9	2.5	0	-27	-23	-30	29	0	-32
68	9	3	0	0	26	28	30	0	33
72	10	1	0	0	22	29	29	33	31
75	10	2.5	0	0	-22	-29	-29	-33	32
76	10	3	0	0	-22	31	-29	-33	33
77	10	3.5	0	0	-22	-31	-29	-33	29
78	10	4	0	0	-22	-31	-29	-33	36
80	11	1	0	0	25	32	-29	34	-36
81	11	1.5	0	0	-25	-32	-29	-34	35
82	11	2	0	0	-25	-32	-29	-34	34
83	11	2.5	0	0	-25	31	-29	-34	-34
84	11	3	0	0	0	30	0	32	-34
85	11	3.5	0	0	0	-30	0	-32	33
86	11	4	0	0	0	-30	0	-32	32
88	12	1	0	0	22	29	0	33	-32
90	12	2	0	0	-22	-29	0	-33	31
92	12	3	0	0	26	30	0	35	30
94	12	4	0	0	-26	-30	0	-35	33
95	12	4.5	0	0	-26	-30	0	-35	32
96	13	1	22	0	26	29	0	36	31
97	13	1.5	-22	0	-26	-29	0	-36	30
98	13	2	-22	0	26	-29	0	-36	31
99	13	2.5	-22	0	-26	-29	0	35	-31
100	13	3	25	0	25	-29	0	34	32
104	14	1	-25	0	22	-29	26	33	0
106	14	2	24	0	-22	-29	-26	-33	0
108	14	3	25	0	0	0	29	34	0
112	15	1	24	26	0	0	-29	33	0
114	15	2	-24	-26	0	0	28	-33	0
115	15	2.5	23	-26	0	0	-28	-33	0
116	15	3	22	29	22	0	31	-33	0
117	15	3.5	21	-29	-22	0	-31	-33	0
118	15	4	22	-29	-22	0	-31	-33	0
120	16	1	-22	-29	26	0	31	-33	0
122	16	2	19	28	-26	0	30	-33	0
124	16	3	20	29	-26	0	-30	0	0
125	16	3.5	-20	-29	-26	0	29	0	0
126	16	4	-20	-29	25	0	29	0	0
128	17	1	19	28	26	0	31	0	0
130	17	2	-19	-28	-26	0	30	0	30
131	17	2.5	-19	27	-26	0	-30	0	-30
132	17	3	-19	26	28	0	0	0	33
133	17	3.5	-19	25	-28	0	0	0	-33
134	17	4	-19	26	-28	0	30	0	-33
135	17	4.5	-19	-26	27	0	-30	0	-33
136	18	1	0	-26	28	0	28	0	-33
137	18	1.5	0	-26	29	0	-28	0	-33
138	18	2	0	23	30	0	27	0	32
140	18	3	0	24	-30	0	26	0	33
142	18	4	0	-24	29	0	-26	0	-33
143	18	4.5	0	-24	-29	0	27	0	-33
144	19	1	0	23	30	0	28	0	32
146	19	2	0	-23	-30	0	27	0	30
147	19	2.5	0	-23	29	0	-27	0	31
148	19	3	0	-23	28	0	30	0	32
149	19	3.5	0	-23	-28	0	-30	0	33
150	19	4	0	-23	27	0	-30	0	34
151	19	4.5	0	-23	-27	0	-30	0	32
152	20	1	0	0	26	28	0	0	35
154	20	2	0	0	-26	-28	26	0	-35
155	20	2.5	0	0	25	-28	-26	0	-35
156	20	3	0	0	24	31	-26	0	33
158	20	4	0	0	22	-31	29	0	-33
160	21	1	0	0	26	-31	-29	0	33
162	21	2	0	0	-26	30	28	0	-33
164	21	3	0	0	22	31	29	0	-33
166	21	4	0	0	22	-31	-29	0	-33
168	22	1	0	0	23	30	28	32	0
170	22	2	0	0	23	-30	27	-32	0
171	22	2.5	0	0	-23	29	-27	-32	0
172	22	3	0	0	26	28	26	35	30
173	22	3.5	0	0	-26	27	-26	-35	-30
174	22	4	0	0	-26	28	30	-35	-30
176	23	1	0	0	23	-28	-30	-35	32
177	23	1.5	0	0	-23	-28	29	-35	-32
178	23	2	0	0	-23	25	30	34	-32
180	23	3	0	0	0	26	28	35	-32
182	23	4	0	0	0	-26	-28	-35	31
184	24	1	0	0	0	25	29	34	32
186	24	2	0	0	0	-25	25	-34	-32
187	24	2.5	0	0	0	-25	-25	33	-32
188	24	3	0	0	21	-25	-25	32	30
189	24	3.5	0	0	-21	-25	-25	31	-30
190	24	4	0	0	-21	-25	28	32	-30
192	25	1	0	0	25	0	-28	-32	29
194	25	2	0	0	-25	0	27	29	-29
196	25	3	0	0	23	0	28	30	32
198	25	4	0	0	21	0	-28	-30	-32
199	25	4.5	0	0	-21	0	-28	-30	33
200	26	1	0	0	25	0	27	29	34
201	26	1.5	0	0	-25	0	-27	-29	35
202	26	2	0	0	-25	0	25	-29	36
203	26	2.5	0	0	-25	0	26	-29	-36
204	26	3	0	0	-25	0	27	-29	-36
205	26	3.5	0	0	-25	0	28	-29	35
206	26	4	0	0	-25	0	29	-29	34
207	26	4.5	0	0	-25	0	30	-29	-34
208	27	1	24	0	26	0	31	0	33
210	27	2	-24	0	-26	0	-31	0	35
211	27	2.5	24	0	27	0	-31	0	-35
212	27	3	24	0	28	0	31	0	-35
213	27	3.5	-24	0	-28	0	-31	0	34
214	27	4	24	0	29	0	-31	0	33
216	28	1	25	0	27	0	29	0	-33
218	28	2	-25	0	-27	0	-29	0	32
220	28	3	24	0	26	0	31	0	33
223	28	4.5	-24	0	-26	0	31	0	-33
224	29	1	-24	28	-26	0	31	0	-33
226	29	2	23	-28	-26	0	31	0	-33
227	29	2.5	22	28	-26	0	-31	0	-33
228	29	3	23	28	25	0	32	0	0
230	29	4	-23	28	-25	0	-32	0	0
231	29	4.5	-23	-28	25	0	-32	0	0
232	30	1	22	29	26	0	31	0	0
234	30	2	-22	-29	27	0	-31	0	0
235	30	2.5	23	-29	-27	0	-31	0	0
236	30	3	24	28	26	0	-31	0	35
237	30	3.5	25	-28	-26	0	-31	0	-35
238	30	4	26	-28	-26	0	30	0	-35
239	30	4.5	-26	-28	-26	0	29	0	35
240	31	1	19	-28	26	0	30	0	35
242	31	2	26	27	-26	0	-30	0	35
243	31	2.5	-26	26	-26	0	-30	0	-35
244	31	3	-26	27	0	0	29	0	36
246	31	4	25	-27	0	0	-29	0	-36
247	31	4.5	-25	-27	0	0	30	0	-36
248	32	1	26	26	0	0	31	0	35
250	32	2	-26	-26	26	0	30	0	-35
251	32	2.5	-26	27	-26	0	29	0	-35
252	32	3	0	28	-26	0	30	0	-35
253	32	3.5	0	29	-26	0	-30	0	-35
254	32	4	0	30	26	0	-30	0	34
255	32	4.5	0	-30	-26	0	-30	0	33
256	33	1	0	23	25	0	-30	0	34
258	33	2	0	30	23	0	-30	0	-34
260	33	3	0	-30	24	0	26	0	33
262	33	4	0	29	-24	0	33	0	-33
263	33	4.5	0	-29	-24	0	-33	0	34
264	34	1	0	30	23	30	-33	0	35
266	34	2	0	-30	-23	-30	32	0	34
267	34	2.5	0	-30	-23	30	-32	0	-34
268	34	3	0	0	26	30	33	0	35
270	34	4	0	0	-26	30	26	0	-35
271	34	4.5	0	0	-26	-30	-26	0	34
272	35	1	0	0	22	31	-26	0	33
274	35	2	0	0	-22	-31	29	0	-33
276	35	3	0	0	23	30	-29	0	32
277	35	3.5	0	0	-23	-30	28	0	-32
278	35	4	0	0	-23	-30	28	0	-32
279	35	4.5	0	0	24	-30	-28	0	-32
280	36	1	25	0	25	-30	27	34	-32
282	36	2	-25	0	-25	29	25	-34	-32
283	36	2.5	25	0	-25	28	-25	34	-32
284	36	3	25	0	0	29	-25	34	-32
286	36	4	25	0	0	-29	32	34	-32
288	37	1	26	0	0	28	-32	35	0
290	37	2	-26	0	0	-28	31	-35	0
291	37	2.5	-26	0	0	29	-31	-35	0
292	37	3	25	0	0	30	32	34	32
293	37	3.5	-25	0	0	31	-32	-34	-32
294	37	4	-25	0	0	32	-32	-34	-32
296	38	1	-25	29	0	25	0	-34	32
298	38	2	24	-29	0	32	0	33	-32
299	38	2.5	23	29	0	-32	0	32	-32
300	38	3	22	29	0	-32	0	33	36
302	38	4	-22	29	0	31	0	-33	-36
304	39	1	0	30	0	32	0	32	34
306	39	2	0	-30	0	-32	32	-32	35
307	39	2.5	0	-30	0	-32	-32	33	-35
308	39	3	0	29	0	0	-32	34	36
309	39	3.5	0	-29	0	0	-32	35	-36
310	39	4	0	-29	0	0	31	36	29
312	40	1	0	-29	0	0	31	29	31
314	40	2	0	28	0	0	30	36	32
315	40	2.5	0	27	0	0	29	-36	-32
316	40	3	0	26	26	0	30	-36	33
318	40	4	0	-26	-26	0	-30	35	-33
320	41	1	0	0	22	0	31	36	-33
322	41	2	0	0	29	0	-31	-36	-33
324	41	3	24	0	-29	0	31	0	-33
326	41	4	-24	0	28	0	-31	0	-33
327	41	4.5	24	0	-28	0	30	0	-33
327.5	41	4.75	-24	0	-28	0	29	0	-33
328	42	1	24	0	26	0	28	0	0
329	42	1.5	-24	0	27	0	-28	0	0
330	42	2	24	0	28	0	31	0	0
331	42	2.5	-24	0	26	0	-31	0	0
332	42	3	25	0	27	0	-31	0	32
334	42	4	-25	0	-27	0	30	0	-32
336	43	1	24	0	26	31	31	0	33
338	43	2	-24	0	-26	-31	-31	0	31
339	43	2.5	-24	0	-26	31	-31	0	32
340	43	3	-24	28	26	31	0	0	33
341	43	3.5	-24	-28	-26	-31	0	0	34
342	43	4	23	-28	-26	31	0	0	35
343	43	4.5	22	28	-26	-31	0	0	-35
344	44	1	23	28	25	32	0	0	-35
346	44	2	-23	28	23	-32	0	0	32
348	44	3	22	29	24	31	0	0	34
350	44	4	-22	-29	22	-31	0	0	33
352	45	1	0	28	24	-31	0	35	-33
354	45	2	0	-28	-24	30	0	-35	32
355	45	2.5	0	-28	25	29	0	35	31
356	45	3	0	-28	26	28	30	35	30
358	45	4	0	27	-26	-28	-30	35	33
359	45	4.5	0	26	-26	-28	-30	-35	-33
360	46	1	0	27	0	0	29	36	-33
362	46	2	0	-27	0	0	-29	-36	32
364	46	3	0	26	0	0	31	35	33
366	46	4	0	-26	26	0	30	-35	-33
370	47	2	0	0	27	0	29	34	-33
371	47	2.5	0	0	-27	0	-29	33	-33
372	47	3	0	0	28	0	30	32	30
374	47	4	0	0	21	0	-30	-32	32
376	48	1	21	0	23	0	-30	0	-32
377	48	1.5	-21	0	-23	0	-30	0	32
378	48	2	-21	0	-23	0	-30	0	32
379	48	2.5	-21	0	24	0	-30	0	-32
380	48	3	-21	0	25	30	28	0	30
382	48	4	21	0	23	-30	-28	0	32
383	48	4.5	-21	0	-23	30	-28	0	-32
384	49	1	21	0	25	30	28	0	-32
385	49	1.5	-21	0	-25	-30	-28	0	31
386	49	2	21	0	26	30	-28	0	30
388	49	3	22	0	24	31	26	0	-30
390	49	4	-22	0	-24	-31	-26	0	29
392	50	1	21	25	25	30	28	0	30
394	50	2	-21	-25	23	-30	-28	0	-30
395	50	2.5	22	-25	-23	-30	-28	0	-30
396	50	3	23	-25	-23	-30	27	34	-30
398	50	4	-23	25	23	-30	-27	-34	-30
399	50	4.5	-23	-25	-23	-30	-27	34	-30
400	51	1	-23	25	23	-30	-27	34	-30
402	51	2	-23	25	23	-30	-27	34	-30
404	51	3	19	26	23	-30	26	35	-30
408	52	1	23	25	23	30	27	34	30
*-	*-	*-	*-	*-	*-	*-	*-	*-	*-
