**absq	**bar	**beat	**b7	**b7
0	1	1	18	0
1	1	2	-18	34
2	1	3	-18	34
3.5	1	4.5	-18	36
4	2	1	22	36
6	2	3	-22	30
8	3	1	18	-30
10	3	3	19	-30
11	3	4	-19	30
11.5	3	4.5	-19	29
12	4	1	22	29
16	5	1	25	0
17	5	2	-25	34
18	5	3	-25	34
20	6	1	25	-34
21	6	2	-25	32
21.5	6	2.5	-25	32
22	6	3	-25	32
23	6	4	-25	32
24	7	1	22	0
24.5	7	1.5	-22	33
25	7	2	-22	31
25.5	7	2.5	-22	30
26	7	3	-22	30
26.5	7	3.5	-22	29
27	7	4	-22	29
28	8	1	23	-29
29	8	2	-23	28
30	8	3	22	29
32	9	1	-22	29
34	9	3	19	0
35	9	4	-19	35
36	10	1	21	32
39	10	4	-21	32
40	11	1	17	31
44	12	1	17	0
46	12	3	-17	33
48	13	1	21	0
50	13	3	-21	37
53	14	2	-21	33
53.5	14	2.5	-21	33
54	14	3	22	33
55.5	14	4.5	-22	32
56	15	1	22	33
58	15	3	-22	33
59	15	4	25	0
59.5	15	4.5	-25	34
60	16	1	24	35
61.5	16	2.5	-24	34
62	16	3	27	36
64	17	1	24	-36
64.5	17	1.5	-24	33
65	17	2	-24	33
65.5	17	2.5	-24	34
66	17	3	23	35
66.75	17	3.75	-23	34
67	17	4	-23	32
68	18	1	22	-32
69	18	2	-22	31
70	18	3	18	32
72	19	1	21	0
73	19	2	-21	30
74	19	3	-21	30
75	19	4	-21	30
76	20	1	21	30
77	20	2	-21	30
78	20	3	-21	30
78.5	20	3.5	-21	30
79	20	4	-21	29
79.5	20	4.5	-21	28
80	21	1	19	31
81	21	2	-19	31
82.5	21	3.5	-19	31
83	21	4	-19	30
83.5	21	4.5	-19	29
84	22	1	20	29
85.5	22	2.5	-20	32
86	22	3	20	32
86.5	22	3.5	-20	31
87	22	4	-20	31
87.5	22	4.5	-20	30
88	23	1	21	30
90	23	3	18	-30
92	24	1	19	-30
94	24	3	-19	30
96	25	1	21	0
96.5	25	1.5	-21	35
97	25	2	-21	34
97.5	25	2.5	-21	32
98	25	3	-21	33
98.75	25	3.75	-21	34
99	25	4	-21	34
99.5	25	4.5	-21	34
100	26	1	22	34
101.5	26	2.5	-22	33
101.75	26	2.75	-22	32
102	26	3	23	35
104	27	1	26	-35
105	27	2	-26	34
106	27	3	-26	32
107.5	27	4.5	-26	31
108	28	1	25	32
112	29	1	21	0
113	29	2	-21	37
114	29	3	-21	37
116	30	1	24	-37
117	30	2	-24	33
118	30	3	-24	33
119	30	4	-24	33
120	31	1	24	33
122	31	3	22	0
122.5	31	3.5	-22	36
123	31	4	-22	38
124	32	1	25	-38
124.5	32	1.5	-25	34
125	32	2	-25	35
127	32	4	-25	34
128	33	1	21	35
132	34	1	22	0
132.5	34	1.5	-22	34
133	34	2	-22	34
134	34	3	21	-34
135	34	4	-21	37
136	35	1	22	31
137	35	2	-22	32
139	35	4	-22	31
140	36	1	18	32
*-	*-	*-	*-	*-
