**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	25	29	0	0	0	0	36	32
4	1	2	0	0	25	0	-25	-29	0	0	0	0	34	-32
6	1	2.5	0	0	-25	0	-25	27	0	0	0	0	32	-32
8	2	1	0	0	-25	32	25	-27	0	0	0	0	32	32
10	2	1.5	0	0	23	-32	-25	25	0	0	0	0	-32	-32
11	2	1.75	0	0	-23	-32	-25	-25	0	0	0	0	33	-32
12	2	2	0	0	-23	-32	-25	25	0	32	0	0	34	32
14	2	2.5	0	0	21	30	-25	-25	0	-32	0	0	35	-32
16	3	1	0	0	21	-30	23	28	0	-32	0	0	32	32
18	3	1.5	0	0	-21	28	-23	-28	0	30	0	0	35	-32
19	3	1.75	0	0	20	-28	-23	-28	0	-30	0	0	-35	-32
19.5	3	1.875	0	0	19	-28	-23	-28	0	-30	0	0	-35	-32
20	3	2	0	0	21	28	-23	32	0	-30	0	0	-35	-32
22	3	2.5	0	0	-21	-28	-23	-32	0	28	0	0	34	-32
23	3	2.75	0	0	22	-28	-23	-32	0	-28	0	0	33	-32
24	4	1	21	25	23	0	25	-32	28	28	32	0	32	32
26	4	1.5	-21	-25	-23	0	-25	30	-28	-28	-32	0	35	-32
27	4	1.75	-21	-25	21	0	-25	-30	-28	-28	-32	0	-35	-32
28	4	2	-21	-25	23	25	-25	-30	-28	0	30	0	-35	-32
29	4	2.25	-21	-25	-23	-25	-25	-30	-28	0	-30	0	36	-32
30	4	2.5	-21	23	-23	-25	-25	28	-28	0	28	0	37	35
31	4	2.75	-21	-23	24	-25	-25	-28	-28	0	-28	0	-37	-35
32	5	1	21	-23	25	-25	-25	28	28	25	30	0	35	-35
33	5	1.25	-21	-23	-25	-25	-25	-28	-28	-25	-30	0	-35	36
34	5	1.5	-21	21	-25	23	-25	-28	-28	-25	-30	0	-35	37
35	5	1.75	-21	-21	-25	-23	-25	-28	-28	-25	31	0	34	-37
35.5	5	1.875	-21	-21	-25	-23	-25	-28	-28	-25	-31	0	33	-37
36	5	2	-21	21	21	-23	-25	30	28	-25	32	0	32	35
38	5	2.5	-21	-21	-21	21	-25	-30	-28	23	-32	0	35	-35
39	5	2.75	-21	-21	-21	-21	-25	29	-28	-23	-32	0	-35	-35
40	6	1	19	-21	23	21	26	28	28	-23	30	0	-35	-35
41	6	1.25	-19	-21	-23	-21	-26	27	-28	-23	-30	0	-35	-35
42	6	1.5	-19	20	-23	-21	-26	28	-28	21	-30	0	33	35
43	6	1.75	-19	19	-23	-21	-26	-28	-28	-21	-30	0	-33	-35
44	6	2	-19	21	-23	0	-26	-28	-28	21	26	0	-33	35
45	6	2.25	-19	-21	-23	0	-26	26	-28	-21	-26	0	-33	-35
46	6	2.5	-19	-21	-23	0	-26	28	-28	-21	-26	0	32	-35
47	6	2.75	-19	22	-23	0	-26	-28	-28	-21	27	0	31	-35
48	7	1	21	23	0	0	25	-28	28	0	28	28	30	32
50	7	1.5	-21	21	0	23	-25	27	-28	28	-28	-28	-30	-32
51	7	1.75	-21	-21	0	-23	-25	26	-28	-28	-28	-28	-30	-32
52	7	2	-21	23	0	-23	-25	25	-28	-28	-28	-28	32	-32
53	7	2.25	-21	-23	0	24	-25	-25	-28	25	-28	-28	-32	-32
54	7	2.5	-21	-23	21	25	-25	-25	30	28	25	-28	-32	30
55	7	2.75	-21	24	-21	-25	-25	-25	-30	-28	-25	-28	-32	-30
56	8	1	-21	25	23	-25	25	21	-30	-28	-25	28	-32	-30
57	8	1.25	-21	-25	-23	-25	-25	-21	31	-28	-25	-28	-32	-30
58	8	1.5	-21	-25	-23	26	-25	-21	32	27	28	-28	-32	28
59	8	1.75	-21	-25	24	27	-25	22	-32	26	-28	-28	-32	-28
60	8	2	-21	21	25	28	-25	23	-32	25	-28	-28	-32	28
61	8	2.25	-21	-21	-25	-28	-25	-23	-32	-25	29	-28	-32	-28
62	8	2.5	-21	-21	-25	-28	-25	-23	30	-25	30	-28	-32	35
64	9	1	22	0	-25	24	0	0	33	0	31	26	36	0
66	9	1.5	-22	0	24	-24	0	0	-33	29	-31	-26	-36	33
67	9	1.75	-22	0	23	25	0	0	-33	-29	-31	-26	35	-33
68	9	2	-22	0	24	26	0	0	29	-29	-31	-26	33	36
69	9	2.25	-22	0	-24	-26	0	0	-29	28	-31	-26	-33	-36
70	9	2.5	-22	0	-24	-26	0	0	-29	29	-31	-26	-33	-36
72	10	1	21	0	25	23	0	21	32	25	30	28	0	37
73.3333	10	1.33333	-21	0	-25	24	0	-21	-32	-25	-30	-28	0	-37
74	10	1.5	-21	21	-25	-24	0	23	-32	28	-30	-28	35	-37
74.6667	10	1.66667	-21	-21	-25	25	0	-23	-32	-28	-30	-28	-35	-37
76	10	2	-21	23	0	21	0	-23	-32	-28	0	-28	-35	-37
77	10	2.25	-21	-23	0	-21	0	24	-32	29	0	-28	-35	-37
78	10	2.5	-21	-23	21	25	0	25	30	30	23	-28	34	35
79	10	2.75	-21	24	-21	-25	0	-25	-30	-30	-23	-28	33	-35
80	11	1	21	25	23	-25	0	21	-30	28	-23	-28	32	-35
81	11	1.25	-21	-25	-23	-25	0	-21	-30	-28	24	-28	-32	-35
82	11	1.5	-21	-25	-23	23	0	23	28	32	25	-28	35	34
83	11	1.75	-21	-25	24	-23	0	-23	-28	-32	-25	-28	-35	33
84	11	2	-21	21	25	-23	0	-23	28	-32	-25	-28	-35	32
