**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	22	0	29
3	1	1.75	0	0	0	0	23	0	-29
4	1	2	0	0	0	0	24	0	-29
6	1	2.5	0	0	0	0	25	0	-29
8	1	3	0	0	0	0	22	0	-29
10	1	3.5	0	0	0	0	25	0	-29
12	2	1	0	0	0	0	-25	0	32
13	2	1.25	0	0	0	0	26	0	-32
14	2	1.5	0	0	0	0	27	0	-32
16	2	2	0	0	0	0	28	0	-32
18	2	2.5	0	0	0	0	25	0	-32
20	2	3	0	0	0	0	-25	0	32
21	2	3.25	0	0	0	0	26	0	-32
22	2	3.5	0	0	0	0	27	0	-32
23	2	3.75	0	0	0	0	28	0	-32
24	3	1	0	0	0	0	29	0	31
26	3	1.5	0	0	0	0	26	0	-31
28	3	2	0	0	0	0	-26	0	30
30	3	2.5	0	0	0	0	27	0	29
32	3	3	0	0	0	0	28	0	30
35	3	3.75	0	0	0	0	29	0	-30
35.5	3	3.875	0	0	0	0	30	0	-30
36	4	1	0	0	0	0	31	0	29
39	4	1.75	0	0	0	0	30	0	-29
40	4	2	0	0	0	0	29	0	33
42	4	2.5	0	0	0	0	28	0	-33
44	4	3	0	0	0	0	27	0	32
46	4	3.5	0	0	0	0	26	0	33
48	5	1	0	0	0	0	29	0	-33
50	5	1.5	0	0	0	0	-29	0	31
51	5	1.75	0	0	0	0	28	0	-31
52	5	2	0	0	0	0	27	0	32
54	5	2.5	0	0	0	0	26	0	33
56	5	3	0	0	0	0	25	0	29
58	5	3.5	0	0	0	0	24	0	33
60	6	1	0	0	0	0	27	0	32
63	6	1.75	0	0	0	0	26	0	31
64	6	2	0	0	0	0	25	0	30
65	6	2.25	0	0	0	0	-25	0	29
66	6	2.5	0	0	0	0	24	0	29
68	6	3	0	0	0	0	23	0	-29
70	6	3.5	0	0	0	0	-23	0	28
72	7	1	0	22	24	0	22	0	29
76	7	2	0	-22	-24	0	26	0	-29
80	7	3	0	20	24	0	27	0	-29
83	7	3.75	0	-20	-24	0	26	0	-29
84	8	1	0	-20	27	0	24	0	0
86	8	1.5	0	18	-27	0	25	0	0
88	8	2	0	18	-27	0	-25	0	0
89	8	2.25	0	-18	-27	0	24	0	0
90	8	2.5	0	-18	-27	0	25	0	0
92	8	3	0	-18	-27	0	22	0	29
94	8	3.5	0	-18	-27	0	29	0	-29
95	8	3.75	0	-18	-27	0	-29	0	30
96	9	1	0	22	27	0	-29	0	31
97	9	1.25	0	-22	-27	0	28	0	-31
98	9	1.5	0	-22	-27	0	29	0	29
100	9	2	0	0	26	0	28	0	30
101	9	2.25	0	0	-26	0	27	0	-30
102	9	2.5	0	0	-26	0	26	0	31
103	9	2.75	0	0	-26	0	25	0	-31
104	9	3	0	22	-26	0	24	0	-31
105	9	3.25	0	-22	-26	0	-24	0	30
106	9	3.5	0	-22	-26	0	31	0	29
107	9	3.75	0	-22	-26	0	-31	0	28
108	10	1	0	23	25	0	30	0	27
110	10	1.5	0	25	-25	0	29	0	-27
113	10	2.25	0	24	-25	0	28	0	0
113.5	10	2.375	0	-24	-25	0	29	0	0
114	10	2.5	0	23	-25	0	28	0	0
116	10	3	0	22	24	0	-28	0	31
117	10	3.25	0	-22	-24	0	27	0	-31
117.5	10	3.375	0	-22	-24	0	28	0	-31
118	10	3.5	0	-22	-24	0	27	0	-31
119	10	3.75	0	-22	-24	0	28	0	-31
119.5	10	3.875	0	-22	-24	0	27	0	-31
120	11	1	0	21	25	0	28	0	30
122	11	1.5	0	-21	-25	0	-28	0	28
124	11	2	0	0	-25	0	27	0	29
126	11	2.5	0	0	-25	0	-27	0	30
128	11	3	0	25	-25	0	0	0	-30
129	11	3.25	0	-25	-25	0	0	0	29
130	11	3.5	0	-25	-25	0	27	0	27
132	12	1	0	26	24	0	28	0	26
133	12	1.25	0	-26	-24	0	27	0	-26
134	12	1.5	0	28	-24	0	26	0	-26
135	12	1.75	0	-28	-24	0	25	0	-26
136	12	2	0	-28	-24	0	24	0	0
137	12	2.25	0	27	-24	0	-24	0	0
138	12	2.5	0	26	-24	0	31	0	0
140	12	3	0	25	0	0	-31	0	32
141	12	3.25	0	-25	0	0	29	0	-32
142	12	3.5	0	-25	0	0	30	0	-32
144	13	1	0	24	28	0	26	0	33
146	13	1.5	0	-24	-28	0	31	0	-33
148	13	2	0	0	28	0	-31	0	32
149	13	2.25	0	0	-28	0	30	0	-32
150	13	2.5	0	21	-28	0	30	0	30
152	13	3	0	22	24	0	29	0	31
153	13	3.25	0	-22	-24	0	29	0	-31
155	13	3.75	0	23	-24	0	28	0	30
155.5	13	3.875	0	-23	-24	0	27	0	29
156	14	1	0	24	0	0	26	0	28
158	14	1.5	0	-24	0	0	-26	0	31
160	14	2	0	0	28	0	-26	0	-31
161	14	2.25	0	0	-28	0	-26	0	30
162	14	2.5	0	24	-28	0	-26	0	33
164	14	3	0	23	-28	0	0	0	32
166	14	3.5	0	24	-28	0	26	0	35
168	15	1	0	21	28	0	25	0	-35
169	15	1.25	0	-21	-28	0	-25	0	34
170	15	1.5	0	24	-28	0	24	0	33
172	15	2	0	-24	28	0	28	0	-33
173	15	2.25	0	-24	-28	0	-28	0	31
174	15	2.5	0	23	-28	0	-28	0	32
