**absq	**bar	**beat	**b7
0	1	1	25
4	1	3	27
6	1	4	23
8	2	1	25
10	2	2	20
12	2	3	22
16	3	1	22
18	3	2	0
19	3	2.5	25
20	3	3	26
20.5	3	3.25	25
21	3	3.5	24
21.5	3	3.75	23
22	3	4	22
23	3	4.5	22
24	4	1	23
25	4	1.5	22
25.5	4	1.75	21
26	4	2	25
28	4	3	21
32	5	1	0
34	5	2	27
35	5	2.5	27
36	5	3	27
39	5	4.5	26
39.5	5	4.75	25
40	6	1	26
42	6	2	26
43	6	2.5	22
44	6	3	24
45.5	6	3.75	21
46	6	4	25
47	6	4.5	22
48	7	1	23
50	7	2	19
52	7	3	0
53	7	3.5	19
54	7	4	21
55.5	7	4.75	18
56	8	1	22
57	8	1.5	20
58	8	2	19
60	8	3	22
64	9	1	0
68	9	3	0
70	9	4	25
72	10	1	23
73	10	1.5	24
75	10	2.5	23
75.5	10	2.75	23
76	10	3	22
80	11	1	21
82	11	2	0
84	11	3	0
84.5	11	3.25	26
85	11	3.5	26
85.5	11	3.75	26
86	11	4	25
87	11	4.5	25
88	12	1	24
88.5	12	1.25	23
89	12	1.5	24
89.5	12	1.75	25
90	12	2	26
92	12	3	22
94	12	4	0
94.5	12	4.25	19
95	12	4.5	21
95.5	12	4.75	22
96	13	1	23
98	13	2	22
98.5	13	2.25	22
99	13	2.5	24
99.5	13	2.75	25
100	13	3	26
102	13	4	22
104	14	1	0
105	14	1.5	21
106	14	2	23
107	14	2.5	20
109	14	3.5	22
109.5	14	3.75	19
110	14	4	21
112	15	1	17
114	15	2	0
115	15	2.5	21
116	15	3	23
117	15	3.5	20
119	15	4.5	22
119.5	15	4.75	19
120	16	1	21
122	16	2	24
124	16	3	0
126	16	4	28
129	17	1.5	26
130	17	2	25
133	17	3.5	25
134	17	4	24
136	18	1	25
138	18	2	23
140	18	3	21
142	18	4	24
144	19	1	26
148	19	3	22
150	19	4	24
153	20	1.5	22
154	20	2	21
157	20	3.5	21
158	20	4	20
160	21	1	21
162	21	2	19
164	21	3	17
166	21	4	20
168	22	1	22
172	22	3	18
*-	*-	*-	*-
