**absq	**bar	**beat	**b7
10	2	1.5	26
12	2	2	26
13	2	2.25	26
14	2	2.5	28
16	3	1	29
18	3	1.5	30
22	3	2.5	30
24	4	1	0
26	4	1.5	26
28	4	2	30
31	4	2.75	29
32	5	1	28
33	5	1.25	26
34	5	1.5	27
36	5	2	23
38	5	2.5	0
40	6	1	27
42	6	1.5	30
45	6	2.25	29
46	6	2.5	29
47.5	6	2.875	28
48	7	1	27
49	7	1.25	27
50	7	1.5	26
53	7	2.25	25
54	7	2.5	26
56	8	1	0
60	8	2	26
62	8	2.5	26
63	8	2.75	26
64	9	1	30
67	9	1.75	31
68	9	2	30
72	10	1	29
74	10	1.5	0
76	10	2	0
78	10	2.5	0
79	10	2.75	27
80	11	1	30
83	11	1.75	30
84	11	2	28
85	11	2.25	29
86	11	2.5	30
88	12	1	29
90	12	1.5	0
92	12	2	0
94	12	2.5	30
96	13	1	28
97	13	1.25	31
98.5	13	1.625	31
99	13	1.75	30
100	13	2	30
102	13	2.5	0
104	14	1	0
108	14	2	30
112	15	1	28
116	15	2	0
117	15	2.25	30
119	15	2.75	29
121	16	1.25	28
122	16	1.5	27
123	16	1.75	28
124	16	2	27
125	16	2.25	26
126	16	2.5	25
127	16	2.75	29
128	17	1	27
129	17	1.25	30
130	17	1.5	30
132	17	2	30
133	17	2.25	32
134	17	2.5	32
135	17	2.75	31
136	18	1	30
140	18	2	30
144	19	1	0
145	19	1.25	30
146	19	1.5	28
147.5	19	1.875	29
148	19	2	30
149	19	2.25	26
150	19	2.5	31
151	19	2.75	29
152	20	1	32
154	20	1.5	32
156	20	2	29
158	20	2.5	30
160	21	1	29
161	21	1.25	30
163	21	1.75	31
164	21	2	32
166	21	2.5	32
168	22	1	30
174	22	2.5	30
176	23	1	29
180	23	2	29
182	23	2.5	28
184	24	1	29
188	24	2	30
190	24	2.5	30
192	25	1	30
193	25	1.25	28
194	25	1.5	27
196	25	2	28
198	25	2.5	29
200	26	1	29
206	26	2.5	29
208	27	1	28
210	27	1.5	29
212	27	2	32
218	28	1.5	30
220	28	2	29
224	29	1	29
226	29	1.5	28
228	29	2	29
232	30	1	30
234	30	1.5	30
236	30	2	30
237	30	2.25	28
238	30	2.5	27
240	31	1	28
242	31	1.5	29
244	31	2	29
250	32	1.5	29
252	32	2	28
254	32	2.5	29
256	33	1	29
258	33	1.5	29
259	33	1.75	29
260	33	2	30
263	33	2.75	30
264	34	1	31
268	34	2	30
274	35	1.5	29
277	35	2.25	29
278	35	2.5	28
280	36	1	29
281	36	1.25	29
282	36	1.5	29
283	36	1.75	29
284	36	2	30
286	36	2.5	30
287	36	2.75	31
288.5	37	1.125	30
289	37	1.25	30
289.5	37	1.375	29
289.75	37	1.4375	28
290	37	1.5	29
292	37	2	30
294	37	2.5	32
297	38	1.25	32
298	38	1.5	32
300	38	2	32
302	38	2.5	30
304	39	1	30
307	39	1.75	30
308	39	2	29
310	39	2.5	28
312	40	1	27
316	40	2	28
318	40	2.5	30
320	41	1	31
321	41	1.25	30
322	41	1.5	26
322.5	41	1.625	27
323	41	1.75	28
323.5	41	1.875	29
324	41	2	30
325.5	41	2.375	29
326	41	2.5	28
327	41	2.75	26
328	42	1	0
330	42	1.5	27
332	42	2	26
333	42	2.25	26
334	42	2.5	27
336	43	1	28
338	43	1.5	0
339	43	1.75	27
340	43	2	28
341	43	2.25	29
342	43	2.5	28
344	44	1	29
346	44	1.5	0
347	44	1.75	30
348	44	2	31
350	44	2.5	30
352	45	1	0
353	45	1.25	31
354	45	1.5	30
356	45	2	30
357	45	2.25	30
358.5	45	2.625	29
359	45	2.75	27
360	46	1	28
*-	*-	*-	*-
