**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	28	0	0	0	0	0
4	1	3	0	0	-28	35	0	0	0	0
8	2	1	0	0	29	34	0	0	0	0
12	2	3	0	0	31	33	0	0	0	0
16	3	1	0	0	30	32	0	0	0	0
18	3	2	0	0	29	33	0	0	0	0
20	3	3	0	0	28	-33	0	0	0	0
21	3	3.5	0	0	-28	32	0	0	0	0
22	3	4	0	0	29	31	0	0	0	0
23	3	4.5	0	0	-29	30	0	0	0	0
24	4	1	0	0	-29	31	0	0	0	0
25	4	1.5	0	0	28	-31	0	0	0	0
26	4	2	0	0	27	32	0	0	0	0
27	4	2.5	0	0	26	-32	0	0	0	0
28	4	3	0	0	27	-32	0	0	0	0
29	4	3.5	0	0	-27	31	0	0	0	0
30	4	4	0	0	26	31	0	0	0	0
32	5	1	21	0	25	-31	0	0	0	0
34	5	2	-21	0	-25	30	0	0	0	0
35	5	2.5	-21	0	-25	29	0	0	0	0
36	5	3	-21	28	-25	30	0	0	0	0
40	6	1	22	27	0	31	0	0	0	0
42	6	2	-22	-27	29	-31	0	0	0	0
44	6	3	24	26	28	-31	0	0	0	0
47	6	4.5	-24	-26	29	-31	0	0	0	0
48	7	1	23	25	30	0	0	0	0	0
50	7	2	22	26	31	0	0	0	0	0
52	7	3	21	-26	30	0	0	0	0	0
53	7	3.5	-21	25	-30	0	0	0	0	0
54	7	4	22	24	26	0	0	0	0	0
55	7	4.5	-22	23	-26	0	0	0	0	0
56	8	1	-22	24	29	0	0	0	0	0
57	8	1.5	21	-24	-29	0	0	0	0	0
58	8	2	20	25	-29	0	0	0	0	0
59	8	2.5	19	-25	-29	0	0	0	0	0
60	8	3	20	-25	-29	0	0	0	0	0
61	8	3.5	-20	24	-29	0	0	0	0	0
62	8	4	19	24	28	0	0	0	0	0
64	9	1	18	-24	27	32	0	0	0	0
66	9	2	-18	23	-27	-32	0	0	0	0
67	9	2.5	-18	22	-27	-32	0	0	0	0
68	9	3	21	23	28	-32	0	0	0	0
72	10	1	17	24	0	33	0	0	0	0
74	10	2	-17	-24	31	-33	0	0	0	0
76	10	3	0	0	-31	35	0	0	0	0
78	10	4	0	0	30	-35	0	0	0	0
80	11	1	0	0	29	34	0	0	0	0
82	11	2	24	0	28	33	0	0	0	0
84	11	3	23	0	-28	32	0	0	0	0
86	11	4	22	0	31	33	0	0	0	0
88	12	1	21	0	30	-33	0	0	0	0
89	12	1.5	-21	0	-30	32	0	0	0	0
90	12	2	22	0	29	31	0	0	0	0
91	12	2.5	-22	0	-29	30	0	0	0	0
