**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	0	0	0	32
4	1	3	0	0	0	0	25	29	0	-32
8	2	1	0	0	0	0	-25	-29	32	34
12	2	3	0	0	0	0	28	30	-32	35
16	3	1	0	0	0	0	27	31	34	36
19	3	2.5	0	0	0	0	26	-31	-34	35
20	3	3	0	0	0	0	25	32	34	34
21	3	3.5	0	0	0	0	26	-32	-34	35
22	3	4	0	0	0	0	27	-32	-34	36
23	3	4.5	0	0	0	0	28	-32	-34	37
24	4	1	0	0	0	0	29	31	33	38
26	4	2	0	0	0	0	-29	29	31	-38
27	4	2.5	0	0	0	0	-29	30	32	-38
28	4	3	0	0	0	0	-29	31	33	-38
29	4	3.5	0	0	0	0	-29	32	34	-38
30	4	4	0	0	0	0	26	33	35	37
32	5	1	0	0	0	0	27	-33	34	36
33	5	1.5	0	0	0	0	-27	32	-34	-36
34	5	2	0	0	0	0	25	32	-34	-36
35	5	2.5	0	0	0	0	-25	-32	33	-36
35.5	5	2.75	0	0	0	0	-25	-32	32	-36
36	5	3	0	0	0	0	29	-32	33	-36
38	5	4	0	0	0	0	-29	31	-33	36
40	6	1	25	0	34	0	25	32	32	36
42	6	2	-25	0	-34	0	27	25	-32	-36
44	6	3	-25	29	-34	0	-27	27	29	-36
45	6	3.5	-25	-29	-34	0	26	-27	-29	-36
46	6	4	25	-29	34	0	25	-27	-29	-36
47	6	4.5	-25	-29	-34	0	-25	28	30	-36
48	7	1	24	-29	33	0	22	29	31	-36
49	7	1.5	-24	-29	-33	0	-22	-29	32	-36
50	7	2	22	29	31	0	-22	-29	33	-36
52	7	3	23	28	32	39	0	0	0	0
54	7	4	-23	27	-32	-39	0	0	0	0
56	8	1	-23	28	32	-39	0	0	0	0
58	8	2	23	28	-32	39	0	0	0	0
60	8	3	22	29	34	38	0	0	0	0
61	8	3.5	-22	30	-34	-38	0	0	0	0
62	8	4	29	31	33	36	0	0	0	0
63	8	4.5	-29	32	32	-36	0	0	0	0
64	9	1	-29	33	31	38	0	0	0	0
65	9	1.5	-29	-33	32	-38	0	0	0	0
66	9	2	29	31	33	-38	0	0	0	0
67	9	2.5	-29	-31	34	-38	0	0	0	0
68	9	3	28	32	35	37	0	0	0	0
70	9	4	26	28	-35	38	0	0	0	0
72	10	1	27	29	31	-38	0	0	0	0
73	10	1.5	-27	-29	-31	37	0	0	0	0
74	10	2	27	-29	32	36	0	0	0	0
76	10	3	26	30	33	-36	0	0	0	0
78	10	4	-26	-30	30	35	0	33	0	0
80	11	1	22	29	31	36	29	-33	0	0
82	11	2	-22	33	29	-36	-29	33	0	0
83	11	2.5	-22	-33	30	-36	-29	-33	0	0
84	11	3	-22	-33	31	33	-29	31	33	0
85	11	3.5	-22	32	32	-33	-29	-31	-33	0
86	11	4	-22	31	33	-33	29	29	-33	0
87	11	4.5	-22	-31	-33	34	-29	-29	-33	0
88	12	1	26	30	-33	35	28	30	-33	0
90	12	2	22	29	31	36	26	31	33	0
92	12	3	25	-29	32	-36	27	29	32	36
94	12	4	-25	25	-32	34	-27	-29	29	-36
96	13	1	0	0	0	0	-27	0	31	-36
98	13	2	0	0	0	0	27	29	32	36
100	13	3	0	0	0	0	26	30	33	35
102	13	4	0	0	0	0	-26	31	-33	33
104	14	1	0	0	0	0	25	32	29	34
106	14	2	0	0	0	0	-25	-32	34	-34
107	14	2.5	0	0	0	0	26	31	-34	35
107.5	14	2.75	0	0	0	0	-26	30	-34	-35
108	14	3	0	0	0	0	27	29	-34	36
109	14	3.5	0	0	0	0	28	-29	-34	37
110	14	4	0	0	0	0	29	-29	33	38
111	14	4.5	0	0	0	0	-29	30	32	-38
112	15	1	0	0	0	0	-29	31	33	-38
113	15	1.5	0	0	0	0	-29	-31	-33	37
114	15	2	0	0	0	0	25	32	34	36
116	15	3	0	0	0	0	26	30	33	-36
118	15	4	0	0	0	0	-26	-30	-33	35
120	16	1	25	29	34	39	25	32	29	36
124	16	3	22	-29	33	38	0	0	0	0
126	16	4	22	-29	33	38	0	0	0	0
128	17	1	25	27	29	39	0	0	0	0
130	17	2	-25	27	-29	-39	0	0	0	0
131	17	2.5	-25	-27	-29	38	0	0	0	0
132	17	3	21	28	32	37	0	0	0	0
133	17	3.5	-21	-28	-32	36	0	0	0	0
134	17	4	28	-28	-32	37	0	0	0	0
136	18	1	27	25	32	36	0	0	0	0
138	18	2	27	32	-32	-36	0	0	0	0
139	18	2.5	-27	-32	31	-36	0	0	0	0
140	18	3	28	-32	30	32	0	0	0	0
141	18	3.5	-28	31	29	-32	0	0	0	0
142	18	4	-28	30	28	35	0	0	0	0
143	18	4.5	27	29	-28	-35	0	0	0	0
144	19	1	26	28	30	-35	0	0	0	0
145	19	1.5	25	-28	-30	34	0	0	0	0
146	19	2	24	-28	31	33	0	0	0	0
147	19	2.5	23	-28	-31	32	0	0	0	0
148	19	3	22	29	-31	31	29	33	31	36
149	19	3.5	-22	-29	32	-31	-29	-33	-31	-36
150	19	4	-22	-29	33	38	-29	-33	-31	-36
152	20	1	26	30	-33	37	26	33	33	35
154	20	2	-26	-30	26	-37	26	30	-33	35
156	20	3	0	0	0	0	29	31	-33	36
158	20	4	0	29	0	0	-29	-31	33	-36
159	20	4.5	0	-29	0	0	-29	-31	-33	35
160	21	1	25	-29	29	39	25	32	32	34
161	21	1.5	-25	28	-29	-39	26	-32	-32	33
162	21	2	-25	27	-29	-39	27	-32	29	32
163	21	2.5	-25	-27	-29	-39	25	-32	-29	-32
164	21	3	22	26	-29	38	29	0	-29	33
166	21	4	22	-26	29	38	-29	29	33	-33
167	21	4.5	-22	-26	-29	-38	28	-29	-33	-33
168	22	1	25	25	29	39	27	-29	0	34
169	22	1.5	-25	-25	-29	-39	-27	29	0	-34
170	22	2	-25	-25	-29	-39	25	27	29	-34
171	22	2.5	-25	-25	-29	38	-25	-27	-29	-34
