**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	24	0	0	31
6	1	4	0	0	0	-24	0	0	30
7	1	4.5	0	0	0	-24	0	0	29
8	2	1	0	0	0	-24	0	0	31
11	2	2.5	0	0	0	-24	0	0	32
12	2	3	0	0	0	-24	0	0	33
14	2	4	0	0	0	-24	0	0	29
16	3	1	0	0	0	25	27	0	-29
18	3	2	0	0	0	-25	-27	0	32
22	3	4	0	0	0	-25	26	0	31
23	3	4.5	0	0	0	-25	25	0	30
24	4	1	0	0	0	-25	27	0	32
27	4	2.5	0	0	0	-25	28	0	33
28	4	3	0	0	0	-25	29	0	34
30	4	4	0	0	0	-25	25	0	30
32	5	1	24	0	0	26	0	0	0
34	5	2	-24	0	0	-26	28	0	33
36	5	3	-24	0	0	-26	29	0	-33
38	5	4	23	0	0	-26	31	0	32
39	5	4.5	22	0	0	-26	-31	0	31
40	6	1	24	0	0	26	-31	0	33
42	6	2	-24	0	0	-26	30	0	-33
43	6	2.5	25	0	0	-26	29	0	34
44	6	3	26	0	0	26	28	0	35
46	6	4	22	0	0	-26	29	0	31
48	7	1	-22	0	0	-26	-29	0	33
50	7	2	24	0	0	25	28	0	-33
51	7	2.5	-24	0	0	24	27	0	-33
52	7	3	-24	0	0	26	26	0	33
54	7	4	23	0	0	-26	-26	0	-33
55	7	4.5	22	0	0	27	-26	0	-33
56	8	1	24	0	0	28	0	0	-33
58	8	2	-24	0	0	24	29	0	-33
59	8	2.5	25	0	0	-24	-29	0	-33
60	8	3	26	0	0	26	28	0	33
62	8	4	22	0	0	-26	29	0	-33
64	9	1	-22	0	0	26	-29	0	31
66	9	2	24	0	0	-26	28	0	-31
68	9	3	-24	0	0	26	28	0	31
70	9	4	21	0	0	-26	-28	0	30
72	10	1	-21	0	0	26	-28	0	-30
74	10	2	21	0	0	-26	-28	0	30
76	10	3	22	0	0	-26	24	0	31
80	11	1	23	0	0	25	0	0	32
82	11	2	-23	0	0	-25	28	0	-32
84	11	3	21	0	0	26	-28	0	30
85	11	3.5	-21	0	0	-26	29	0	-30
86	11	4	-21	0	0	-26	30	0	-30
88	12	1	22	0	0	-26	29	0	31
92	12	3	18	0	0	27	-29	0	32
96	13	1	-18	0	0	25	27	0	-32
100	13	3	21	0	0	26	28	0	30
104	14	1	22	0	0	-26	26	0	31
108	14	3	18	0	0	27	25	0	32
112	15	1	21	0	0	25	0	0	-32
114	15	2	-21	0	0	-25	0	0	30
116	15	3	-21	0	0	26	21	0	30
118	15	4	20	0	0	-26	-21	0	-30
120	16	1	19	0	0	-26	-21	0	31
124	16	3	18	0	0	27	22	0	32
128	17	1	20	0	0	25	-22	0	-32
130	17	2	-20	0	0	-25	-22	0	31
131	17	2.5	-20	0	0	-25	-22	0	30
132	17	3	-20	0	0	-25	22	0	29
136	18	1	19	0	0	26	23	0	28
140	18	3	-19	0	0	-26	23	0	-28
142	18	4	18	0	0	-26	24	0	-28
143	18	4.5	17	0	0	-26	-24	0	-28
144	19	1	18	0	0	0	-24	0	0
146	19	2	-18	0	0	0	23	0	0
148	19	3	17	0	0	0	24	0	0
150	19	4	20	0	0	0	25	0	0
153	20	1.5	19	0	0	0	24	0	0
154	20	2	18	0	0	0	24	0	0
155	20	2.5	17	0	0	0	-24	0	0
156	20	3	18	0	0	0	-24	0	0
158	20	4	-18	0	0	0	23	0	0
160	21	1	17	0	0	0	24	0	0
164	21	3	-17	0	0	0	24	0	28
167	21	4.5	-17	0	0	0	25	0	-28
168	22	1	0	0	0	0	26	0	-28
170	22	2	0	0	0	0	26	0	29
172	22	3	0	0	0	0	-26	0	30
174	22	4	0	0	0	0	25	0	31
175	22	4.5	0	0	0	0	24	0	-31
176	23	1	0	0	0	0	25	0	-31
178	23	2	0	0	0	0	-25	0	30
180	23	3	0	0	0	0	24	0	31
182	23	4	0	0	0	0	27	0	32
185	24	1.5	0	0	0	0	26	0	31
186	24	2	0	0	0	0	25	0	31
187	24	2.5	0	0	0	0	24	0	-31
188	24	3	0	0	0	0	25	0	-31
190	24	4	0	0	0	0	-25	0	30
192	25	1	24	0	0	26	24	0	31
196	25	3	24	0	0	26	28	0	31
200	26	1	24	0	0	26	28	0	31
203	26	2.5	25	0	0	-26	-28	0	-31
204	26	3	26	0	0	-26	28	0	31
206	26	4	24	0	0	-26	-28	0	-31
208	27	1	26	0	0	-26	-28	0	31
211	27	2.5	27	0	0	-26	-28	0	32
212	27	3	28	0	0	-26	31	0	33
214	27	4	-28	0	0	-26	-31	0	31
216	28	1	-28	0	0	24	31	0	33
218	28	2	24	0	0	-24	31	0	-33
219	28	2.5	-24	0	0	25	-31	0	34
220	28	3	24	0	0	26	-31	0	35
222	28	4	-24	0	0	24	30	0	-35
223	28	4.5	-24	0	0	-24	29	0	-35
224	29	1	-24	0	0	26	28	0	-35
227	29	2.5	-24	0	0	27	-28	0	-35
228	29	3	17	0	0	28	-28	0	33
230	29	4	-17	0	0	24	-28	0	35
231	29	4.5	18	0	0	-24	-28	0	-35
232	30	1	19	0	0	26	26	0	-35
233	30	1.5	-19	0	0	-26	-26	0	34
234	30	2	17	0	0	-26	-26	0	33
235	30	2.5	-17	0	0	-26	27	0	-33
236	30	3	19	0	0	-26	28	0	-33
238	30	4	20	0	0	-26	29	0	32
239	30	4.5	-20	0	0	-26	-29	0	31
240	31	1	21	0	0	25	28	0	30
246	31	4	26	0	0	28	-28	0	-30
250	32	2	25	0	0	27	0	0	-30
252	32	3	26	0	0	28	0	0	-30
254	32	4	28	0	0	26	0	0	-30
258	33	2	27	0	0	25	0	0	-30
260	33	3	28	0	0	26	0	0	-30
262	33	4	21	0	0	25	28	0	-30
264	34	1	23	0	0	-25	-28	0	0
266	34	2	24	0	0	24	27	0	0
267	34	2.5	-24	0	0	23	26	0	0
268	34	3	22	0	0	24	27	0	31
272	35	1	21	0	0	25	28	0	30
274	35	2	-21	0	0	-25	30	0	-30
275	35	2.5	-21	0	0	-25	-30	0	31
276	35	3	-21	0	0	0	-30	0	32
278	35	4	-21	0	0	0	28	0	33
280	36	1	0	0	0	0	30	0	-33
281	36	1.5	0	0	0	0	-30	0	32
282	36	2	0	0	0	0	31	0	35
284	36	3	0	0	0	0	29	0	-35
286	36	4	0	0	0	0	-29	0	34
288	37	1	0	0	0	0	28	0	35
291	37	2.5	0	0	0	0	27	0	-35
292	37	3	0	0	0	0	26	0	-35
294	37	4	0	0	0	0	25	0	34
295	37	4.5	0	0	0	0	24	0	33
296	38	1	0	0	0	0	23	0	32
299	38	2.5	0	0	0	0	24	0	-32
300	38	3	0	0	0	0	25	0	-32
302	38	4	0	0	0	0	26	0	28
304	39	1	0	0	0	0	-26	0	30
305	39	1.5	0	0	0	0	25	0	-30
306	39	2	0	0	0	0	28	0	-30
307	39	2.5	0	0	0	0	-28	0	31
308	39	3	0	0	0	0	-28	0	29
310	39	4	0	0	0	0	27	0	-29
312	40	1	0	0	0	0	28	0	28
316	40	3	0	0	0	0	21	0	32
318	40	4	0	0	0	25	-21	0	-32
320	41	1	0	0	0	27	0	0	-32
322	41	2	0	0	0	28	0	0	-32
324	41	3	0	0	0	26	0	0	31
328	42	1	0	0	0	25	0	0	32
330	42	2	21	0	0	-25	28	0	-32
331	42	2.5	-21	0	0	24	-28	0	-32
332	42	3	23	0	0	23	-28	0	32
334	42	4	24	0	0	22	24	0	33
336	43	1	22	0	0	24	26	0	-33
338	43	2	-22	0	0	-24	27	0	32
339	43	2.5	-22	0	0	-24	-27	0	31
340	43	3	21	0	0	25	28	0	30
342	43	4	-21	0	0	23	-28	0	32
343	43	4.5	20	0	0	-23	-28	0	-32
344	44	1	19	0	0	24	-28	0	33
346	44	2	18	0	0	25	27	0	34
348	44	3	21	0	0	23	26	0	35
350	44	4	22	0	0	26	-26	0	31
351	44	4.5	-22	0	0	-26	27	0	-31
352	45	1	21	0	0	-26	28	0	-31
354	45	2	-21	0	0	25	-28	0	30
356	45	3	0	0	0	-25	0	0	31
358	45	4	17	0	0	24	28	0	33
360	46	1	21	0	0	23	30	0	32
362	46	2	-21	0	0	25	-30	0	30
363	46	2.5	20	0	0	-25	29	0	-30
364	46	3	19	0	0	26	28	0	31
366	46	4	18	0	0	27	27	0	32
368	47	1	19	0	0	28	26	0	30
370	47	2	-19	0	0	24	28	0	33
372	47	3	17	0	0	-24	-28	0	-33
373	47	3.5	-17	0	0	-24	27	0	-33
374	47	4	18	0	0	23	25	0	32
376	48	1	19	0	0	24	28	0	-32
378	48	2	17	0	0	26	-28	0	31
380	48	3	21	0	0	25	-28	0	-31
382	48	4	-21	0	0	-25	-28	0	30
384	49	1	17	0	0	24	-28	0	31
392	50	1	0	0	0	0	0	0	0
392	50	1	0	0	0	0	31	0	31
395	50	2.5	0	0	0	0	-31	0	32
396	50	3	0	0	0	0	-31	0	33
397	50	3.5	0	0	0	0	-31	0	34
398	50	4	0	0	0	0	-31	0	35
402	51	2	0	0	0	0	-31	0	34
403	51	2.5	0	0	0	0	-31	0	33
404	51	3	0	0	0	0	32	0	34
407	51	4.5	0	0	0	0	-32	0	35
