**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	25	29	0	0	0	34
4	1	3	0	-25	-29	0	32	0	-34
8	2	1	0	25	29	0	-32	0	34
12	2	3	0	28	30	0	32	0	35
15	2	4.5	0	-28	31	0	-32	0	36
16	3	1	0	-28	32	0	28	0	37
18	3	2	0	27	-32	0	29	0	36
20	3	3	0	26	28	0	30	0	-36
21	3	3.5	0	-26	-28	0	-30	0	35
22	3	4	0	-26	-28	0	31	0	35
24	4	1	0	25	29	29	32	0	-35
26	4	2	0	-25	-29	-29	-32	0	34
27	4	2.5	0	-25	-29	-29	-32	0	33
28	4	3	25	-25	25	-29	-32	0	34
30	4	4	-25	-25	27	-29	-32	0	-34
31	4	4.5	-25	-25	-27	-29	-32	0	35
32	5	1	-25	27	-27	29	32	0	36
33	5	1.5	-25	-27	28	-29	-32	0	-36
34	5	2	-25	-27	29	-29	-32	0	32
35	5	2.5	-25	28	-29	-29	31	0	33
35.5	5	2.75	-25	-28	-29	-29	30	0	-33
36	5	3	25	29	27	32	29	0	34
37	5	3.5	-25	-29	-27	-32	-29	0	35
38	5	4	-25	27	25	-32	32	0	36
40	6	1	21	28	-25	-32	30	0	37
42	6	2	22	26	29	31	33	0	38
44	6	3	23	25	27	30	32	0	39
46	6	4	21	-25	28	-30	-32	0	-39
48	7	1	22	0	26	29	0	33	-39
50	7	2	-22	0	29	-29	33	-33	38
51	7	2.5	-22	0	-29	-29	-33	-33	37
52	7	3	-22	29	-29	-29	-33	-33	38
54	7	4	-22	-29	31	-29	29	-33	-38
55	7	4.5	-22	-29	-31	-29	-29	-33	37
56	8	1	-22	-29	-31	31	-29	33	36
57	8	1.5	-22	-29	32	-31	-29	-33	35
58	8	2	-22	-29	33	-31	31	-33	36
59	8	2.5	-22	-29	-33	32	-31	-33	-36
60	8	3	-22	29	31	33	-31	36	-36
61	8	3.5	-22	-29	-31	-33	32	-36	35
62	8	4	-22	-29	-31	31	33	-36	33
63	8	4.5	-22	-29	30	-31	-33	-36	-33
64	9	1	0	25	29	32	32	-36	34
66	9	2	0	26	33	30	28	35	35
68	9	3	0	27	32	29	0	34	36
70	9	4	0	25	-32	-29	29	-34	-36
71	9	4.5	0	-25	31	-29	-29	-34	-36
72	10	1	0	26	30	0	-29	33	0
74	10	2	26	-26	-30	0	28	-33	37
76	10	3	22	0	29	33	29	-33	38
77	10	3.5	23	0	-29	-33	-29	-33	-38
78	10	4	24	0	-29	-33	-29	-33	-38
79	10	4.5	25	0	-29	-33	-29	-33	-38
80	11	1	26	0	0	-33	28	35	37
82	11	2	-26	0	30	-33	26	-35	-37
83	11	2.5	-26	0	-30	-33	27	36	36
84	11	3	-26	0	26	33	28	37	35
85	11	3.5	-26	0	-26	-33	29	-37	34
86	11	4	-26	0	28	-33	30	35	33
87	11	4.5	-26	0	-28	-33	28	-35	-33
88	12	1	25	0	27	29	32	36	34
90	12	2	-25	0	25	30	-32	34	-34
91	12	2.5	-25	0	-25	-30	-32	-34	35
92	12	3	22	0	26	31	31	33	36
93	12	3.5	-22	0	-26	-31	-31	-33	37
94	12	4	-22	0	-26	29	-31	-33	38
95	12	4.5	-22	0	27	-29	32	-33	-38
96	13	1	26	0	28	30	33	0	37
97	13	1.5	-26	0	29	-30	-33	0	-37
98	13	2	-26	28	30	-30	30	0	-37
100	13	3	0	28	26	0	30	37	-37
102	13	4	28	-28	-26	0	-30	-37	-37
104	14	1	28	26	0	0	28	-37	0
106	14	2	-28	26	30	0	26	-37	0
108	14	3	26	28	30	0	-26	37	0
109	14	3.5	-26	27	-30	0	-26	-37	0
110	14	4	-26	26	-30	0	33	-37	0
111	14	4.5	-26	25	-30	0	-33	-37	0
112	15	1	0	24	31	0	-33	33	0
114	15	2	0	25	29	0	32	34	0
116	15	3	0	26	28	0	-32	35	0
118	15	4	28	-26	-28	0	31	33	0
120	16	1	27	25	29	0	32	34	0
122	16	2	25	-25	-29	32	-32	-34	0
124	16	3	28	0	30	32	0	0	0
126	16	4	-28	0	-30	-32	28	0	39
128	17	1	21	0	30	30	28	0	39
130	17	2	-21	0	28	30	-28	0	-39
131	17	2.5	-21	0	-28	-30	29	0	-39
132	17	3	0	0	28	32	30	0	37
133	17	3.5	0	0	-28	31	31	0	-37
134	17	4	28	0	-28	30	32	0	37
135	17	4.5	-28	0	29	29	-32	0	-37
136	18	1	28	0	30	28	-32	0	39
137	18	1.5	-28	0	31	-28	-32	0	-39
138	18	2	27	0	32	29	25	0	-39
139	18	2.5	-27	0	-32	-29	-25	0	38
140	18	3	28	0	-32	30	32	0	37
141	18	3.5	-28	0	-32	-30	-32	0	36
142	18	4	-28	0	30	-30	-32	0	35
144	19	1	25	0	32	29	-32	0	-35
146	19	2	-25	0	-32	-29	31	36	34
147	19	2.5	-25	0	-32	-29	30	-36	33
148	19	3	-25	0	-32	0	29	36	34
150	19	4	-25	29	31	0	-29	-36	-34
151	19	4.5	-25	-29	30	0	-29	-36	35
152	20	1	-25	29	29	0	32	34	36
153	20	1.5	-25	-29	28	0	-32	-34	-36
154	20	2	-25	-29	27	0	-32	34	-36
155	20	2.5	-25	-29	26	0	-32	-34	-36
156	20	3	0	27	25	0	-32	36	-36
157	20	3.5	0	-27	-25	0	-32	35	-36
158	20	4	25	27	-25	0	-32	34	-36
159	20	4.5	-25	-27	26	0	-32	33	-36
160	21	1	25	29	27	0	0	32	36
162	21	2	24	-29	25	0	29	33	-36
163	21	2.5	-24	28	-25	0	-29	-33	-36
164	21	3	25	27	29	0	-29	34	36
165	21	3.5	-25	-27	-29	0	28	-34	-36
166	21	4	-25	25	-29	0	29	-34	-36
167	21	4.5	-25	-25	-29	0	30	-34	35
168	22	1	22	26	-29	0	31	33	36
169	22	1.5	-22	-26	-29	0	32	-33	37
170	22	2	-22	-26	-29	0	33	-33	38
171	22	2.5	-22	27	-29	0	-33	-33	-38
172	22	3	0	28	0	0	-33	0	37
173	22	3.5	0	-28	0	0	32	0	-37
174	22	4	0	29	29	33	31	0	36
176	23	1	0	26	30	33	30	0	-36
178	23	2	0	-26	26	-33	-30	0	35
180	23	3	22	0	-26	31	29	0	36
182	23	4	-22	0	29	31	-29	0	-36
184	24	1	24	0	-29	33	0	0	0
185	24	1.5	-24	0	28	-33	0	0	0
186	24	2	-24	0	28	-33	33	0	0
187	24	2.5	-24	0	-28	32	-33	0	0
188	24	3	22	0	-28	31	33	0	0
190	24	4	-22	0	27	29	31	0	0
192	25	1	26	0	28	30	33	0	0
194	25	2	28	0	-28	-30	32	0	37
195	25	2.5	-28	0	-28	31	-32	0	-37
196	25	3	-28	0	-28	32	30	0	37
197	25	3.5	27	0	-28	-32	-30	0	-37
198	25	4	26	0	-28	33	-30	37	-37
199	25	4.5	25	0	-28	-33	-30	-37	-37
200	26	1	26	0	0	30	-30	37	35
202	26	2	-26	0	30	-30	35	-37	35
204	26	3	26	0	30	0	-35	35	37
205	26	3.5	-26	0	-30	0	34	-35	-37
206	26	4	-26	0	28	0	33	35	-37
207	26	4.5	-26	0	-28	0	-33	-35	36
208	27	1	-26	0	-28	0	-33	37	35
210	27	2	23	0	30	0	32	-37	34
211	27	2.5	-23	0	-30	0	-32	36	-34
212	27	3	26	0	-30	0	-32	35	33
213	27	3.5	-26	0	29	0	-32	-35	-33
214	27	4	-26	0	28	0	31	33	-33
216	28	1	25	0	27	0	32	34	36
218	28	2	-25	25	-27	0	-32	-34	-36
219	28	2.5	-25	-25	26	0	-32	35	-36
220	28	3	-25	-25	27	0	-32	36	0
222	28	4	-25	21	28	0	-32	37	39
224	29	1	0	25	29	0	-32	34	-39
226	29	2	25	-25	-29	0	-32	-34	32
227	29	2.5	-25	26	-29	0	-32	-34	-32
228	29	3	-25	27	25	0	0	0	36
230	29	4	21	28	-25	0	0	0	37
232	30	1	25	-28	0	0	32	0	36
234	30	2	-25	27	32	0	-32	0	-36
236	30	3	26	26	-32	0	28	0	35
238	30	4	28	-26	31	0	-28	0	-35
240	31	1	-28	25	30	0	32	0	0
242	31	2	27	-25	29	29	-32	0	0
243	31	2.5	26	-25	-29	-29	-32	0	0
244	31	3	27	-25	32	-29	29	0	0
246	31	4	-27	-25	-32	25	32	0	36
248	32	1	25	0	-32	29	-32	0	-36
249	32	1.5	-25	0	-32	-29	33	0	-36
250	32	2	-25	29	-32	-29	34	0	32
251	32	2.5	-25	-29	-32	30	32	0	-32
252	32	3	0	-29	29	31	33	0	36
254	32	4	0	25	-29	32	34	0	-36
256	33	1	0	28	0	-32	35	0	37
258	33	2	0	29	33	31	33	0	36
260	33	3	26	26	-33	30	0	0	-36
261	33	3.5	-26	-26	-33	-30	0	0	35
261.5	33	3.75	-26	-26	-33	-30	0	0	34
262	33	4	-26	-26	30	-30	33	0	35
264	34	1	22	29	31	29	-33	0	36
266	34	2	29	-29	31	-29	29	33	-36
