**absq	**bar	**beat	**b7
0	1	1	28
4	2	1	32
6	2	2	30
8	3	1	33
10	3	2	29
11	3	2.5	32
13	4	1.5	30
14	4	2	31
15	4	2.5	32
16	5	1	28
18	5	2	28
20	6	1	0
21	6	1.5	28
22	6	2	28
23.5	6	2.75	27
24	7	1	26
25.5	7	1.75	25
26	7	2	24
27	7	2.5	24
28	8	1	27
30	8	2	26
32	9	1	29
36	10	1	28
37	10	1.5	31
39	10	2.5	31
40	11	1	27
42	11	2	27
44	12	1	28
46	12	2	25
48	13	1	0
48	13	1	0
50	13	2	25
52	14	1	26
54	14	2	27
56	15	1	28
58	15	2	26
60	16	1	25
61	16	1.5	26
62	16	2	27
63	16	2.5	28
64	17	1	29
66	17	2	29
68	18	1	30
71	18	2.5	31
72	19	1	32
76	20	1	28
*-	*-	*-	*-
