**absq	**bar	**beat	**b7
0	1	1	26
2	1	1.5	26
5	1	2.25	25
6	1	2.5	28
7	1	2.75	27
8	2	1	26
12	2	2	27
14	2	2.5	25
17	3	1.25	25
18	3	1.5	29
20	3	2	25
22	3	2.5	0
23	3	2.75	28
24	4	1	26
25	4	1.25	26
26	4	1.5	27
27.5	4	1.875	26
28	4	2	25
30	4	2.5	24
31	4	2.75	28
32	5	1	24
34	5	1.5	25
36	5	2	26
38	5	2.5	27
39	5	2.75	27
41	6	1.25	25
42	6	1.5	29
43	6	1.75	28
44	6	2	28
46	6	2.5	28
47	6	2.75	28
48	7	1	26
48.5	7	1.125	25
49	7	1.25	26
49.5	7	1.375	27
50	7	1.5	26
51	7	1.75	31
52	7	2	30
54	7	2.5	0
56	8	1	0
58	8	1.5	0
59	8	1.75	28
60	8	2	24
60.5	8	2.125	23
61	8	2.25	24
61.5	8	2.375	25
62	8	2.5	26
62.5	8	2.625	25
63	8	2.75	24
65	9	1.25	23
66	9	1.5	0
67	9	1.75	24
69	9	2.25	25
70	9	2.5	26
72	10	1	26
75	10	1.75	25
76	10	2	24
78	10	2.5	22
79	10	2.75	27
80	11	1	26
81	11	1.25	26
83	11	1.75	25
85	11	2.25	24
86	11	2.5	25
87	11	2.75	29
88	12	1	32
88.5	12	1.125	31
89	12	1.25	30
89.5	12	1.375	29
90	12	1.5	28
91	12	1.75	26
92	12	2	31
92.5	12	2.125	30
93	12	2.25	29
93.5	12	2.375	28
94	12	2.5	27
95	12	2.75	24
96	13	1	26
96.5	13	1.125	25
97	13	1.25	24
97.5	13	1.375	23
98	13	1.5	22
99	13	1.75	22
100	13	2	23
101	13	2.25	28
102	13	2.5	26
102.75	13	2.6875	26
103	13	2.75	28
104	14	1	0
105	14	1.25	24
106	14	1.5	28
110	14	2.5	27
112	15	1	28
116	15	2	0
120	16	1	0
124	16	2	28
126	16	2.5	26
127	16	2.75	25
128	17	1	24
130	17	1.5	27
133	17	2.25	30
135	17	2.75	30
136	18	1	29
137	18	1.25	26
138	18	1.5	28
140	18	2	24
142	18	2.5	26
144	19	1	26
146	19	1.5	25
148	19	2	25
150	19	2.5	26
152	20	1	29
153.5	20	1.375	28
154	20	1.5	27
156	20	2	27
157	20	2.25	27
159	20	2.75	28
161	21	1.25	27
162	21	1.5	26
164	21	2	25
166	21	2.5	0
168	22	1	27
170	22	1.5	27
171	22	1.75	27
172	22	2	27
173	22	2.25	25
174	22	2.5	24
175	22	2.75	25
176	23	1	26
179	23	1.75	26
180	23	2	26
182	23	2.5	26
184	24	1	0
185	24	1.25	28
186	24	1.5	29
187	24	1.75	29
189	24	2.25	29
191	24	2.75	26
192	25	1	27
194	25	1.5	28
196	25	2	28
197.5	25	2.375	27
198	25	2.5	26
199	25	2.75	24
200	26	1	28
200.5	26	1.125	27
201	26	1.25	26
201.5	26	1.375	25
202	26	1.5	24
203.5	26	1.875	23
203.75	26	1.9375	22
204	26	2	23
206	26	2.5	24
208	27	1	23
210	27	1.5	24
211	27	1.75	21
213	27	2.25	28
213.5	27	2.375	27
214	27	2.5	26
214.5	27	2.625	25
215	27	2.75	26
216	28	1	25
224	29	1	0
224	29	1	28
226	29	1.5	28
227	29	1.75	28
228	29	2	28
229	29	2.25	27
230	29	2.5	26
232	30	1	24
233	30	1.25	26
235	30	1.75	25
236	30	2	28
238	30	2.5	28
241	31	1.25	28
242	31	1.5	27
243	31	1.75	26
244	31	2	27
246	31	2.5	24
247	31	2.75	28
248	32	1	24
252	32	2	0
254	32	2.5	24
256	33	1	27
257	33	1.25	25
258	33	1.5	29
259.5	33	1.875	28
259.75	33	1.9375	27
