**absq	**bar	**beat	**b7
12	2	3	30
14	2	4	33
16	3	1	26
17	3	1.5	28
18	3	2	27
19	3	2.5	28
20.5	3	3.25	29
21	3	3.5	30
21.5	3	3.75	31
22	3	4	32
23	3	4.5	31
23.5	3	4.75	30
24	4	1	31
25	4	1.5	30
25.5	4	1.75	29
26	4	2	28
26.5	4	2.25	29
27	4	2.5	30
27.5	4	2.75	28
28	4	3	29
30	4	4	28
32	5	1	0
40	6	1	0
41	6	1.5	28
42	6	2	27
43	6	2.5	28
44	6	3	26
45	6	3.5	27
46	6	4	28
47	6	4.5	26
48	7	1	24
49	7	1.5	25
50	7	2	26
50.5	7	2.25	27
51	7	2.5	28
51.5	7	2.75	29
52	7	3	30
53	7	3.5	29
53.5	7	3.75	28
54	7	4	29
55	7	4.5	28
55.5	7	4.75	27
56	8	1	26
58	8	2	30
60	8	3	0
61	8	3.5	33
62	8	4	32
63	8	4.5	33
64	9	1	31
65	9	1.5	32
66	9	2	33
67	9	2.5	31
68	9	3	30
69	9	3.5	29
70	9	4	30
72	10	1	26
76	10	3	33
78	10	4	32
80	11	1	30
81	11	1.5	30
83	11	2.5	30
84	11	3	30
86	11	4	31
90	12	2	32
94	12	4	28
96	13	1	29
98	13	2	29
100	13	3	0
102	13	4	33
106	14	2	32
108	14	3	32
110	14	4	31
114	15	2	30
115	15	2.5	29
116	15	3	28
120	16	1	29
124	16	3	30
126	16	4	0
127	16	4.5	26
128	17	1	29
130	17	2	28
132	17	3	0
133	17	3.5	29
134	17	4	33
136	18	1	31
137	18	1.5	29
138	18	2	0
139	18	2.5	26
140	18	3	29
142	18	4	28
144	19	1	0
145	19	1.5	26
146	19	2	26
147.5	19	2.75	27
148	19	3	28
149	19	3.5	26
150	19	4	26
152	20	1	27
154	20	2	29
156	20	3	29
160	21	1	0
161	21	1.5	28
162.5	21	2.25	29
163	21	2.5	30
163.5	21	2.75	31
164	21	3	32
166	21	4	33
166.5	21	4.25	32
167	21	4.5	31
167.5	21	4.75	30
168	22	1	29
169	22	1.5	28
170	22	2	29
172	22	3	30
174	22	4	0
176	23	1	0
178	23	2	0
179	23	2.5	32
181	23	3.5	31
182	23	4	32
183.5	23	4.75	31
184	24	1	30
186	24	2	28
187	24	2.5	29
188	24	3	25
190	24	4	0
191	24	4.5	32
192.5	25	1.25	31
193	25	1.5	30
193.5	25	1.75	29
194	25	2	28
195	25	2.5	29
196	25	3	29
197	25	3.5	28
197.5	25	3.75	27
198	25	4	26
200	26	1	27
201	26	1.5	27
202	26	2	26
203	26	2.5	30
204	26	3	31
205	26	3.5	31
206	26	4	30
208	27	1	30
209	27	1.5	26
210	27	2	29
211	27	2.5	29
212	27	3	30
216	28	1	26
220	28	3	0
224	29	1	0
226	29	2	0
227	29	2.5	30
228	29	3	32
230	29	4	31
231	29	4.5	29
233	30	1.5	30
234	30	2	31
236	30	3	30
238	30	4	0
239	30	4.5	32
241	31	1.5	29
243	31	2.5	30
244	31	3	31
246	31	4	32
249	32	1.5	32
250	32	2	30
251	32	2.5	32
252	32	3	31
254	32	4	30
256	33	1	0
257	33	1.5	31
258	33	2	32
259	33	2.5	32
260	33	3	31
262	33	4	30
263	33	4.5	30
265	34	1.5	29
266	34	2	32
267	34	2.5	28
268	34	3	31
270	34	4	32
272	35	1	0
274	35	2	0
275	35	2.5	31
276	35	3	30
278	35	4	26
279	35	4.5	27
281	36	1.5	28
282	36	2	29
284	36	3	30
288	37	1	33
294	37	4	30
296	38	1	30
299	38	2.5	31
300	38	3	32
306	39	2	29
310	39	4	27
312	40	1	28
315	40	2.5	29
316	40	3	30
320	41	1	26
324	41	3	0
328	42	1	30
334	42	4	27
336	43	1	27
339	43	2.5	28
340	43	3	29
344	44	1	29
346	44	2	29
348	44	3	28
352	45	1	27
356	45	3	26
*-	*-	*-	*-
