**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	0	0	0	29	0	0	0	0	0
4	1	3	0	0	0	0	29	0	0	0	0	0
6	1	4	0	0	0	0	29	0	0	0	0	0
8	2	1	0	0	0	0	28	0	0	0	0	30
11	2	2.5	0	0	0	0	27	0	0	0	0	-30
12	2	3	0	0	0	0	26	0	0	0	0	30
14	2	4	0	0	0	0	-26	0	0	0	0	30
15	2	4.5	0	0	0	0	25	0	0	0	0	-30
16	3	1	0	0	0	29	24	0	0	0	0	31
18	3	2	0	0	0	-29	31	0	0	0	0	-31
19	3	2.5	0	0	0	-29	-31	0	0	0	0	32
20	3	3	0	0	0	29	-31	0	0	0	0	33
22	3	4	0	0	0	29	31	0	0	0	0	-33
23	3	4.5	0	0	0	-29	-31	0	0	0	0	34
24	4	1	0	0	0	28	30	0	0	0	30	35
26	4	2	0	0	0	-28	-30	0	0	0	-30	28
27	4	2.5	0	0	0	27	29	0	0	0	-30	-28
28	4	3	0	0	0	26	28	0	0	0	30	-28
30	4	4	0	0	0	-26	-28	0	0	0	30	28
31	4	4.5	0	0	0	25	27	0	0	0	-30	-28
32	5	1	0	0	29	24	26	0	0	0	31	29
33	5	1.5	0	0	-29	-24	25	0	0	0	-31	-29
34	5	2	0	0	-29	31	24	0	0	0	-31	-29
35	5	2.5	0	0	-29	-31	23	0	0	0	32	30
36	5	3	0	0	29	-31	22	0	0	0	33	31
38	5	4	0	0	29	31	-22	0	0	0	-33	-31
39	5	4.5	0	0	-29	-31	-22	0	0	0	34	32
40	6	1	0	0	28	30	26	0	0	30	35	33
41	6	1.5	0	0	-28	-30	-26	0	0	-30	-35	34
42	6	2	0	0	-28	-30	-26	0	0	-30	28	35
43	6	2.5	0	0	27	29	27	0	0	-30	-28	36
44	6	3	0	0	26	28	28	0	0	30	-28	37
45	6	3.5	0	0	-26	-28	29	0	0	-30	-28	-37
46	6	4	0	0	-26	-28	30	0	0	30	28	-37
47	6	4.5	0	0	25	27	-30	0	0	-30	-28	-37
48	7	1	0	29	24	26	0	0	0	31	29	33
49	7	1.5	0	-29	-24	25	0	0	0	-31	-29	-33
50	7	2	0	-29	31	24	26	0	0	-31	-29	-33
51	7	2.5	0	-29	-31	23	-26	0	0	32	30	32
52	7	3	0	29	-31	22	-26	0	0	33	31	31
53	7	3.5	0	-29	-31	-22	-26	0	0	-33	-31	30
54	7	4	0	29	31	-22	33	0	0	-33	-31	29
55	7	4.5	0	-29	-31	-22	-33	0	0	34	32	-29
56	8	1	0	28	30	26	0	0	30	35	33	0
57	8	1.5	0	-28	-30	-26	0	0	-30	-35	34	0
58	8	2	0	-28	-30	-26	26	0	-30	28	35	33
59	8	2.5	0	27	29	27	-26	0	-30	-28	36	-33
60	8	3	0	26	28	28	-26	0	30	-28	37	-33
61	8	3.5	0	-26	-28	29	-26	0	-30	-28	-37	-33
62	8	4	0	-26	-28	30	28	0	30	28	-37	26
63	8	4.5	0	25	27	-30	-28	0	-30	-28	-37	-26
64	9	1	29	24	26	0	31	0	31	29	33	0
65	9	1.5	-29	-24	25	0	-31	0	-31	-29	-33	0
66	9	2	-29	31	24	26	24	0	-31	-29	-33	33
67	9	2.5	-29	-31	23	-26	-24	0	32	30	32	-33
68	9	3	29	-31	22	-26	-24	0	33	31	31	-33
69	9	3.5	-29	-31	-22	-26	-24	0	-33	-31	30	-33
70	9	4	29	31	-22	33	26	0	-33	-31	29	31
71	9	4.5	-29	-31	-22	-33	-26	0	34	32	-29	-31
72	10	1	28	30	26	0	26	30	35	33	0	28
73	10	1.5	-28	-30	-26	0	-26	-30	-35	34	0	-28
74	10	2	-28	-30	-26	26	26	-30	28	35	33	35
75	10	2.5	27	29	27	-26	-26	-30	-28	36	-33	-35
76	10	3	26	28	28	-26	30	30	-28	37	-33	-35
77	10	3.5	-26	-28	29	-26	-30	-30	-28	-37	-33	-35
78	10	4	-26	-28	30	28	-30	30	28	-37	26	33
79	10	4.5	25	27	-30	-28	-30	-30	-28	-37	-26	-33
80	10	1	24	26	0	31	29	31	29	33	0	33
81	10	1.5	-24	25	0	-31	-29	-31	-29	-33	0	-33
82	10	2	31	24	26	24	-29	-31	-29	-33	33	33
83	10	2.5	-31	23	-26	-24	-29	32	30	32	-33	-33
84	10	3	-31	22	-26	-24	29	33	31	31	-33	29
85	10	3.5	-31	-22	-26	-24	-29	-33	-31	30	-33	-29
86	10	4	31	-22	33	26	29	-33	-31	29	31	-29
87	10	4.5	-31	-22	-33	-26	-29	34	32	-29	-31	-29
88	11	1	30	26	0	26	28	35	33	0	28	30
89	11	1.5	-30	-26	0	-26	-28	-35	34	0	-28	-30
