**absq	**bar	**beat	**b7
16	3	1	29
18	3	2	29
19	3	2.5	25
20	3	3	26
21	3	3.5	27
22	3	4	28
24	4	1	27
25	4	1.5	27
27	4	2.5	28
28	4	3	29
30	4	4	25
32	5	1	0
40	6	1	32
42	6	2	33
44	6	3	32
48	7	1	28
50	7	2	29
52	7	3	30
55	7	4.5	29
56	8	1	28
58	8	2	29
59	8	2.5	25
60	8	3	29
61	8	3.5	29
62	8	4	30
62.5	8	4.25	29
63	8	4.5	30
63.5	8	4.75	31
64	9	1	32
66	9	2	31
68	9	3	33
72	10	1	33
74	10	2	0
75	10	2.5	26
76	10	3	28
77	10	3.5	28
78	10	4	29
82	11	2	25
84	11	3	27
85.5	11	3.75	26
85.75	11	3.875	25
86	11	4	26
88	12	1	27
90	12	2	28
94	12	4	29
96	13	1	25
99	13	2.5	27
100	13	3	28
102	13	4	29
104	14	1	28
106	14	2	0
108	14	3	0
109	14	3.5	32
110	14	4	32
111.5	14	4.75	31
112	15	1	30
113	15	1.5	28
114	15	2	29
116	15	3	28
117	15	3.5	32
118	15	4	32
119.5	15	4.75	31
120	16	1	30
121	16	1.5	28
122	16	2	29
123	16	2.5	27
124	16	3	29
125	16	3.5	29
126	16	4	28
128	17	1	29
130	17	2	0
131	17	2.5	29
132	17	3	29
133	17	3.5	25
135	17	4.5	28
137	18	1.5	29
139	18	2.5	32
139.5	18	2.75	31
140	18	3	30
140.5	18	3.25	29
141	18	3.5	28
141.5	18	3.75	27
142	18	4	28
144	19	1	29
146	19	2	28
147	19	2.5	28
148	19	3	29
149.5	19	3.75	28
150	19	4	27
151	19	4.5	28
152	20	1	26
153	20	1.5	33
153.5	20	1.75	32
154	20	2	31
154.5	20	2.25	30
155	20	2.5	29
157	20	3.5	32
158	20	4	33
160	21	1	32
162	21	2	0
164	21	3	0
165	21	3.5	32
166	21	4	32
167	21	4.5	33
168.5	22	1.25	32
169	22	1.5	31
170	22	2	32
172	22	3	25
174	22	4	0
176	23	1	0
184	24	1	0
186	24	2	27
188	24	3	27
189	24	3.5	28
190.5	24	4.25	27
191	24	4.5	26
192	25	1	27
195	25	2.5	25
196	25	3	0
198	25	4	27
200	26	1	28
202	26	2	28
204	26	3	27
205	26	3.5	26
205.5	26	3.75	25
206	26	4	26
208	27	1	25
*-	*-	*-	*-
