**absq	**bar	**beat	**b7	**b7
2	1	1.5	0	35
5	1	2.25	0	33
6	1	2.5	0	36
9	2	1.25	0	36
9.5	2	1.375	0	36
10	2	1.5	0	38
11	2	1.75	0	38
12	2	2	0	37
13.5	2	2.375	0	36
14	2	2.5	0	35
15	2	2.75	0	33
16	3	1	0	32
18	3	1.5	31	33
22	3	2.5	29	34
24	4	1	32	-34
25	4	1.25	-32	32
26	4	1.5	-32	36
27	4	1.75	32	-36
27.5	4	1.875	32	-36
28	4	2	31	-36
29	4	2.25	30	35
29.5	4	2.375	-30	35
30	4	2.5	-30	33
31	4	2.75	29	38
32	5	1	-29	37
33	5	1.25	28	37
34	5	1.5	29	36
34.5	5	1.625	30	-36
35	5	1.75	31	-36
35.5	5	1.875	29	-36
36	5	2	30	35
37	5	2.25	31	-35
38	5	2.5	-31	35
39	5	2.75	30	-35
40	6	1	31	35
41	6	1.25	-31	35
42	6	1.5	26	36
44	6	2	29	-36
45	6	2.25	29	-36
46	6	2.5	28	0
48	7	1	31	0
50	7	1.5	30	0
51	7	1.75	30	0
52	7	2	29	0
52.5	7	2.125	30	0
53	7	2.25	31	0
55	7	2.75	30	33
56	8	1	31	33
57	8	1.25	-31	33
58	8	1.5	32	35
59	8	1.75	32	-35
60	8	2	32	34
61	8	2.25	29	-34
62	8	2.5	31	36
63	8	2.75	31	36
64	9	1	28	37
66	9	1.5	27	39
67	9	1.75	28	-39
68	9	2	-28	39
69	9	2.25	27	-39
69.5	9	2.375	26	-39
70	9	2.5	27	-39
72	10	1	28	37
74	10	1.5	32	37
76	10	2	31	38
76.5	10	2.125	32	-38
77	10	2.25	33	36
78	10	2.5	-33	37
79	10	2.75	32	-37
80	11	1	31	35
81	11	1.25	-31	38
81.5	11	1.375	30	-38
82	11	1.5	29	-38
83	11	1.75	30	37
84	11	2	31	36
85	11	2.25	-31	35
86	11	2.5	-31	36
88	12	1	31	35
89	12	1.25	28	38
90	12	1.5	28	37
91	12	1.75	28	-37
91.5	12	1.875	-28	37
92	12	2	32	36
93.5	12	2.375	32	-36
94	12	2.5	30	35
95	12	2.75	30	35
96	13	1	28	-35
97	13	1.25	31	35
98	13	1.5	30	35
99	13	1.75	31	34
100	13	2	-31	35
100.5	13	2.125	30	-35
100.75	13	2.1875	29	-35
101	13	2.25	30	-35
102	13	2.5	31	35
104	14	1	0	0
105	14	1.25	31	33
106	14	1.5	28	33
