**absq	**bar	**beat	**b7	**b7
12	2	1	0	36
16	2	2	0	36
20	2	3	0	35
24	3	1	0	34
36	4	1	0	32
40	4	2	0	33
44	4	3	0	34
48	5	1	0	35
56	5	3	0	34
60	6	1	0	33
72	7	1	0	32
84	8	1	0	0
88	8	2	24	35
96	9	1	24	35
104	9	3	22	34
108	10	1	23	34
116	10	3	23	33
120	11	1	19	33
136	12	2	20	32
144	13	1	21	32
148	13	2	23	32
156	14	1	22	33
168	15	1	18	32
180	16	1	0	0
184	16	2	0	0
188	16	3	25	0
192	17	1	23	0
196	17	2	-23	37
204	18	1	0	35
212	18	3	19	-35
216	19	1	22	0
232	20	2	20	32
240	21	1	19	33
248	21	3	18	34
252	22	1	19	35
264	23	1	18	34
268	23	2	25	-34
276	24	1	24	0
280	24	2	24	36
288	25	1	25	-36
292	25	2	23	35
296	25	3	-23	35
300	26	1	22	36
304	26	2	-22	33
308	26	3	22	-33
312	27	1	25	34
320	27	3	23	32
324	28	1	24	33
330	28	2.5	25	-33
332	28	3	26	35
336	29	1	-26	35
340	29	2	25	-35
344	29	3	-25	34
348	30	1	21	35
352	30	2	28	-35
360	31	1	27	0
364	31	2	27	0
368	31	3	28	0
372	32	1	26	0
376	32	2	26	35
384	33	1	25	34
388	33	2	25	34
392	33	3	21	35
396	34	1	22	33
408	35	1	25	34
414	35	2.5	-25	35
416	35	3	24	36
420	36	1	23	-36
424	36	2	-23	37
428	36	3	22	-37
432	37	1	21	33
436	37	2	-21	33
438	37	2.5	22	-33
440	37	3	23	-33
444	38	1	21	33
448	38	2	22	33
456	39	1	18	32
*-	*-	*-	*-	*-
