**absq	**bar	**beat	**b7	**b7	**b7	**b7	**b7	**b7	**b7	**b7
0	1	1	0	29	0	0	0	0	0	0
4	1	3	0	-29	29	0	0	0	0	0
6	1	4	0	25	-29	0	0	0	0	0
8	2	1	25	25	-29	0	0	0	0	0
10	2	2	-25	32	25	0	0	0	0	0
12	2	3	-25	32	25	0	0	0	0	0
13	2	3.5	-25	31	-25	0	0	0	0	0
14	2	4	21	30	32	0	0	0	0	0
15	2	4.5	-21	29	-32	0	0	0	0	0
16	3	1	21	30	32	0	0	0	0	0
17	3	1.5	-21	-30	31	0	0	0	0	0
18	3	2	-21	-30	30	0	0	0	0	0
19	3	2.5	-21	-30	29	0	0	0	0	0
20	3	3	0	28	30	32	0	0	0	0
22	3	4	28	-28	-30	-32	0	0	0	0
23	3	4.5	-28	29	-30	-32	0	0	0	0
24	4	1	28	30	28	-32	0	0	0	0
25	4	1.5	27	-30	-28	-32	0	0	0	0
26	4	2	26	30	-28	28	0	0	0	0
27	4	2.5	25	-30	-28	-28	0	0	0	0
28	4	3	26	-30	-28	28	0	0	0	0
29	4	3.5	-26	29	-28	-28	0	0	0	0
30	4	4	-26	28	30	35	0	0	0	0
31	4	4.5	-26	27	-30	-35	0	0	0	0
32	5	1	24	26	31	35	0	0	0	0
33	5	1.5	-24	-26	-31	34	0	0	0	0
34	5	2	-24	-26	-31	33	0	0	0	0
35	5	2.5	-24	-26	30	32	0	0	0	0
35.5	5	2.75	-24	-26	29	-32	0	0	0	0
36	5	3	-24	0	28	33	0	0	0	0
38	5	4	22	33	29	31	0	0	0	0
40	6	1	26	-33	28	-31	0	0	0	0
41	6	1.5	-26	-33	-28	30	0	0	0	0
42	6	2	-26	33	-28	30	0	0	0	0
43	6	2.5	25	-33	27	-30	0	0	0	0
44	6	3	24	33	26	-30	0	0	0	0
46	6	4	-24	-33	-26	29	0	0	0	0
48	7	1	23	32	27	30	0	0	0	0
50	7	2	-23	-32	28	-30	0	0	0	0
51	7	2.5	22	31	-28	31	0	0	0	0
52	7	3	21	30	-28	32	0	0	0	0
53	7	3.5	-21	29	27	-32	0	0	0	0
54	7	4	-21	28	26	33	0	0	0	0
55	7	4.5	-21	27	25	-33	0	0	0	0
56	8	1	22	26	24	-33	0	0	0	0
58	8	2	-22	27	25	32	0	0	0	0
59	8	2.5	-22	28	-25	-32	0	0	0	0
60	8	3	-22	29	26	-32	0	0	0	36
62	8	4	-22	-29	-26	31	0	0	0	-36
64	9	1	25	27	25	32	0	0	36	-36
66	9	2	-25	-27	-25	-32	0	0	-36	32
67	9	2.5	-25	28	26	-32	0	0	-36	-32
68	9	3	-25	29	27	-32	0	32	-36	32
70	9	4	-25	-29	-27	-32	0	-32	32	39
72	10	1	0	0	0	0	0	-32	32	39
73	10	1.5	0	0	0	0	0	-32	-32	38
74	10	2	0	0	0	0	0	28	39	37
75	10	2.5	0	0	0	0	0	-28	-39	36
76	10	3	0	0	0	0	0	28	39	37
77	10	3.5	0	0	0	0	0	-28	38	-37
78	10	4	0	0	0	0	0	35	37	-37
79	10	4.5	0	0	0	0	0	-35	36	-37
80	11	1	0	0	0	0	0	35	37	35
81	11	1.5	0	0	0	0	0	34	-37	-35
82	11	2	0	0	0	0	0	33	-37	-35
83	11	2.5	0	0	0	0	0	32	-37	-35
84	11	3	0	0	0	0	0	33	-37	-35
86	11	4	0	0	0	0	0	-33	35	37
88	12	1	0	0	0	0	0	31	33	38
90	12	2	0	0	0	0	0	29	36	38
92	12	3	0	0	0	0	0	33	-36	37
93	12	3.5	0	0	0	0	0	-33	35	-37
94	12	4	0	0	0	0	0	-33	35	35
96	13	1	0	0	0	0	25	32	-35	36
98	13	2	0	0	0	0	-25	-32	34	-36
99	13	2.5	0	0	0	0	-25	-32	33	-36
100	13	3	0	0	0	0	-25	-32	34	39
102	13	4	0	0	0	0	21	-32	35	-39
103	13	4.5	0	0	0	0	-21	-32	-35	38
104	14	1	0	0	0	0	21	0	39	37
105	14	1.5	0	0	0	0	-21	0	-39	36
106	14	2	0	0	0	0	28	32	-39	37
107	14	2.5	0	0	0	0	-28	-32	38	-37
108	14	3	0	0	0	0	28	-32	37	35
109	14	3.5	0	0	0	0	27	-32	36	-35
110	14	4	0	0	0	0	26	28	37	-35
111	14	4.5	0	0	0	0	25	-28	-37	-35
112	15	1	0	0	0	0	26	28	-37	-35
113	15	1.5	0	0	0	0	-26	-28	36	-35
114	15	2	0	0	0	0	-26	30	35	33
115	15	2.5	0	0	0	0	-26	-30	34	-33
116	15	3	0	0	0	0	24	31	33	35
118	15	4	0	0	0	0	22	-31	-33	36
120	16	1	0	0	0	0	23	30	32	-36
121	16	1.5	0	0	0	0	-23	-30	-32	35
122	16	2	0	0	0	0	-23	-30	-32	35
123	16	2.5	0	0	0	0	24	-30	-32	-35
124	16	3	0	0	0	0	25	29	-32	-35
126	16	4	0	0	0	0	-25	-29	-32	34
*-	*-	*-	*-	*-	*-	*-	*-	*-	*-	*-
